Tweet,Nilai
"Ical Hingga Gatot, Deretan Tokoh yang Disuntik Vaksin Terawan https://t.co/rz6tU8BYTG 

Mereka aja mau di Vaksin..kok IDI sama BPOM masih ngeyel ya?? aneh juga..Hmmmmm",Percaya
"Gatot Nurmantyo, ARB Hingga Anggota DPR Enjoy Disuntik Vaksin Nusantara, Begini Kata Mereka   https://t.co/dNSnxvKt8S",Percaya
"Kader Banteng DPR RI Tak Ikut Uji Klinis Vaksin Nusantara

https://t.co/rTd6LqlQQL #pdiperjuangan",Tidak Percaya
"@TheArieAir Karena efikasi vaksin sinovac cuma 65,3% pun seperti vaksin covid lainya belum bs sampai 100% https://t.co/7e34LNcWxA",Tidak Percaya
@Viena_Wu Jangan takut di vaksin,Percaya
Vaksinasi tidak membatalkan puasa malah justru fungsinya akan memperkuat imun karena puasa termasuk proses detoksifikasi. Umat Islam yg berpartisipasi dlm program vaksin aman ini sama aja membantu mewujudkan kekebalan kelompok (here immunity) tercegah dari Covid-19.,Percaya
Kelompok Milenial Dukung Penuh DPR dan Pemerintah Sukseskan Vaksin Nusantara https://t.co/iW9aRX1C7M,Percaya
"@TirtoID Untuk Vak Nus saya percaya Dr Terawan, karena vaksinnya tidak menggunakan virus yg diperlemah, injeksi vaksin dlm darah di luar tubuh jadi bisa pra analisis dan Terawan selalu  out of the box",Percaya
"Bos Res Tawang di Batu Ceper meninggal kn corvid ktnya..pdhl uda vaksin ke 2 jg..tertular dr pembantunya..dia msk RS 2 minggu aja .. jln selamanya.
Tetap hrs hati2 n jaga biar sdh vaksin pun...tdk jamin. https://t.co/t34TNthHhl",Tidak Percaya
"@detikcom Gpp jadi kelinci percobaan, tuh vaksin belum lolos rangkaian uji klinis, kita lihat aja gimana hasilnya 😁",Tidak Percaya
"Untuk itulah Dinas kesehatan DKI Jakarta tetap melakukan vaksin, karena Vaksin Aman. https://t.co/uZETaLGh7S",Percaya
@CNNIndonesia Kita lihat saja vaksin yg belum uji klinis apakah aman atau tidak,Tidak Percaya
"@RaiTeguhParjaya @kompascom Iya, ada apa? Kok pihak vaksin Nusantara diam saja? Kalau BPOM bohong silakan bantah.",Tidak Percaya
@NarasiNewsroom Perlu uji klinis dulu baru vaksin itu layak disuntikkan,Tidak Percaya
"@yanadrn @raditph Aduh 🤦🏻‍♀️ Mungkin bbrp orang udh menganggap ""aman"" karena udh ada vaksin kali ya. Pdhl mah vaksin ga 100% mencegah dari Covid",Tidak Percaya
Sekarang rame isu vaksin nusantara ya. Penasaran dimana bisa dapet argumen 'pro'-nya. Ada yang bisa kasih koordinat?,Tidak Percaya
Maju terus Vaksin Nusantara..! Biarkan anjing menggonggong sementara khafilah tetap berlalu..! https://t.co/LzhzUF95fD,Percaya
"@TirtoID Hmmm bos gue lagi nungguin vaksin nusantara besutan pak mantan menkes ini. Biar aja gue jg mau lihat reaksinya nnti dibadan dia bgmn, seefektif dgn sinovac dkknya  kah atau tidak",Tidak Percaya
Vaksin aman selama berpuasa dinyatakan oleh fatwa MUI nomor 13 tahun 2021. https://t.co/0k1ZzjayfQ,Percaya
"VAKSIN NUSANTARA.
ELIT POLITIK MULAI MELAWAN PEMERINTAH
Rocky Gerung Official
👇😳👇
https://t.co/etLW4FCubT",Tidak Percaya
@korantempo Maju terus Vaksin Nusantara...!,Percaya
"Ini kata MUI bahwa vaksin nggak bikin batal puasa ya. Jadi, Vaksin Aman kok. 😊 https://t.co/3WPUAhF7Ml",Percaya
"#Rap Datuk A Aida menjadi artis tempatan pertama di negara ini menerima suntikan vaksin Pfizer-BioNTech.

https://t.co/31Eghm11JL",Percaya
"Hal yang membatalkan puasa adalah makan dan minum dengan sengaja. Sementara, vaksin Covid-19 diinjeksi melalui intramuskular, tidak dianggap sebagai makanan dan minuman.

Vaksin aman untuk orang yang sedang berpuasa dan bisa melanjutkan ibadah puasa tan0a harus meng-qadha nya.",Percaya
"@PakAhmadUtomo Kalo emang jelas merek dagangnya vaksin nusantara udah seharusnya dipakai untuk memenuhi beberapa kuota vaksin dalam negeri, masalahnya kan sekarang informasinya masih liar dan ngga jelas bung, gimana mau menyimpulkan kalo informasinya sepotong2x bung...",Tidak Percaya
BPOM Belum Keluarkan Izin Uji Klinik Tahap II untuk Vaksin Nusantara https://t.co/BckJHocIPn,Tidak Percaya
"Kenapa aware bgt sm vaksin buatan Amerika ? Pernah ada case, org disuntik2 vaksin jd autis. Ya mungkin org Indo susah percaya / gak percaya sama sekali. Apalagi vaksin impor ini gak disetujui BPOM. Sangat berbahaya. Jgn asal suntik2 aja https://t.co/z4n2bN59PH",Tidak Percaya
Vaksin dulu biar..sehat.. https://t.co/rVanJNllKM,Percaya
@risw_okob vaksin nusantara absurd dan maksa #simpanthread @BotKumpulan,Tidak Percaya
"Emang boleh vaksin saat puasa? Boleh, MUI sudah menekan fatwa nomor 14 tahun 2021 bahwa vaksinasi Covid-19 tidak membatalkan puasa.

Jadi kita yang muslim enggak perlu khawatir. Tinggal mempersiapkan tubuh agar vaksin aman setelah diinjeksi ke dalam tubuh. https://t.co/JgrWxbNJe5",Percaya
Melalui Jubir vaksinsi @KemenkesRI menjelaskan program vaksinasi Presiden @jokowi akan tetap dijalankan di bulan Ramadhan dngan dasar Fatwa yang di keluarkan MUI bahwa vaksin tidak membatalkan puasa. https://t.co/s6uw3iS7nR,Percaya
Benarkah ilmuwan AS lebih mendominasi riset vaksin 'anak bangsa' ini? https://t.co/7hWLSOOOLf,Tidak Percaya
"BULAN BAKTI ISTRI DOKTER 2021 
""IIDI Cabang Jepara dukung vaksin Covid-19""
#pd_iidi
#bbid2021
#faridaiidi
#iidi_jepara https://t.co/9WK3fcTsoR",Percaya
"@motizenchannel @PutraWadapi Oom tolong deh, mending om dorong para peneliti vaksin nusantara untuk menjelaskan secara transparan seputar proses2x dan hasil2x uji dll yg dicermati @BPOM_RI Tempatkan riset pada porsinya sebagai sebuah upaya saintifik dan jauhkan dari urusan perpolitikan",Tidak Percaya
"Jadi, selama vaksinnya tidak lewat rongga mulut, kubul dan dubur atau rongga badan yang terbuka, vaksin aman dan tidak membatalkan puasa. Karena pemberian vaksin tidak dianggap sebagai makan dan minum.",Percaya
"Karena ada laporan pembekuan darah. Food and Drug Administration serta Center for Disease Control Amerika Serikat, merekomendasikan penghentian sementara penggunaan vaksin Johnson &amp; Johnson. Penghentian sementara vaksin dosis tunggal untuk tekan penularan kasus COVID-19 ini. https://t.co/5lDXwfmk39",Tidak Percaya
"Pro Kontra Vaksin Merah Putih, 40 Anggota DPR Jadi Relawan, BPOM Ragu, hingga Jawaban Peneliti https://t.co/wchHXjiSPC via @tribunnews",Tidak Percaya
"Udah gagal ngatasin covid-19,lah sekarang mau bikin vaksin buat covid-19 👍 https://t.co/UpCTElhfpg",Tidak Percaya
"@fitrian alhamdulillah, jadi lega kalau ada fatwa begini, Mbak. Aku belum ada jadwal vaksin sih, masih nunggu.",Percaya
@hipohan @eemom73 ...untung gw blum di vaksin..,Tidak Percaya
@dhanangpuruhita Vaksin nusantara ini baru sejak ide aja udah kontra. Mungkin ada kepentingan lain diluar medis yang kita ga tau.,Tidak Percaya
@TheArieAir Jangan2 vaksin palsu lagi 😊,Tidak Percaya
Kepala gue pusing bgt ini ngaruh dari vaksin gasi???😭,Tidak Percaya
Jadi sekarang kita harus vaksin karena vaksin aman. Selain itu kita bisa membantu pemerintah untuk mewujudkan kekebalan kelompok agar bisa terbebas dari pandemi.,Percaya
@cyjwj9694 Hah? Gimana? Nggak jadi vaksin gitu maksudnya??? Kok gitu?,Tidak Percaya
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/xWhKh8NTw1",Percaya
"Fungsi vaksin merangsang pembentukan sistem antibodi untuk mengenali jenis virus SARS Cov2 ini yg menyebabkan penyakit covid 19

jadi kalo kalian sudah pernah berpengalaman terpapar dan saat ini misih idup itu artinya antibodi anda sudah terbentuk

ga perlu vaksin lagi",Percaya
"vaksin, swab, rapid, masker = cuan",Tidak Percaya
"Alhamdulillah puas masuk hari ke 3. Semoga makin lancar dan kuat ya sampai akhir Ramadan.

Vaksinasi Covid-19 msh terus berjalan dan Vaksin Aman diberikan selama berpuasa. Kok bisa?

Sebuah utas...",Percaya
"Apa sih yang membuat sejumlah anggota DPR ramai-ramai disuntik vaksin nusantara?

https://t.co/T7oWtJSIlA",Tidak Percaya
@indanasiaa Kayanya yg pasti gaboleh vaksin yg kaya gini https://t.co/7ywNtecmIF,Tidak Percaya
"Please help support Sudah Vaksin, add a #Twibbon now! https://t.co/uzEyvJE0UL",Percaya
"dosenku tiap ngajar ""udah di vaksin belom?""",Tidak Percaya
"Vaksin aman, Satgas penanganan menegaskan pelaksanaan vaksinasi akan terus dilakukan selama bulan Ramadhan dengan memperhatikan kondisi penerima vaksin yang sedang menjalankan puasa. https://t.co/VcTLJhTWiy",Percaya
"Walikota Surabaya, Eri Cahyadi mengutip fatwa MUI bahwa vaksinasi di siang hari tidak akan membatalkan puasa. Masyarakat diharapkan untuk tidak khawatir mengikuti vaksin, vaksin aman. Jokowi meminta agar masyarakat sukseskan vaksinasi ini.",Percaya
"@revanheryan08 @TyasZain @RodriChen bikin vaksin itu ga cukup cuma berdasarkan tujuan baik, ada kaidah &amp; prosedur yang harus ditaati lah biar vaksinnya aman. sesat berfikir",Tidak Percaya
"Hmmm !!! Terawan maju terus uji klinis Vaksin Nusantara di tengah sikap kontroversi BPOM, Anggota DPR RI jadi relawan https://t.co/wnEXML7z4L",Percaya
"@MrsRachelIn IDI kelihatannya tdk suka dgn apresiasi dr anggota dewan thd hasil kerja dr.Terawan dlm menciptakan vaksin nusantara sbg salah satu upaya utk menyudahi pandemi covid-19 ini di negara kita.
IDI ini kok dari dulu sptnya amat memusuhi dr.Terawan...!?!?",Percaya
"Selain BPOM, Kemenkes juga menyambut baik keputusan MUI yang memperbolehkan penggunaan produk vaksin AstraZeneca dengan tujuan masyarakat segera keluar dari darurat pandemi COVID-19. https://t.co/CGdueGplIK",Percaya
"Jangan pernah ragu untuk di vaksin, baik dilakukan pada pagi, siang hari atau menjalankan puasa itu tidak akan membatalkan puasa karena vaksin aman. https://t.co/TWiXHCyjjG",Percaya
"@___Mr_J03n4____ Jauh"" dr vaksin dech....di vaksin jg msh hrs pake masker trus gunanya apa tuch vaksin klo g bisa kebal tubuh kita dr virus..👎",Tidak Percaya
"Bismillah... 
In syaa Allaah Siap di Vaksin Covid - 19.

 #menunggujadwaldiVaksin",Percaya
"@RaiTeguhParjaya @kompascom Ya gimana, pihak vaksin nusantaranya juga cuma ngasih statement ""karya anak bangsa"" atau ""cintai produk dalam negri"", itu pun jubirnya anggota DPR",Tidak Percaya
So pregnant dgn bf mom dah bole ambik vaksin la kan?,Tidak Percaya
"Meskipun kita divaksin apapun jenis vaksin nya, 😏ya tetap aja prokes tetap jalan, seperti pake masker dll, ya kalau begitu ngapain di vaksin? #vaksinbukansolusimengakhiripandemi",Tidak Percaya
@fitrian Ini banyak dikhawatirin orang ya.. Pada ragu mo vaksin krn takut batal puasa,Tidak Percaya
"Lucu deh baca artikel berita tentang Vaksin N nya pak ex menteri. Jelas2 penelitiannya gak sesuai cpob (cara pembuatan obat yg baik) makanya gak dapet ijin bpom. 

Terus malah si bapak2 dpr juga ngotot buat tetep dilaksanain uji klinis tahap 2nya.",Tidak Percaya
"Vaksinasi ini salah satu cara kita untuk terus sehat dan melanjutkan puasa dan ibadah kit. Covid ini tidak seperti kelihatannya, dia bisa ada di dekat kita kapan aja. Makanya vaksin ini penting juga untuk menjaga imun kita https://t.co/7b0hbSC18L",Percaya
"BPOM menemukan sejumlah kejanggalan pada pengembangan vaksin Nusantara. Selain pengujian belum memenuhi standar ilmiah, vaksin ini berpotensi mengakibatkan efek samping bagi tubuh manusia. Berikut ini rinciannya. #korantempodigital #KoranTempo https://t.co/D8tYT7r04a https://t.co/69xZx1QWSG",Tidak Percaya
"Nah kalau udah ada fatwa MUI ini udah mantep khan gak perlu pusing dan bingung lagi. Pokoknya puasa dan vaksin covid 19 tetep aman ya, gak akan ngaruh ke ibadah kita semua https://t.co/djXKtYXgza",Percaya
"Waduh, Peneliti Vaksin Nusantara Disebut Abaikan Koreksi BPOM? 

Vaksin Nusantara itu bukan untuk vaksin covid tapi vaksin politik.

https://t.co/QhesWkAm0E",Tidak Percaya
"Terawan jadi menteri kesehatan ngurusi data pasien covid aja nyembunyiin data. Terus berharap dpi bikin vaksin ngasih tahu data penelitiannya?

Mimpi kamu, dek! https://t.co/buoNV5nLYT",Tidak Percaya
"menurut AGAMA pun semua sdh ada AHLInya &amp; kita harus berpasrah pada ahlinya,, jadi kalo vaksin sdh dikatakan klinis yaa kita harus vaksin 😁👍 https://t.co/tOCeeNlqeT",Percaya
@PakAhmadUtomo @ismailfahmi Saya melihat vaksin satu ini ada unsur politisnya. Terlihat dari ngotonya bbrp anggota dpr,Tidak Percaya
Rencana Pemberian Vaksin Nusantara ke Anggota DPR Dianggap Ganjil https://t.co/DlYpVH9zoi,Tidak Percaya
@politikana Od money Golkar mungkin banyak yg dimintain sumbangan buat muterin vaksin amrik ini jadi punya terawan kali?,Tidak Percaya
"@drpriono1 @BPOM_RI Yg penting jgn pakai standar ganda, emang BPOM memeriksa langsuñg proses pembuatan vaksin ke Cina dan Amerika, katanya hanya berdasar laporan, lha gmn bisa menerapkan standard berbeda dg Vaksin Nusantara,?",Tidak Percaya
Gimana caranya vaksin sih kok ini gua liat udah pada mulai dapet ya,Percaya
@whereistherrr hbis ni gw mau vaksin kedua juga nih yah. jujur takut godin. soalnya iya pas yg oertama emang jadi laperan 😐👍,Percaya
Akhirnya vaksin juga...,Percaya
"So far so good ini Sinovac, paling kemeng doang tangan.

Yuk mari menanti tahap 2 vaksin dengan ttp menjaga kesehatan as always.",Percaya
@KompasTV Jawab dulu siapa bertanggung jawab vaksin LN? Vaksin Nusantara jelas aman karena Lokal dan Alamiah... Kami 100% Yakin Vaksin Nusantara!,Percaya
"@penyejuk_hati_ @DivHumas_Polri lha?
belum terbukti secara klinis, lalu sudah ngaku2 ampuh dan dipakaikan ke orang, itu ga beda sama vaksin palsu...

buktikan dulu itu ampuh, baru jadi vaksi asli 😊",Tidak Percaya
"Apa itu uji klinis, yg penting bisnis. Kudu cepet jadi vaksin. Makin cepet jadi makin cuan. Sebelum permintaan sedikit stok banyak, harga jadi murah, bisa bisa ga laku 🤣. Mantep emang politikus negara tetangga. https://t.co/9difzme50m",Tidak Percaya
BPOM: Peneliti Vaksin Nusantara Orang Asing dan Tidak Berizin https://t.co/ROGjEW5nh5,Tidak Percaya
BPOM menilai dokumen CPOB dan hasil uji klinis fase I vaksin Nusantara gagasan Terawan belum sesuai kaidah penelitian. Baca selengkapnya di #CNNIndonesia https://t.co/KQSTGAGZLk,Tidak Percaya
Makanya gw against what they call vaksin nusantara.. akal2an biar dapet kue gede vaksin doang https://t.co/0qfRSI9hUk,Tidak Percaya
Ke bandung cuma buat vaksin doang,Percaya
@KompasTV @BossTemlen vaksin nusantara kok 100% teknologi avita USA..nusantara cabang UD ya..mwkwkwkwk,Tidak Percaya
Hore dah vaksin kedua.,Percaya
@kompascom Dan impornya dari Amerika pula. Udah tau Amerika bermasalah soal vaksin,Tidak Percaya
Inilah Kesalahan Uji Klinis Vaksin Fase 1 Buatan Terawan yang Menyebabkan BPOM Belum Mengizinkan Untuk Fase Tahap 2 https://t.co/xx06uzyXtD,Tidak Percaya
"1.250 lansia sudah mendapatkan suntikan vaksin Sinovac. Pelaksanaan vaksinasi Covid-19 sudah masuk pada tahap kedua untuk vaksinasi bagi lansia dan petugas pelayanan publik.

#papuanlivesmatter 
https://t.co/gJyiuD8mv4",Percaya
"Lagi-lagi negara ini cuma dibuat mainan oleh pejabat yang berkepentingan...

Bikin vaksin? Mimpi.
Sillicon valley? Jualan resort.
Prokes? Senjata pidana.

Mau dibawa kemana lagi bangsa ini??? https://t.co/jLsfLeFZUV",Tidak Percaya
"Vaksin itu bukan di Nusantarakan, tapi di uji Klinis kan.

Gimana pemikiran anggota @DPR_RI  Komisi IX ini.

Adeeeuuuuhhhhh. Gkgkgkgkgk
 https://t.co/kHPXvUW2jn",Tidak Percaya
"@TirtoID Ini kacau benar. Phase I saja belum lewat, vaksin sudah diberikan ke mereka yang “berminat”. Kalau misalnya diberikan dalam rangkaian penelitian, peserta vaksinasi haruslah sesuai dengan kriteria yang sudah ditetapkan peneliti.",Tidak Percaya
Apa ini? Oohhh gua lagi vaksin https://t.co/szhSUBRY7g,Percaya
"Masih tuai pro kontra, pimpinan Komisi IX tetap dukung pengembangan vaksin Nusantara.

#merahputihcom #vaksin #vaksinnusantara #covid19 #dpr 
https://t.co/bjsnCBsb0w",Percaya
Alhamdulillah atok dpt giliran vaksin,Percaya
@leksa @DivHumas_Polri Woi.. Emangnya dia bikin vaksin palsu?,Tidak Percaya
"Eaaahhh B Penny mau cari pembenaran untuk impor vaksin.
Unrespect !!!

https://t.co/5kF8q6AYMY",Tidak Percaya
"Bagus juga kalau begitu, dan karena Vaksin, semua terkena Virus China
 https://t.co/5K2Rzq4czd",Tidak Percaya
Vaksin Covid-19 aman dan halal https://t.co/vIGIrEYj90,Percaya
"Supaya segera tuntas, Dinas Kesehatan DKI Jakarta dan Pemkot Surabaya tetap melanjutkan proses pelaksaanaan vaksin aman covid-19 selama ramadan.

Mana suaranya yang kebagian giliran vaksin di bulan puasa? 
Siapin stamina yaa.. https://t.co/V67b8SD8rw",Percaya
"Bolsonaro meremehkan pandemi sejak awal, menganggap covid-19 sebagai flu kecil, meragukan efektivitas masker dan vaksin, serta terus melakukan kampanye menentang tindakan penguncian.
  https://t.co/25vR2bvs5x",Tidak Percaya
Vaksin Covid-19 aman dan halal https://t.co/fRG2Hzpfdk,Percaya
@kompascom Vaksin rasa pulitik~,Tidak Percaya
"hari ini bapak vaksin,semoga tetep sehat selalu sehabis vaksin. aamiin",Percaya
"Biarkan saja mereka yg percaya vaksin ""karya anak bangsa"" toh resiko di tangan mrk sendiri..",Tidak Percaya
"Fatma MUI sudah menyatakan bahwa vaksinasi covid di Bulan Ramadhan tidak membatalkan puasa kita. Nah hayo yang punya pikiran membatalkan puasa kudu dibenerin nich, bahwa semua aman kok vaksin saat puasa https://t.co/X98NZoiXph",Percaya
Dah lah. Ga ush steril. Ga ush vaksin,Tidak Percaya
"Badan POM: Keamanan dan Efektivitas Vaksin Nusantara Belum Meyakinkan, Komponennya Produk Impor #badanPOM #vaksinnusantara 

Selengkapnya--&gt; https://t.co/nfYxObB7Se https://t.co/sgKtHTUMb4",Tidak Percaya
"Bohongi Rakyat dan Jokowi, Ahli Epidemiologi Ungkap Vaksin Nusantara Penelitian Asing dan Tak Sesuai Standar
https://t.co/jjjnvv6NKv https://t.co/eM8LYoypEG",Tidak Percaya
Vaksin Aman karena nggak masuk lewat rongga badan yang terbuka dan vaksin nggak dianggap sebagai makanan dan minuman. https://t.co/juS1WZ4MPE,Percaya
"@martiramatir Tiap pengujian itu jg ada standar2nya.. Biasanya merujuk ke standar yg dikeluarkan FDA ato ISO.. Ya kalau Vaksin Nusantara dibilang ga layak, berarti dlm prosedur pembuatannya ada yg ga sesuai dgn standar2 pengujian kelayakan dari FDA atau ISO itu..",Tidak Percaya
Di vaksin dulu https://t.co/3MgcoiuYGy,Percaya
"Amerika Syarikat, Afrika Selatan dan Kesatuan Eropah (EU) memutuskan untuk menghentikan sementara suntikan vaksin J&amp;J selepas kes darah beku dilaporkan. 

https://t.co/u150gr1lCa
#onenews #COVID19 #vaksin https://t.co/prOnr6PWcX",Tidak Percaya
"Hari ini Vaksin ke-2. 
Bismilahirrahmanirrahiimm https://t.co/i3bj1PrOTy",Percaya
"Sama seperti Arab Saudi, Pusat Fatwa (Dar al-Ifta) al-Azhar, Kairo, Mesir juga menegaskan, suntikan vaksin Covid-19 ngga membatalkan puasa

Suntikan vaksin aman, soalnya ngga dimasukkan melalui rongga tubuh, seperti mulut, hidung, telinga &amp; bukan berupa makanan minuman",Percaya
"Vaksin 1 kemarin terlewati tanpa efek demam, mual atau ngantuk bangatt ✨",Percaya
"Bersama kita bisa. Mari saling melindungi, karena sejatinya vaksin aman itu buat kita juga, bagian dari upaya kita melindungi, bagian dari ikhtiar.
Berserah mah boleh aja, tapi setelah berikhtiar, right?",Percaya
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/0ulLBT16SQ",Percaya
"4) Data tidak transparan. Hingga kini ilmuwan independen seperti saya tidak bisa mengakses data hasil uji klinis fase 1. Padahal dalam pengembangan vaksin covid lainnya, semua melaporkan dan mempublikasikannya secara luas sehingga bisa dianalisa oleh ilmuwan lainnya.",Tidak Percaya
"@JLukup Aku tidak mengerti penjelasan BPOM mengenai penilaian thdp vaksin nusantara yg dilakukan dari mana, yg jelas pembuat vaksin nusantara juga dari kedokteran dan para ahli dibidangnya dg ilmu yg sama, skr tinggal nunggu mana yg berhsil, kalau aku ya prcaya sama dr. Terawan &amp; teamnya",Percaya
"Vaksin Nusantara , vaksin individual, perlu Kajian lanjut 🙏
#VAKSINNUSANTARA https://t.co/rHcaYMvhBU",Tidak Percaya
"08.55 #BeritaSONORA - Anggota DPR Ikut Uji Klinis, Semua Fraksi Komisi IX Disebut Dukung Pembuatan Vaksin Nusantara https://t.co/OylNK36vOO via @KompasTV",Percaya
"Mufti Besar Arab Sasudi Sheikh Abdul Aziz al-Asheikh menegaskan, vaksin aman Covid-19 ngga membatalkan puasa. 

Sebab diberikan lewat injeksi, sehingga tidak dianggap sebagai makanan dan minuman.",Percaya
"@pengarang_sajak Gak Apa , Vaksin Rusia Saja Tidak Di Akui Eropa Dengan Berbagai Alasan",Tidak Percaya
"emang bener yang dikata bokap, jangan vaksin. https://t.co/A4rwqLPpmy",Tidak Percaya
"Anggota DPR Ikut Uji Klinis, Semua Fraksi Komisi IX Disebut Dukung Pembuatan Vaksin Nusantara https://t.co/5PNURISTA4 https://t.co/WWojdrCCN6",Percaya
Jadi  Vaksin Aman dilakukan siang hari karena nggak membatalkan puasa. https://t.co/fxeOv2aAAh,Percaya
"Gimana gaes? Jangan bimbang dan ragu lagi jika kalian mendapat giliran vaksin di bulan ramadhan ini ya? InsyaAllah aman dan tdk membatalkan puasa kalian kok. 
Ok gaes, sehat-sehat yaa kalian semuaa",Percaya
"Masih bingung dengan urgensi vaksin Nusantara yang belum lolos uji klinis fase 1 oleh BPOM tapi tetap dilanjutkan ke fase 2.

Hidup orang kok kayak ga ada harganya
Otak gw belum nyampe dengan pola pikir politikus",Tidak Percaya
"Vaksin NUSANTARA ... Karya Anak Bangsa 

Hiyaaaa ... Pada PANIK ... 
RAKYAT dijadikan Kelinci percobaan. https://t.co/xPulstdlG2",Tidak Percaya
"😱😱😱 

71% Relawan Vaksin Nusantara Alami Kejadian Tak Diinginkan, 6 Orang Gejala Berat | https://t.co/fj1SPa7Gjf",Tidak Percaya
@fitrian Sip kalo gitu vaksin aman ya,Percaya
"Pemerintah terus mendorong pengembangan vaksin dalam negeri
https://t.co/InLIIOoFPu",Percaya
"Data studi di BPOM mencatat 20 dari 28 subjek atau 71,4 persen relawan uji klinik fase I virus Nusantara mengalami Kejadian Tidak Diinginkan. https://t.co/ABEs0aeILv",Tidak Percaya
"Penny mengklaim tahapan riset dan pengembangan Vaksin Nusantara belum memenuhi sejumlah standar yang ditetapkan BPOM.
-
VIDEO: Ini Alasan BPOM Belum Setujui Vaksin Nusantara https://t.co/FcUX4eqJdZ",Tidak Percaya
"Mantan Panglima TNI ikuti pengambilan sampel darah untuk vaksin Nusantara. 

#merahputihcom #panglimatni #sampeldarah #vaksinnusantara #vaksincovid19 
https://t.co/ULSZNOOfwO",Percaya
"Yuk, singkirkan ragu dan cemas.
Kepastian vaksin aman, sudah berdasarkan ijtihad para ulama.

Vaksinasi, demi kesehatan diri sendiri, dan terwujudnya kekebalan kelompok. 
Semoga kita segera terbebas dari pandemi ini. https://t.co/PWnhVD6ypr",Percaya
Fraksi PDIP Tidak Ikut Vaksin Nusantara di RSPAD | Publicanews Nasional https://t.co/OUS6civWi5,Tidak Percaya
"@KompasTV @BossTemlen Yg bisa menjamin vaksin Nusantara ya bangsa sendiri.....kyk gini kok msh bertanya!!!, emang loe bangsa apa bukankah hidup di nusantara",Tidak Percaya
aku suda vaksin apakah kelen sudaaaa?,Percaya
BPOM Menyoal Vaksin Nusantara: Produksi Tak Steril hingga Peneliti Tak Berizin – Kumparan- https://t.co/hLF3jHvzPk https://t.co/FIUVnQmcmy,Tidak Percaya
