Tweet,Nilai,,Tidak Percaya,Percaya,,,
"Ical Hingga Gatot, Deretan Tokoh yang Disuntik Vaksin Terawan https://t.co/rz6tU8BYTG 

Mereka aja mau di Vaksin..kok IDI sama BPOM masih ngeyel ya?? aneh juga..Hmmmmm",Percaya,,,,,,
70 Persen Subyek Uji Klinis I Vaksin Nusantara Alami KTD https://t.co/rVahMo2EMh via @harianbatampos,Tidak Percaya,,,,,,
"Gatot Nurmantyo, ARB Hingga Anggota DPR Enjoy Disuntik Vaksin Nusantara, Begini Kata Mereka Â  https://t.co/dNSnxvKt8S",Percaya,,,,,,
"Gatot Nurmantyo, ARB Hingga Anggota DPR Enjoy Disuntik Vaksin Nusantara, Begini Kata Mereka   Â  https://t.co/dNSnxvKt8S via @Indopolitika",Percaya,,,,,,
"Kader Banteng DPR RI Tak Ikut Uji Klinis Vaksin Nusantara

https://t.co/rTd6LqlQQL #pdiperjuangan",Tidak Percaya,,,,,,
"@TheArieAir Karena efikasi vaksin sinovac cuma 65,3% pun seperti vaksin covid lainya belum bs sampai 100% https://t.co/7e34LNcWxA",Tidak Percaya,,,,,,
Model tersebut menjadi yang kesekian yang terlibat 'skandal vaksin Covid-19' Argentina. https://t.co/FhZnwv3eAw,Tidak Percaya,,,,,,
@Viena_Wu Jangan takut di vaksin,Percaya,,,,,,
"@pengarang_sajak Ini namanya bisnis bung, biarkan mereka saja idi dan vaksin Terawan itu yg berkicau, kedua2x nya punya kepentingan masing2x...",Tidak Percaya,,,,,,
Vaksinasi tidak membatalkan puasa malah justru fungsinya akan memperkuat imun karena puasa termasuk proses detoksifikasi. Umat Islam yg berpartisipasi dlm program vaksin aman ini sama aja membantu mewujudkan kekebalan kelompok (here immunity) tercegah dari Covid-19.,Percaya,,,,,,
Kelompok Milenial Dukung Penuh DPR dan Pemerintah Sukseskan VaksinÂ Nusantara https://t.co/iW9aRX1C7M,Percaya,,,,,,
Kelompok Milenial Dukung Penuh DPR dan Pemerintah Sukseskan VaksinÂ Nusantara https://t.co/NOFwzuFppo,Percaya,,,,,,
"@TirtoID Untuk Vak Nus saya percaya Dr Terawan, karena vaksinnya tidak menggunakan virus yg diperlemah, injeksi vaksin dlm darah di luar tubuh jadi bisa pra analisis dan Terawan selalu  out of the box",Percaya,,,,,,
"Bos Res Tawang di Batu Ceper meninggal kn corvid ktnya..pdhl uda vaksin ke 2 jg..tertular dr pembantunya..dia msk RS 2 minggu aja .. jln selamanya.
Tetap hrs hati2 n jaga biar sdh vaksin pun...tdk jamin. https://t.co/t34TNthHhl",Tidak Percaya,,,,,,
"Nah kan. Pasti ada yg gak beres
https://t.co/GzJWRFai2D",Tidak Percaya,,,,,,
"@detikcom Gpp jadi kelinci percobaan, tuh vaksin belum lolos rangkaian uji klinis, kita lihat aja gimana hasilnya ðŸ˜",Tidak Percaya,,,,,,
"Untuk itulah Dinas kesehatan DKI Jakarta tetap melakukan vaksin, karena Vaksin Aman. https://t.co/uZETaLGh7S",Percaya,,,,,,
@CNNIndonesia Kita lihat saja vaksin yg belum uji klinis apakah aman atau tidak,Tidak Percaya,,,,,,
"Khofifah Indar Parawansa Gubernur Jawa Timur menghimbau, walaupun sudah ada yang di vaksin, warga Jatim harus tetap disiplin protokol kesehatan selama menggelar ibadah di bulan Ramadhan.

#PuasaJagaProkes
Ramadhan Tetap 5M https://t.co/hNocH3h7xV",Percaya,,,,,,
"@RaiTeguhParjaya @kompascom Iya, ada apa? Kok pihak vaksin Nusantara diam saja? Kalau BPOM bohong silakan bantah.",Tidak Percaya,,,,,,
"Khofifah Indar Parawansa Gubernur Jawa Timur menghimbau, walaupun sudah ada yang di vaksin, warga Jatim harus tetap disiplin protokol kesehatan selama menggelar ibadah di bulan Ramadhan. #PuasaJagaProkes
Ramadhan Tetap 5M https://t.co/uAAokzFXWT",Percaya,,,,,,
@NarasiNewsroom Perlu uji klinis dulu baru vaksin itu layak disuntikkan,Tidak Percaya,,,,,,
"@Harian_Jogja Ikuti prokes dan segera ikuti vaksin yaa, biar pesebaran berkurang #VaksinUntukIndonesia https://t.co/gl3840xWO9",Percaya,,,,,,
"@yanadrn @raditph Aduh ðŸ¤¦ðŸ»â€â™€ï¸ Mungkin bbrp orang udh menganggap ""aman"" karena udh ada vaksin kali ya. Pdhl mah vaksin ga 100% mencegah dari Covid",Tidak Percaya,,,,,,
Sekarang rame isu vaksin nusantara ya. Penasaran dimana bisa dapet argumen 'pro'-nya. Ada yang bisa kasih koordinat?,Tidak Percaya,,,,,,
Maju terus Vaksin Nusantara..! Biarkan anjing menggonggong sementara khafilah tetap berlalu..! https://t.co/LzhzUF95fD,Percaya,,,,,,
"@TirtoID Hmmm bos gue lagi nungguin vaksin nusantara besutan pak mantan menkes ini. Biar aja gue jg mau lihat reaksinya nnti dibadan dia bgmn, seefektif dgn sinovac dkknya  kah atau tidak",Tidak Percaya,,,,,,
"Khofifah Indar Parawansa Gubernur Jawa Timur menghimbau, walaupun sudah ada yang di vaksin, warga Jatim harus tetap disiplin protokol kesehatan selama menggelar ibadah di bulan Ramadhan.
#PuasaJagaProkes
Ramadhan Tetap 5M https://t.co/S7Bcz8RHAp",Percaya,,,,,,
Vaksin aman selama berpuasa dinyatakan oleh fatwa MUI nomor 13 tahun 2021. https://t.co/0k1ZzjayfQ,Percaya,,,,,,
"VAKSIN NUSANTARA.
ELIT POLITIK MULAI MELAWAN PEMERINTAH
Rocky Gerung Official
ðŸ‘‡ðŸ˜³ðŸ‘‡
https://t.co/etLW4FCubT",Tidak Percaya,,,,,,
@korantempo Maju terus Vaksin Nusantara...!,Percaya,,,,,,
"Khofifah Indar Parawansa Gubernur Jawa Timur menghimbau, walaupun sudah ada yang di vaksin, warga Jatim harus tetap disiplin protokol kesehatan selama menggelar ibadah di bulan Ramadhan. #PuasaJagaProkes
Ramadhan Tetap 5M https://t.co/hQZY8mocJb",Percaya,,,,,,
"@drpriono1 @BPOM_RI dukung dong vaksin nusantara,seperti kalian mendukung mobil esemka.",Percaya,,,,,,
"#BuletinBernama: Denmark hentikan penggunaan vaksin AstraZeneca
https://t.co/ppO2VWozur",Tidak Percaya,,,,,,
"Ini kata MUI bahwa vaksin nggak bikin batal puasa ya. Jadi, Vaksin Aman kok. ðŸ˜Š https://t.co/3WPUAhF7Ml",Percaya,,,,,,
"#Rap Datuk A Aida menjadi artis tempatan pertama di negara ini menerima suntikan vaksin Pfizer-BioNTech.

https://t.co/31Eghm11JL",Percaya,,,,,,
"Hal yang membatalkan puasa adalah makan dan minum dengan sengaja. Sementara, vaksin Covid-19 diinjeksi melalui intramuskular, tidak dianggap sebagai makanan dan minuman.

Vaksin aman untuk orang yang sedang berpuasa dan bisa melanjutkan ibadah puasa tan0a harus meng-qadha nya.",Percaya,,,,,,
"@PakAhmadUtomo Kalo emang jelas merek dagangnya vaksin nusantara udah seharusnya dipakai untuk memenuhi beberapa kuota vaksin dalam negeri, masalahnya kan sekarang informasinya masih liar dan ngga jelas bung, gimana mau menyimpulkan kalo informasinya sepotong2x bung...",Tidak Percaya,,,,,,
BPOM Belum Keluarkan Izin Uji Klinik Tahap II untuk Vaksin Nusantara https://t.co/BckJHocIPn,Tidak Percaya,,,,,,
"Kenapa aware bgt sm vaksin buatan Amerika ? Pernah ada case, org disuntik2 vaksin jd autis. Ya mungkin org Indo susah percaya / gak percaya sama sekali. Apalagi vaksin impor ini gak disetujui BPOM. Sangat berbahaya. Jgn asal suntik2 aja https://t.co/z4n2bN59PH",Tidak Percaya,,,,,,
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/jXaFJ3ltZc",Percaya,,,,,,
Vaksin dulu biar..sehat.. https://t.co/rVanJNllKM,Percaya,,,,,,
@risw_okob vaksin nusantara absurd dan maksa #simpanthread @BotKumpulan,Tidak Percaya,,,,,,
"Emang boleh vaksin saat puasa? Boleh, MUI sudah menekan fatwa nomor 14 tahun 2021 bahwa vaksinasi Covid-19 tidak membatalkan puasa.

Jadi kita yang muslim enggak perlu khawatir. Tinggal mempersiapkan tubuh agar vaksin aman setelah diinjeksi ke dalam tubuh. https://t.co/JgrWxbNJe5",Percaya,,,,,,
Melalui Jubir vaksinsi @KemenkesRI menjelaskan program vaksinasi Presiden @jokowi akan tetap dijalankan di bulan Ramadhan dngan dasar Fatwa yang di keluarkan MUI bahwa vaksin tidak membatalkan puasa. https://t.co/s6uw3iS7nR,Percaya,,,,,,
Benarkah ilmuwan AS lebih mendominasi riset vaksin 'anak bangsa' ini? https://t.co/7hWLSOOOLf,Tidak Percaya,,,,,,
"BULAN BAKTI ISTRI DOKTER 2021 
""IIDI Cabang Jepara dukung vaksin Covid-19""
#pd_iidi
#bbid2021
#faridaiidi
#iidi_jepara https://t.co/9WK3fcTsoR",Percaya,,,,,,
BPOM Ungkap Asal Usul Komponen Vaksin Nusantara Yang Saat Ini Tuai Kontroversi #Nasional #PennyLukito https://t.co/XeVKazRKH3 https://t.co/NlWenZ7gyC,Tidak Percaya,,,,,,
@_pln_id Ayo hilangkan covid dengan vaksin,Percaya,,,,,,
"@motizenchannel @PutraWadapi Oom tolong deh, mending om dorong para peneliti vaksin nusantara untuk menjelaskan secara transparan seputar proses2x dan hasil2x uji dll yg dicermati @BPOM_RI Tempatkan riset pada porsinya sebagai sebuah upaya saintifik dan jauhkan dari urusan perpolitikan",Tidak Percaya,,,,,,
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/9e2Vp2lgGd",Percaya,,,,,,
"Jadi, selama vaksinnya tidak lewat rongga mulut, kubul dan dubur atau rongga badan yang terbuka, vaksin aman dan tidak membatalkan puasa. Karena pemberian vaksin tidak dianggap sebagai makan dan minum.",Percaya,,,,,,
"Karena ada laporan pembekuan darah. Food and Drug Administration serta Center for Disease Control Amerika Serikat, merekomendasikan penghentian sementara penggunaan vaksin Johnson &amp; Johnson. Penghentian sementara vaksin dosis tunggal untuk tekan penularan kasus COVID-19 ini. https://t.co/5lDXwfmk39",Tidak Percaya,,,,,,
"Pro Kontra Vaksin Merah Putih, 40 Anggota DPR Jadi Relawan, BPOM Ragu, hingga Jawaban Peneliti https://t.co/wchHXjiSPC via @tribunnews",Tidak Percaya,,,,,,
"Ya vaksin nusantara aja belom lolos uji klinis fase 1, kok mau disamain sama yang udah uji klinis fase 3 (yang brarti udah lolos fase 1,2). Emangnya pak terawan tu direshuffle karena dia yang pengin? Nggak semua yang berbau indonesia tu hrs dibela mati-matian lah sobat overproud.",Tidak Percaya,,,,,,
"Sudah Ada Fatwa MUI, Fahira Idris: Warga Yang Sudah Terjadwal, Jangan Ragu Disuntik Vaksin, baca @rmol_id
https://t.co/ohy6E6XtoE",Percaya,,,,,,
"Udah gagal ngatasin covid-19,lah sekarang mau bikin vaksin buat covid-19 ðŸ‘ https://t.co/UpCTElhfpg",Tidak Percaya,,,,,,
"@fitrian alhamdulillah, jadi lega kalau ada fatwa begini, Mbak. Aku belum ada jadwal vaksin sih, masih nunggu.",Percaya,,,,,,
@hipohan @eemom73 ...untung gw blum di vaksin..,Tidak Percaya,,,,,,
"Vaksin Nusantara tengah menuai pro dan kontra. Sejumlah anggota komisi IX DPR, mengikuti uji klinis fase kedua, di RSPAD Gatot Subroto. Sementara BPOM meminta penelitian vaksin dihentikan sementara, karena tak memenuhi syarat uji klinis fase pertama.

https://t.co/LOY4Zs8wL5 https://t.co/3JITppfeNa",Tidak Percaya,,,,,,
Johnson &amp; Johson tunda distribusi vaksin di Eropa https://t.co/FkbRJ2cQa9 https://t.co/aroTcK1WSF,Tidak Percaya,,,,,,
@dhanangpuruhita Vaksin nusantara ini baru sejak ide aja udah kontra. Mungkin ada kepentingan lain diluar medis yang kita ga tau.,Tidak Percaya,,,,,,
@TheArieAir Jangan2 vaksin palsu lagi ðŸ˜Š,Tidak Percaya,,,,,,
11.00 #BeritaSONORA - Kekacauan informasi terkait penerimaan vaksin Nusantara oleh DPR dianggap sebagai langkah politisasi vaksin oleh DPR. https://t.co/Hdifqrfhqy via @kompascom,Tidak Percaya,,,,,,
Jadi sekarang kita harus vaksin karena vaksin aman. Selain itu kita bisa membantu pemerintah untuk mewujudkan kekebalan kelompok agar bisa terbebas dari pandemi.,Percaya,,,,,,
Vaksinasi dengan suntikan tidak membatalkan puasa sebab tidak melalui rongga mulut. MUI menyatakan vaksinasi dengan cara injeksi seperti pemberian vaksin tidak akan membatalkan puasa. Vaksin aman jadi seluruh masyarakat jangan khawatir sebab vaksin itu tidak membatalkan puasa.,Percaya,,,,,,
"Ramai Politisi Ikut Vaksin Nusantara, Rocky Gerung: Terlihat Ada Semacam Pemberontakan Diam-diam https://t.co/7qEJ6LbTMp",Tidak Percaya,,,,,,
"#MGTNews  Mantan Panglima TNI Jenderal (Purn) Gatot Nurmantyo menyatakan, dirinya ikut menjadi relawan uji klinis vaksin Nusantara yang diprakarsai mantan Menteri Kesehatan Terawan Agus Putranto. https://t.co/e3xiP4XXBz",Percaya,,,,,,
@cyjwj9694 Hah? Gimana? Nggak jadi vaksin gitu maksudnya??? Kok gitu?,Tidak Percaya,,,,,,
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/xWhKh8NTw1",Percaya,,,,,,
"Fungsi vaksin merangsang pembentukan sistem antibodi untuk mengenali jenis virus SARS Cov2 ini yg menyebabkan penyakit covid 19

jadi kalo kalian sudah pernah berpengalaman terpapar dan saat ini misih idup itu artinya antibodi anda sudah terbentuk

ga perlu vaksin lagi",Percaya,,,,,,
"vaksin, swab, rapid, masker = cuan",Tidak Percaya,,,,,,
"Alhamdulillah puas masuk hari ke 3. Semoga makin lancar dan kuat ya sampai akhir Ramadan.

Vaksinasi Covid-19 msh terus berjalan dan Vaksin Aman diberikan selama berpuasa. Kok bisa?

Sebuah utas...",Percaya,,,,,,
"Apa sih yang membuat sejumlah anggota DPR ramai-ramai disuntik vaksin nusantara?

https://t.co/T7oWtJSIlA",Tidak Percaya,,,,,,
@indanasiaa Kayanya yg pasti gaboleh vaksin yg kaya gini https://t.co/7ywNtecmIF,Tidak Percaya,,,,,,
Keputusan tersebut disampaikan seiring temuan kemungkinan dengan kasus pembekuan darah. https://t.co/BqLRkeGjIV,Tidak Percaya,,,,,,
"Please help support Sudah Vaksin, add a #Twibbon now! https://t.co/uzEyvJE0UL",Percaya,,,,,,
"Vaksin aman, Satgas penanganan menegaskan pelaksanaan vaksinasi akan terus dilakukan selama bulan Ramadhan dengan memperhatikan kondisi penerima vaksin yang sedang menjalankan puasa. https://t.co/VcTLJhTWiy",Percaya,,,,,,
"Walikota Surabaya, Eri Cahyadi mengutip fatwa MUI bahwa vaksinasi di siang hari tidak akan membatalkan puasa. Masyarakat diharapkan untuk tidak khawatir mengikuti vaksin, vaksin aman. Jokowi meminta agar masyarakat sukseskan vaksinasi ini.",Percaya,,,,,,
"Ramai Politisi Ikut Vaksin Nusantara, Rocky Gerung: Terlihat Ada Semacam Pemberontakan Diam-diam https://t.co/mJWB4Xrtlc lewat @Repelita",Tidak Percaya,,,,,,
"@revanheryan08 @TyasZain @RodriChen bikin vaksin itu ga cukup cuma berdasarkan tujuan baik, ada kaidah &amp; prosedur yang harus ditaati lah biar vaksinnya aman. sesat berfikir",Tidak Percaya,,,,,,
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/SkmIgwFcKJ",Percaya,,,,,,
"Hmmm !!! Terawan maju terus uji klinis Vaksin Nusantara di tengah sikap kontroversi BPOM, Anggota DPR RI jadi relawan https://t.co/wnEXML7z4L",Percaya,,,,,,
Pemkot Surabaya tetap akan melaksanakan vaksinasi kepada masyarakat selama bulan Ramadhan bahkan Pemkot Surabaya menggandeng MUI untuk sosialisasi vaksin aman.,Percaya,,,,,,
"@LuckyTempe Iya sama mertuaku jg gitu katanya, kalau ngantuk gapapa lah ya msh bisa tidur ðŸ˜Š semoga nanti vaksin keduanya lancar ya dan sehat selalu.",Percaya,,,,,,
"@MrsRachelIn IDI kelihatannya tdk suka dgn apresiasi dr anggota dewan thd hasil kerja dr.Terawan dlm menciptakan vaksin nusantara sbg salah satu upaya utk menyudahi pandemi covid-19 ini di negara kita.
IDI ini kok dari dulu sptnya amat memusuhi dr.Terawan...!?!?",Percaya,,,,,,
"Selain BPOM, Kemenkes juga menyambut baik keputusan MUI yang memperbolehkan penggunaan produk vaksin AstraZeneca dengan tujuan masyarakat segera keluar dari darurat pandemi COVID-19. https://t.co/CGdueGplIK",Percaya,,,,,,
"Jangan pernah ragu untuk di vaksin, baik dilakukan pada pagi, siang hari atau menjalankan puasa itu tidak akan membatalkan puasa karena vaksin aman. https://t.co/TWiXHCyjjG",Percaya,,,,,,
Sejumlah ahli sebut metode vaksin Nusantara lebih cocok untuk pengobatan kanker dibandingkanuntuk melawan virus Covid-19. Tak layak disebut vaksin. https://t.co/aaDGMLeUZP,Tidak Percaya,,,,,,
"@___Mr_J03n4____ Jauh"" dr vaksin dech....di vaksin jg msh hrs pake masker trus gunanya apa tuch vaksin klo g bisa kebal tubuh kita dr virus..ðŸ‘Ž",Tidak Percaya,,,,,,
"orang yg tahu intrik dan politik di blkng ni vaksin udah pasti ogah, lihat aje kejadian ikutannye banyak tapi uji klinis malah ga berhenti. 

https://t.co/FtXwUa4zBH",Tidak Percaya,,,,,,
"Kenapa aku lemah sekali, di vaksin langsung klenger ðŸ˜£",Percaya,,,,,,
"Sejak di Vaksin,ko nafsu makan lebih bergairah yaðŸ˜†ðŸ˜…",Percaya,,,,,,
Ini Alasan Denmark Batalkan Vaksin AstraZeneca https://t.co/kuQ94u5Wbk,Tidak Percaya,,,,,,
"Bismillah... 
In syaa Allaah Siap di Vaksin Covid - 19.

 #menunggujadwaldiVaksin",Percaya,,,,,,
"@indria_vitri Sy divaksin pake sinovac gejala nya ngantuk berat mbak, lengan juga rasanya kyk agak bengkak gitu, gejalanya cuma 1 hari aja sih, besoknya udah hilang. Tmn2 yg lain juga sama efeknya ðŸ˜‚ ini msh nunggu jadwal vaksin keduanya.",Percaya,,,,,,
"@RaiTeguhParjaya @kompascom Ya gimana, pihak vaksin nusantaranya juga cuma ngasih statement ""karya anak bangsa"" atau ""cintai produk dalam negri"", itu pun jubirnya anggota DPR",Tidak Percaya,,,,,,
So pregnant dgn bf mom dah bole ambik vaksin la kan?,Tidak Percaya,,,,,,
"Bambang Brodjonegoro selaku Menteri Riset dan Teknologi/Kepala Badan Riset dan Inovasi Nasional (BRIN) berharap agar Vaksin Merah Putih yang masih diteliti efektif melawan berbagai varian COVID-19.
https://t.co/6i4U4G9FOZ",Percaya,,,,,,
"Hari ini dapet jadwal vaksin di Senayan, lagi nunggu antriannya panjang juga ya Bun banyak orang yg mau divaksin.
Berasa kaya mau nonton konserðŸ™„ https://t.co/d12IlhTB2u",Percaya,,,,,,
Rumania Tanggguhkan Penggunaan Vaksin Covid-19 Johnson &amp; Johnson https://t.co/NIWelPsakY https://t.co/dpmzLMH35d,Tidak Percaya,,,,,,
"@HendroWibowoYZA @TirtoID Lu mau mati sia"" kah? Itu vaksin nya harus sesuai biar apa biar bisa digunakan kalo bukan manusia yg gunakan oke lah tapi ini untuk manusia yang benar ajah ding kalo ngomong,",Tidak Percaya,,,,,,
"Beres vaksin ngarep dibagi nasi box, isinya nasi rendang padang ðŸ˜‚",Percaya,,,,,,
"Vaksin COVID-19 Johnson &amp; Johnson Dihentikan Akibat Kasus Langka
https://t.co/VsSIjQnCJN",Tidak Percaya,,,,,,
"Meskipun kita divaksin apapun jenis vaksin nya, ðŸ˜ya tetap aja prokes tetap jalan, seperti pake masker dll, ya kalau begitu ngapain di vaksin? #vaksinbukansolusimengakhiripandemi",Tidak Percaya,,,,,,
@HendroWibowoYZA @TirtoID Kalo mau cepet silahkan berpartisipasi jadi tikus percobaannya vaksin nusantara ðŸ¤£,Tidak Percaya,,,,,,
Dinas Kesehatan DKI Jakarta memastikan vaksinasi di Jakarta tetap berjalan meskipun penerima vaksin sedang menjalankan puasa. Vaksin aman jadi jangan khawatir. Pemerintahan Jokowi berharap agar vaksinasi bisa berjalan dengan lancar di bulan Ramadhan ini.,Percaya,,,,,,
"@geloraco Vaksin Sinovac diakui WHO ga sih, kalau ga diakui, sebut saja dengan vaksin Palu Arit PKC !

Biar terang benderang...",Tidak Percaya,,,,,,
Indonesia juga sudah melakukan uji klinis vaksin lebih dulu. Bio Farma juga berkoordinasi dengan baik dengan seluruh pihak mulai dari Kementerian Luar Negeri dan Kementerian BUMN terkait pengadaan vaksin. https://t.co/zVgWjL915x,Percaya,,,,,,
"@rizkynirwandhi 3. .... Padahal dpr sendiri sudah di vaksin sinovac sebelumnya. Jadi mau nguji apa?
4. Secara bahan material ini impor semua dan peneliti juga mayoritas dari amerika jadi kurang tepat menyematkan label lokal. Ini cuma vaksin luar yg dikembangkan di indonesia",Tidak Percaya,,,,,,
Berita terbaru: Maya Rumantir: Maya Rumantir Dukung Terobosan Anak Bangsa Ciptakan Vaksin Nusantara https://t.co/fS3MimEn4z,Percaya,,,,,,
@abcdefifnh @fsaputra__ semangatttt vaksin ke duaaa,Percaya,,,,,,
"@izzulrizl Ini lagi nunggu vaksin dulu Bang,,
Siap vaksin langsung meluncur balek ke Aceh .. ðŸ¤²ðŸ»ðŸ¤²ðŸ»",Percaya,,,,,,
@drpriono1 @agussari @BPOM_RI Berati vaksin sinovac ama astra ga rekomended,Tidak Percaya,,,,,,
"Ramai Politisi Ikut Vaksin Nusantara, Rocky Gerung: Terlihat Ada Semacam Pemberontakan Diam-diam
https://t.co/B7m7AgBA2w",Tidak Percaya,,,,,,
aku habis vaksin gais https://t.co/NNhVZwC7fa,Percaya,,,,,,
Kekacauan informasi terkait penerimaan vaksin Nusantara oleh DPR dianggap sebagai langkah politisasi vaksin oleh DPR. https://t.co/5XoY0xuUI5,Tidak Percaya,,,,,,
"@tirta_hudhi Dok mau tanya, ini beneran apa hoax? Vaksin sinovac bikin impoten? Bener gak dok ini? Sorry kudet saya.",Tidak Percaya,,,,,,
Vaksin thp 1 done,Percaya,,,,,,
"Sebanyak 71 Persen Relawan Alami Kejadian Tidak Diinginkan, Keamanan Vaksin Nusantara Dipertanyakan https://t.co/pVZLKv1qql",Tidak Percaya,,,,,,
"Vaksin aman jadi selama Ramadhan tetap dilanjutkan vaksinasi, sebab kategori batal puasa adalah masuknya benda ke dalam perut seperti mulut, hidung dan telinga. https://t.co/CGfzhgY67j",Percaya,,,,,,
"@schokocatcher Keluarga aku jg pas vaksin kmrn itu pake yg ada juga, tp kalau diliat2 vaksin yg ada di Indonesia lbh minim resikonya. Mudah2an efeknya tetep bagus ya dan selalu jalani protokol kesehatan, itu yg paling penting.",Percaya,,,,,,
"Hingga saat ini, sekitar 40 juta dosis vaksin Covid-19 sudah masuk ke Indonesia, baik dalam bentuk dosis  maupun berbentuk bulk atau bahan baku. Tentu saja dengan jumlah dosis sebanyak itu diharapkan proses vaksinasi berjalan lancar. https://t.co/NPoQ0nwO22",Percaya,,,,,,
"Karena tahun lalu sempet nguli di salah satu BUMN, alhasil dapet vaksin lebih dulu
#fotomainstreamdikalapandemi https://t.co/GaYQHu49F2",Percaya,,,,,,
"@na_dirs Mau asalnya darimana kek, mau namanya apa kek. Vaksin tetep untuk bisnis",Tidak Percaya,,,,,,
Habis vaksin kepala gua pusing sekarang lemes udah kayak abis sunatan tapi kagak dibius,Percaya,,,,,,
Agak takut vaksin,Tidak Percaya,,,,,,
Denmark jadi Negara Pertama yang Memutuskan Berhenti Total Menggunakan Vaksin AstraZeneca https://t.co/QXwQjZC1fP,Tidak Percaya,,,,,,
