@by070820 @aleeyafateeha @syafiqahmohamed Sememangnya kita patut jd mcm org Cina..lebih proaktif..sanggup menunggu in case ada org defaulter appt vaksin..sbb pfizer mmg once buka xleh simpan lama,
"Dahsyat mimpi malam tadi, dapat vaksin Pfizer sebab masih menyusu anak 😂",
@AamAadmiParty @Saurabh_MLAgk Janta ko bewakoof banana band karo JJ ko approval mil chuka hai aur Sputnik V ko bhi aur Moderna ko bhi only pending Pfizer due to some issues .,
"Canada, acchi wali garmi hai tab tak second dose dilwa de, Maa kasam saree pehenke Pfizer-part two lene jaungi.",
"@POTRILLO08 @clarincom Ya lo desmintio Pfizer, hno!",
@infopresidencia @pfizer Tercera etapa ya!,
Sudah mulai banyak yang lepas masker di supermarket dan meski sudah pake vaksin pfizer 2x tetap ajalah ngga bisa kalo ngga pakai masker bedah ke tempat umum tertutup yang isinya sejuta umat... 😷😷😷,
@KaalaManna @NisaLatheef Masheh ves  nuvaanan gannan libenyaa. Ekamu Pfizer US in gannan libey ingey.,
@Malikah_Jazilah Ye boleh sbb dalam mySejahtera punya queue under Program Vaksinasi Kebangsaan (Pfizer) and this one (AZ vaccine) is option program so untuk cepatkan boleh register yg ni.,
Dak2 siam ofis pun sanggup nak tunggu Pfizer gak. Tak main ah barang uk pui. https://t.co/4SHHptpraO,
"@DIskandarmirza Vaksin Sinovac dari China.

Pfizer dari Belgium &amp; AZ dari UK kan?

Ke Pfizer &amp; AZ tu terbalik? Hehe 😅

Anyway, kalau memang AZ dari UK memang patut lah mereka guna AZ kan sebab memang dari tempat mereka sendiri. Apa2pun, this is good news.",
@loosebool #DilliKaThug Kejriwal has already started batting for Pfizer.,
"@ArvindKejriwal apse oxygen cylinder tk to arrange nahi hue usme apne hath khade kr diye, aur pfizer ki vaccine kharidna chahte ho usko preserve kaise karoge -70 temp pr? Ap bs batein krte ho, hota kuch nahi hai bs modi virodh me pgl ho rakhe ho
@ABPNews @ZeeNews @ndtv
#AskAK",
@saurabhraiiiiii @ndtv I agree. Pfizer ke saath ye waala panga bohot bada hai. Wo Indian trial kar hi nahi raha,
"@ANI Kya jaruri hai pfizer ,moderna ki or bhi international company hai china waha try karo",
"@SinghSolnki @AsanNishant @IamDeshBhakt_ Are ulti khopdi , discussion gov k sath hua hai. Jb offical statement h to kyun deny krna. Tu shart laga le jaise Sputnik aayi h Pfizer bi ayegi .",
"Pfizer or moderna ko mat allow krna bharat me , ye Congress, AAP sab lage pade hae hume barbaad kr dene ki ... @narendramodi
#ModiHaiTohMumkinHai
#CongressToolkitExposed
#TwitterIndia",
Hence proven. Kejriwal Pfizer ki dalali kar raha hain. https://t.co/TPgfEXABQD,
@SinghSolnki @AsanNishant @IamDeshBhakt_ To apke bhgwan modi ji manga kyun rhe hain Pfizer ? Mtlb gazab hi hai according to bhakt  modi raaz mei desh -30 ki vaccine bhi store nhi kr skta ? Wah re massom bhakt https://t.co/rwNs2Tf1FG,
"Fact ... bharat ko barbaad krne sara plan set kr rakha he who,china america,Pfizer,congress ,app ... @shlokpandey2222 @Pushpendraamu @Swamy39 
#ModiHaiTohMumkinHai #CongressToolkitExposed https://t.co/1lJGyLoFUp",
Tbh aku still geram dengan orang muda yang nak tunggu vaksin pfizer 🙄 kalau orang tua aku ok lagila sebab side effect dia tak seteruk astrazeneca tapi ni yang muda erghhhh cucuk je la sehari je pun demam,
@diljitdosanjh pajji pfizer da koi side effect hoya??? 🤔,
I am waiting for Pfizer .. thoda jaldi kar dijiye..🙏 https://t.co/RxFZzrZw4B,
"@madzukif_ HAHAHAHA mantap ! Tak pernah pulak aku dengar side effect tak boleh tidur😂. Lagi rasa nak tidur ada😂😂 , tapi tak sure la vaksin tu punca rasa nak tidur ke atau terlalu penat 😂. Btw kau ambil vaksin apa AZ ?  ke Pfizer ?",
"Sebenarnya vaksin AZ ni kenapa murah kalau nak dibandingkan dgn Pfizer, sinovac dan lain²?",
@Pharmacist_awan Behtareen ho gya phir toh... or Pfizer ka kya scene hai? Kab tak Pakistan aaye gi any idea?,
"🧪 Vaccines used globally

Pfizer/BioNTech (contd.):
🇴🇲 OM 🇵🇦 PA 🇵🇪 PE 🇵🇭 PH 🇵🇱 PL 🇵🇹 PT 🇵🇸 PS 🇶🇦 QA 🇷🇴 RO 🇷🇼 RW 🇸🇦 SA 🇸🇩 SD 🇸🇬 SG 🇸🇻 SV 🇸🇲 SM 🇷🇸 RS 🇸🇰 SK 🇸🇮 SI 🇸🇪 SE 🇹🇨 TC 🇹🇳 TN 🇹🇷 TR 🇺🇦 UA 🇺🇾 UY 🇺🇸 US 🇿🇦 ZA",
@ajessss The best vaccine is the first you can get!! Tunggu pfizer sekali dapat sinovac. Bukan boleh pilih pun..,
"@faaiiiqah @mahirahmasdar Pfizer tu paling ok untuk elderly kan, aha maybe dia register yg volunteers tu. bkn apa sbb dia baru je recover + tahap 5. Takut side effect teruk.",
@ekhw4ng Real ke? Kawan aku macm tu jugak lepas cocok pfizer petang tadi.,
Boleh ke nak tunggu pfizer...,
@dalilahrozman Ade jalan pintas tak nak dapat kan Pfizer.. 🤣🤣🤣🤣,
@shimsungyeol Tapi nk pfizer.. Tp cam lambat lg je kalau tunggu.. Ntah dpt ntah x.. Huuu,
mostly memang akan foward benda bangang macam tu. tiber AZ dgn Pfizer ada kena mengena dengan Israel. https://t.co/7V3ORUb0dn,
@RenukaJain6 @msisodia Suna hai Pfizer ne Kejri ke laat maar di aur kaha ki woh direct Central Govt ko vaccine supply karenge.....,
"@RahulGandhi Pappu tum Pfizer ke dalal ho, sidha sa bol do na.",
$MRNA #coronavaccine https://t.co/ReISdkRJCl https://t.co/6I5dmGzpbp,
"Padahal ""israel"" tu 100% org dia vaksin guna pfizer.. kalau dia kte AZ tu israel punya then asal diaorg xguna je ""buatan"" diaorg terus n guna pfizer instead.. bangang https://t.co/MLVFUwULIE",
@aimxnhkm_ dapat yg mana? pfizer ke yg AZ hari tu?,
@coolfunnytshirt Pfizer and Moderma to Kejriwal- https://t.co/DBmGuYufJS,
"Pfizer/BioNTech RM60

Saya ada rm120. Nak 2 dos ye kak. 💁🏻‍♀️ https://t.co/djBxPGmhgW",
"@swad_shane Wow, dapat Pfizer kah..?",
"@syamimiwnr @prncssirose Sabor je ni.. kalau tak aku as co-founder syarikat pfizer,, aku saman je dia ni..",
"@adeirra Alhamdulillah, saya juga sdh vaksin.(Pfizer)

Semoga pandemi berakhir dan kehidupan kembali normal.

Dah kangen kampung halaman.",
"@amer7211 Anwar tak cakap monopoli Sinovac saja. Anwar cakap SEMUA kena lalu Pharmaniaga. AstraZeneca, Pfizer, Sinovac. Abang cakap betul2 bang. Abang tipu saya malas layan dah pasni..",
"@ShekharGupta Aapki PR ka koi fayda nahi , pfizer nahi aayegi , marwa lo apni Gandhi se ja ke ab",
@farisha_196 Ya betul pfizer.,
"@_____janaNASIR Boleh consult dgn doktor dulu.. Keyakinan kena dari diri kau.. If tak yakin, for me its okayy.. Tunggu pfizer.. At least kau ada initiative nak cucuk.. Apa2 boleh search je dkat socmed.. Cari yg good2.. Heee",
Dua kali dah pastu pfizer pastu tak function https://t.co/vWxjwBzHrQ,
"@AinieHaziqah @SyafinazSenusi Kene faham AZ bkn main program,bnyk je PPV lain di johor tpi pusat tu untuk vaccine program utama(sinovac,pfizer)buat masa sekarang AZ bukak dia kawasan yang high risk.bila terima lg bnyk dose AZ sdh psti akn buka PPV di kawasan lain. AZ shot pun sukarela,ad kelapangan bole ambil",
mein apni property tumhare naam kar dungi agar kisine mere dimaag se 'i'm a pfizer provider' nikal diya toh,
@ZawilFilza Ohh kalau yg register dkt mysejahtera ni sama ada pfizer atau sinovac la. Kalau yg AstraZeneca tuh dia kene register lain.,
@syafinaaina Awak ambik vaksin apa?  Pfizer ke?,
"@yaxynn Geri goru nujahaa Moderna/Pfizer jahan thiben vee. 

@yaxynn Covidsheild jahan india ah dhey 😂",
kenapa harus pake AstraZeneca siiiihh? ga banyak yg tingkat perlindungannya lebih tinggi dan efeknya ga sampe mengakibatkan kematian?,Tidak Percaya
"Vaksin Pfizer dan AstraZeneca Disebut Efektif Lawan Corona Varian India, IDI: Banyak Sekali Klaim https://t.co/AclhIFG3jY",
"@afifanajwa Pfizer lambat sikit . Bak kata din pagoh , dia cptkan ke hujung tahun ni. Tp ntah la. Bulan dan bintang mungkin",
@my_sejahtera @sangarnab Kalau daftar dekat mysejahtera ni dapat vaksin apa? Pfizer la sedap sikit. Ejas la.,
"Erghh.. sama dengan waris seorang ni. Kerja sebagai warga KKM kot. Boleh pula cakap, “sinovac tu kurang ok sikit dari pfizer.”

🤨🤨 https://t.co/4cXXJhAVFc",
"@NadiaAwaludin Maksudnya dengan vaccine tu berapa ramai orang diselamatkan dari dijangkiti covid. Contohnya pfizer claim 95% efficacy, kalau 100 orang ambik pfizer 95 takkan kena covid. Jzkk mohon tunjuk jika salah",
hence dorang sanggup nak tunggu dapatkan pfizer jugak instead of apa yang available ada sekarang ni. some of them aware je with the side effects after getting the jab tapi sebabkan AZ ni bukan under program vaksin kebangsaan and dia sukarelawan orang jadi makin takut. not to -,
@ImanNrainaa @redzuanNewsMPB Masalahnya memang berita palsu pun sebab arwah Haziq ambik vaksin Pfizer bukan AZ,
"@Telugu360 Start chesadu pfizer ki lobbying. 
Inka enduku raledhu ani anukuntu unti 😂😂",
"@airish0175 antara article untuk dibaca. konklusinya, sama macam aku cakap, dapatkan vaccine. itu sahaja.

https://t.co/C3wQrmN4Qy",
@RaviSinghKA  Paji ik kam kardo kisaan andolan lai Pfizer medicine bhej do. Eh kam Tusi hi kar sakde. Indian Govt ne Kuj nai karna. Pls,
@ikaistyping Kita pun sakit hati...harini ada org up story..dia dpt pfizer guna quota family member staff hospital...mana adil mcm tu,
@NazrinHadia Dah daftarkan diorang kat MySejahtera tak untuk Pfizer dengan Sinovac?,
@Randhawa_110 @WajihaQmr Chunkay abhi tak sirf Pfizer hay jisay hum 16 + teenagers + adults ko laga saktay hain. After research SHAYAD Pfizer 12+ bachon ko lagana shuru kardain Baqi abhi tak koi vaccine approve nhin hui 18 say below kayliye,
@amirahyusuf Haah. Dapat pfizer. Takpa cucuk je mana mana pun sama fungsi dia.,
"@_zyraaaaaa @rafidah72 The option masa tu, proceed vaksin atau defer to some other time. Kalau proceed vaksin, husband kena pakai kondom or seangkatan dgnnye supaya I tak pregnant dlm 3 bulan. They even showed to me the compatibility chart. For pregnant lady, pfizer je. Itupun 3rd trimester baru sesuai",
"@Vijay4AAP @Haryanviiiii @ANI Toh Pfizer kaun sa aaj de dega. Peru ko 2023 bola hai.. Tu intezaar karna.

Itna hai Kejriwal se Sinovac khareedwa le",
"@adirahanum Hahahahaha, aku pun rasa nak je daftar atuk dgn nenek az tapi atuk cakap nak jugak tunggu pfizer :’)",
@ferdiriva @mrshananto Semoga dapat jatahnya Pfizer. Nggak tahu bisa request atau nggak 😬,
"@firlysavitri @mrshananto Bisaaa. 💪🏽

https://t.co/85ogK1u6cy",
@farahdiana_yuna Kalau dapat pfizer mesti lagi kekwat tu,
"@drzul_albakri @Tabung_Haji Assalammualaikum YB, bagaimana utk penerima vaccine sinovac ye ? According to the statement only vaccine pfizer, AZ, J&amp;J, and moderna sahaja yang boleh menunaikan haji",
"Pfizer dan AstraZeneca Disebut Ampuh Lawan Covid-19 Varian India, IDI: Banyak Sekali Klaim

https://t.co/LnvXKYPgJF",
"Sebab diorang banyak nak pfizer sedangkan pusat kat kelantan banyak sinovac. Because of this, ramai orang walk-in sebab nak cuba nasib kalau orang tak datang https://t.co/D3PbT1mxU6",
@amiraamanaf Kena tunggu PICK juga. Sekarang ikut nasib dapat sinovac/pfizer.,
"@mrshananto Thanks for acknowledging my feelings Teh. Jadi nggak terlalu malu merasa frustasi. 

They said Pfizer would be safer for me. Tapi bgmn bisa dapat jatah Pfizer? Nggak tahu deh.",
@ABPNews Sab pesa k chakker main baat ruki hai.jis din deal acchi milegi us din pfizer k use krny ki permission mil jayegi.,
@bernamadotcom cake tu ada pfizer ke dalam tu?,
"Ok.

Government dah start bagi vaksin Astra Zeneca untuk ibu menyusu selain Pfizer.

👍🏻 https://t.co/gEv0QmyhC3",
@SPlandemic Suntik pfizer aja berdosis-dosis 😂😂 biar beneran dead itu pcong.,
@Artirahhh Org2 tua &amp; yg berisiko dpt pfizer. Org muda dia bg Sinovac. Maybe member tu kakitangan awam kot. Sbb kakitangan awam ramai yg dh dpt. Sy pun xdpt lg. Dengar citer kita bleh pergi jer kt pusat vaksin tu dan daftar secara manual.,
"Nenek aku umur 80 tahun sihat walafiat, ada penyakit hypertension sikit, lepas2 cucuk vaksin Pfizer aku perasan satu perubahan...

Nenek aku dah kurang tersengguk waktu solat terawih berjemaah kat surau berbanding sebelum ambil vaksin!! :o

SEBARKAN BAGI SEMUA TAHU KEBENARAN! https://t.co/09EuzkyQLk",
Wo PFizer bole tum China Samajh lena https://t.co/UemoWnYse2,
"Peraturan perjalanan baru Uni Eropa akan mengizinkan turis2 yg udah divaksinasi untuk masuk, tapi cuman mereka yg divaksinasi dgn vaksin2 yg udah disetujui, yaitu Pfizer, Moderna &amp; AstraZeneca...

Vaksin Sinovac gak laku, bro... 😅 https://t.co/bQTXt00yy0",
"Berdasarkan laporan media internasional, belum ada kepastian keduanya bisa mengatasi virus varian India. https://t.co/jKwbnoJpom",
"@Fahmibinhassan Nak tanya, adakah kita diberi kan hak untuk memilih vaksin mana yang kita mahu kan? Setahu saya, doktor takkan bagi selagi kita ragu-ragu dan tak yakin, tapi contoh kalau kita yakin dengam pfizer je, yang lain tak, adakah dibenarkan?",
"@ahmadfarhan989 first dose dah. dok tggu second dose. tapi tulah, baru ada baca katanya haji terima pfizer dgn AZ ja. sedih dia 😭",
@HausofHilton Ada tak ibu mengandung yang dah amek pfizer ke?,
@iamnerves Haha steady betul. Ke pfizer mmg side effect dia kurang?,
"@DrDzul @rafidah72 Katanya tak boleh pressure NPRA. Tapi byk vaccine dah diguna pakai. Moderna sama technology dengan pfizer.  Ini darurat, NPRA needs to speed up, atau mungkin standard kita lagi power dr US &amp; Europe?",
"So dalam senarai tu ada Pfizer, Sinovac, dengan Comirnaty.",
"@hrnurtweets2 @Haryanviiiii @ANI Ek kaam karte hai na tb Chinese vacc ko v manzuri dedeta..
India k Log ka life jae toh jae atleast vaccination toh ajaega. Right??
Pfizer agr itna hi acha hota toh Brazil mein band nhi hota..
Includng kya tm jante ho Pfizer ki condition kya hai India market mein aane k liye??",
"@AnkurSriUK @saket71 @pfizer @ArvindKejriwal @AamAadmiParty @narendramodi Honest? Kejriwal is a scumbag! Remember?
RSN Singh's researched
https://t.co/6JFXsOHBlF",
Yang duk kasta-kastakan Pfizer dengan AZ pun masalah besar gak. Macam tak cukup masalah yang ada nak jugak persoalkan 😌,
@TokJoeMY Senang pulak dpt Pfizer ya.  Saya register utk mak x dpt lagi pun.  Tu pun x taula nak dpt apa.  Harap2 Pfizer la,
Bapa mertua saya Okt ini genap 80 tahun. Alhamdulillah dah ambil vaksin #Pfizer isnin minggu lepas. Sehingga hari ini tidak ada kesan apa2 lenguh ke demam ke kebas ke mengantuk ke. Tak ada. Makan ok sembahyang ok puasa 6 ok exercise pun ok.,
"Mmg fitnah la jawab dia. Arwah ambil faksin pfizer, bukannya astrazaneca.

Bg hukuman tinggi sket. Mintak maaf pun sbb terpaksa. Siap buat statement lain kata minta maaf jela walaupun dia tau dia betul. Siap gelak2 lagi ngn maknya. 🤦🏻‍♀️ https://t.co/Y4cspkiI7W",
"@AstonMartinMY Ni under PICK, jadi Pfizer or Sinovac. AZ tak masuk dalam vaccine supply.",
@RGVzoomin @DrFaucis1 @pfizer @BharatBiotech @Covishield Arey tammudu nduku ra tondara. . Wait and watch . . Oka pani chei Nellore Ki velli anandayya story raaasko pooo. .,
@penatbuttercup alhamdulillah. lebih kurang pak sy. 72 juga cucuk pfizer pg tadi. dos kedua lg 3 mgu. sepertinya ok kerana baru vc dgn cucu. mudah mudahan happy terus.,
@shmajn yes AZ. the pfizer one mcm lama lagi je.,
@punaianzz tp rasa warga emas mmg pfizer je,
@amrhzlkh_ Nk tggu pfizer klu boleh hmmm,
"@myhaziqfx Kenapa hanya sinovac? Gi la beli pfizer, AZ, sinopharm etc. Pharmaniaga hanya bawa sinovac",
Ni si bodo and hodoh mana yang kata Pfizer lagi okay instead of AZ vaccine? Tampaq satgi kang dah pulak kakak aku nak tunggu Pfizer JE 🙄,
Bos aku lepas ambik vaksin pfizer terus jadi aktif weekend pun masuk office 😂 https://t.co/x9jDkPgm5R,
"@waniekamarudinn Kawan syida ada yang amek vaksin time tgh pantang. Tp dia amek pfizer. Mmg doktor tmpt kerja syida sarankan jangan direct bf utk 2/3 hari. Make sure dah pump stok siap2 utk stok 2/3 hari before amek vaksin tu. Dia punya side effect common je, demam on off, sakit2 badan",
@msisodia Sisodia sahab Pfizer ki storage Temperature pata hai apko -10° se -24° Apke pass storage capacity nhn hai.,
@wawayakop @HanieHamz @Fahmibinhassan Baik2. Terima kasih atas makluman. Tadi ade terbaca yg pendaftaran pfizer utk pregnant mom akan dibuka tak lama lagi.,
"@erin_razak Yg my sejahtera tu under program PICK, vaksin pfizer &amp; sinovac ke buat masa sekarang. 

Hri tu prog ni nk masukkan vksin AZ ni dlm PICK tapi ramai tak setuju. Sebab time tu ada rumours pasal AZ ni. Padahal risikonya cuma 0.00004%. So tak jadi masuk PICK",
"@HilmiSapri @HanieHamz @Fahmibinhassan Saya salah baca soalan, igtkan for Bf mom, kalau mengandung yang disarankan hanya pfizer. Untuk register sama mcam biasa through mysejahtera. Tapi kena tunggu “que” yg lama. 😅 ini pun kena tanya dr ya. Tapi percentage baik lagi banyak dari buruk.",
lah sebabtu je this group of people nak pfizer,
"@nurulewka1234 Ayah aku dah dapat vaksin. Melalui mysejahtera. KKM tunjuk vaksin pfizer sblm cucuk and explain berapa ml tuhari. Kitorg tmn rinting n seri alam ambil kat dewan serbaguna seri alam ni.  Aku register utk AZ. Kalau lambat tggu pfizer, boleh amek AZ ni utk yg tkde masalah kesihatan. https://t.co/COxGws9F2g",
@fikribaharan Siap orang cerita boleh pilih lagi nak Sinovac or Pfizer untuk yang warga emas la.,
@Fahmibinhassan Umi saya yg dah 71 dapat je pfizer,
"Tahukah anda Msia tak pernah dedah harga vaksin atas alasan kerahsiaan. 

Tak pasti kerahsiaan ke nak sakau?

Di Eropah ats nama ketelusan wang tax payer harga vaksin didedahkan.

Astra Zeneca RM9
Sanofi/GSK RM38
Pfizer/BioNTech RM60
Curevac RM50
Johnson&amp;Johnson RM32
Moderna RM75 https://t.co/Gv3ZBWjypO",
@AfarizaHanim Teruk tak side effect Pfizer?,
@amrhzlkh_ Tula i dgr jgk Az selamat utk ibu menyusu hmm tp nk pfizer 😭😭,
@msisodia Band karo Pfizer ki dalali ab.,
@ihsnzlkfle Muahaha kt sini mmg pfizer or moderna ja,
Cemana nak yakinkan orang yang vaksin AZ ni selamat. Sebab dalam group duk nk pfizer saja takmau AZ 🤦🏻‍♀️,
"Mungkin moderna boleh dpt internet 7g, mungkin pfizer sekadar menguruskan badan je mana la tauu https://t.co/mnyeIcJQ1a",
Bismillah. Moga rumours kata nak buka pfizer untuk 18 above tu betul 🤲🏻,
"@ammmahmd PPV sini, hanya ada Pfizer dan Sinovac. Secara amnya, jarak 1st dose dan 2nd dose dalam 21 hari (3 minggu). 

Takleh kurang tapi boleh lebih. Lebih pula tak boleh lambat 40 hari (6 minggu). Terpakai untuk pfizer dan sinovac. 

AZ aku tak tahu macam mana.",
"tanya ibu abah dah register AZ ke , sekali jawab ‘ kitaorang pfizer  2 dos dah pun noob ‘ hshshhshsh",
"@tedadnan Ni yg Pfizer je, dengar kata ada campuran blue pill. Tersalah campur formula. 😂",
@Awanchuuu__ @Nizamshams3 Yes for skrg mmg xboleh . Sbb saudi accept pfizer n Az je,
@tinayushaimi aku nak pfizer....,
Hahhaah ibu nak vaccine tp dia nak pfizer supaya sama dgn kakak2 dia 😂😂😂,
"@riridarjuno1 @Retwin4 @ProfesorZubairi Itu kan udh ada proporsi belinya sekian sekian.. dan klo ga salah inget, yg az ini jumlahnya setara sama pfizer ya tp yg pfizer blm dtg2 gtu.. cmiiw 😅",
@nadididiya weh lambat. tp ya la AZ ni tak silap aku volunteer. kalau nak tunggu tu kena tunggu pfizer kot?,
"@denvydelune @rskaldian @agritaw @teppy87 lagi diselidiki keterkaitan serangan jantung pada usia muda dan vaksin MRNA. pfizer dan moderna.
https://t.co/ji7frLhAi7",
@FMasriati @Haji_Bajuri Pfizer kayaknya baru mau datang atau udah datang ya skrg. Kalau disini yg ada baru Sinovac dan AstraZeneca aja sementara ini.,
"@FrenchSuriRumah @labourMYS @pencintaikan Bus &amp; van kkm mungkin sgt sibuk angkut  pesakit #covid19.

van &amp; bus sekolah ada banyak yg idle -- pasang sticker &amp; ubahsuai sedikit selesai.

Logistic vaccine spt Pfizer sudah xperlu ultra cold storage lagi.
 https://t.co/VJY5Jlz8m5 https://t.co/u0kTArB4R3",
"In short..

Pfizer and Moderna ne bhi inko khada nai kiya.. https://t.co/Cc7LF7mkk8",
"“Anak kawan ma dia doktor cakap tunggu dulu. Ambik yang Pfizer je sebab tu paling okay.”

Macam mana nak lawan benda gini. Kau imagine.

Sakitnya hati aku.",
"@fzlhnm tok yg 23hb, esok boleh daftar umur 18+, sbb org tua sitok dah bnyk vaksin pfizer, bnyk gik slot ada",
@theduyung Normal kah patin lepas inject pfizer 2nd dose x rasa apa2…mcm x kena inject…1st dose hari tue ada rasa sakit and kesan darah…yg 2nd dose nie kesan darah pun xda…hahaha…,
@dbashasha Btol tnggu je pfizer dlu. Btw nenek umo bpe,
@Tamil_lion @JKJAVMY kalau nk pfizer ada lebih sikit kt rumah saya,
"@sandeepg1979 Unko Pfizer, Moderna or JJ ki Dalali karni hai Kaise procure karenge",
even though dekat group ws ayah banyak benda merapu about vaksin but still ayah ignore ja semua and ayah dah settle dua dos pfizer 🥲,
@AdvDanishRiaz @musaib Asi ha karnow Pfizer.,
@vivekagnihotri Pfizer to Kejriwal :- Sorry Babu 😂,
"“Pfizer and Moderna denied vaccine to Kejriwal government” 

(in short shown him his real aukaat)

Modiji to Kejriwal.... https://t.co/fMyh4tJtWh",
@Afif9711 Ah i see.. cause family skrg tgh hold nak daftar nenek sebab kan gov sarawak bagi vaksin AZ for 60 and above.. Dorg cakap better tggu Pfizer sbb lg elok... 😐😐😐😐😐😐,
@Haji_Bajuri @realAbikaTrader Gak paham kalo di Indonesia. Di Perancis untuk orang di bawah 55 tahun pakainya pfizer/moderna.,
"saja simpan sini. 
Aku dapat vaksin comirnaty- pfizer. 

Kesan sampingan dos 1 yang aku alami:

- pening
- sakit kepala
- lesu
- sakit tempat suntik
- sakit tangan/ lenguh
- nak demam tapi tak demam
- rasa tak sihat secara umum

Simptom-simptom ni ada untuk sehari dua je. https://t.co/kTUImi26qA",
"kawan i yang dari london pun tak percaya az ni, dia nak pfizer je 😭🤏🏻 https://t.co/AyyJcD9tSZ",
"Update terbaru! Vaksin keluaran AstraZeneca juga sesuai diterima oleh ibu menyusu!

Kini dua jenis vaksin sesuai diterima oleh ibu menyusu iaitu keluaran Pfizer &amp; AstraZeneca!

#LindungiDiriLindungiSemua https://t.co/jQYfYVYKWN",
"@Fahmibinhassan Pfizer nk ssh nk simpan, once dah kluarkan kne guna pakai.. unfortunately ada yang skip appointment msa temu jnji. Jd pfizer utk dy tu nk bg siapa?",
@realAbikaTrader Kalo bisa pilih ya Pfizer/Moderna saja.,
"Kena ingat, 2x Pfizer tu!

Rakyat biasa pula kena rebut AZ atau tunggu lama untuk dapat Sinovac. https://t.co/vSQrSx4meW",
@PChidambaram_IN Haa tumhe pfizer lane ke jaldi kya hai pata nahi agent ho kya unke,
"@fyoonna Lepas tu abg aku nak yg bagus je. Pfizer. AZ tak nak pulak. Hahahah, pergi dgn tak pergi belakang citer ek. Apa2 hal daftar jelah dulu kan.",
"Moga-moga dengan cerita serba ringkas ni dapat educate masyarakat sedikit sebanyak mengenai vaksin 😄 Oh btw, nenek saya kat Kelantan pun dah ambil vaksin Pfizer dos pertama haritu. Dia cakap tak sakit. Saya pulak demam 😂",
"Mungkin ada yang tertanya-tanya (kalau ada la 😆) macam mana saya dapat vaksin Pfizer. Okay. Nak senang cerita, saya kena jumpa patient semester ni. So, semua kawan sekelas saya + staffs dan pensyarah di klinik dapat vaksin. So tu je lah cerita dia.",
"Berdebat dengan diri sendiri nak post atau tak gambar ni sebab saya bukan jenis yang post gambar kat Twitter. Tapi, saya fikir nak post sebab nak share #PengalamanVaksin dan mungkin boleh educate sikit mengenai vaksin. Alhamdulillah, saya dah complete 2 dos Pfizer. https://t.co/Pm8HuaOCs7",
Abg aku ni gila tau. Aku nk daftarkan vaksin AZ utk mak aku. Dia ckp bahaya. Kalau apa2 jadi aku salahkan kau. Bullshit. Abis kalau amek pfizer mati? Aku nak dipersalahkan jugak.,
@medrouq Balit jak kta ambik pfizer,
