Tweet,Nilai
"agak agak bila permohonan vaksin nak buka balik eh? haritu tak sempat nak daftar🥺

#vaksin 
#vaksinuntukkita",
"KLUNGKUNG - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1610/Klungkung, pada Rabu (5/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/Bv1HHYJeDb",
"GIANYAR - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1616/Gianyar, pada Rabu (5/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/oEEc4zm18W",
"JEMBRANA - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1617/Jembrana, pada Rabu (5/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/H5NtkUtR5S",
"BULELENG - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1609/Buleleng, pada Rabu (5/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/EIUAk36liw",
"#SobatBPKAD Rumus Ikhlas.. ❤

#kata2bijak 
#ramadhan2021
#BPKADJuara
#BersamaKitaBisa 
#JabarJuaraLahirBatin 
#AKB 
#Ingat5M 
#JabarSiapVaksin 
#VaksinUntukKita https://t.co/alaIsfxJb3",
"Salam ramadhan ke 24 utk tahun 2021!!!
Alhamdulillah selesai utk vaksin dos 2 Hari ini #vaksinuntukkita #Sinovac",Percaya
Antri nunggu giliran setelah Bapake.. #VaksinasiNasional #vaksinuntukkita https://t.co/zE2WCqOjLR,
"Tugasan diteruskan walau menghadapi cuaca panas mahupun hujan demi melancarkan program suntikan vaksin kepada warga kuantan. 
@RELA_KUANTAN 
@relapahang 
#setiaberbakti
#KitaJagaKita 
#vaksinuntukkita https://t.co/cnaR0PiM1q",
"[SURVEI PENELITIAN]

Hai!! Kami dari FKM UINSU, saat ini sedang melakukan *penelitian penerimaan vaksin covid-19 di Kota Medan.* Jika tema teman berkenan boleh isi link survei berikut :
https://t.co/ngCohuQNAs

#vaksin
#COVIDIOTS
#vaksinuntukkita
#VaksinasiNasional
#Ramadan https://t.co/NGLPdMwXbV",
"Vaksin untuk Jaga Kesehatan dan dan keluarga. 
#vaksinuntukkita https://t.co/xHdYvcc28T",Percaya
"Vaksin COVID-19 untuk menyelamatkanmu bukan mencelakakanmu. 
#vaksinuntukkita https://t.co/toy7eyYnL2",Percaya
"Masyarakat Harus Tetap Disiplin Prokes setelah Vaksinasi COVID-19. 
#vaksinuntukkita https://t.co/j7Jk73R9Fh",
"Disiplin Prokes Setelah Vaksinasi. 
#vaksinuntukkita https://t.co/TAp8myzdgx",
"Jangan Ragu-Ragu untuk mengikuti Program Vaksinasi COVID-19
#vaksinuntukkita https://t.co/Z1TcfIZ3cc",
"""Jangan merasa sudah aman. Belum! Upaya menekan kasus aktif ini harus terus dilakukan dan sangat bergantung dengan kedisiplinan kita, kita semua, dalam menjalankan protokol kesehatan,"" kata Presiden Joko Widodo (@jokowi) 
#JokowiLawanPandemi
#VaksinUntukKita https://t.co/qFBTWMtYe7",
"Panglima TNI Bersama Kapolri Melihat Secara Langsung Pelaksanaan Vaksinasi Massal di Bali https://t.co/k8WS5WHof2 via 
@YouTube

#vaksinuntukkita #vaksincovid19 #berita #bali #nusabali #nusabalitv",Percaya
"BANGLI - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1626/Bangli, pada Senin (3/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/Nd5DMWJczd",
"KLUNGKUNG - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1610/Klungkung, pada Senin (3/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/rV7kaUYbg9",
"TABANAN - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1619/Tabanan, pada Senin (3/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/xLVe7lZgOJ",
"GIANYAR - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1616/Gianyar, pada Senin (3/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/qyjst4x5RH",
"Panglima TNI Bersama Kapolri Melihat Secara Langsung Pelaksanaan Vaksinasi Massal di Bali https://t.co/ipatz3V07v via @YouTube 

#vaksinuntukkita #vaksincovid19 #berita #bali #nusabali #nusabalitv",Percaya
"Kami sudah divaksin!

Kamu jangan takut divaksin yha!
🥳🥳

#monpersdivaksin 
#monumenpers
#VaksinUntukIndonesia 
#vaksinuntukkita 
#vaksincovid19 
#kominfo https://t.co/8jqMKbxo55",Percaya
"Tetap lakukan protokol kesehatan yaitu menggunakan masker dengan tepat, menjaga jarak dan mencuci tangan pakai sabun

Salam Sehat🙏🙏

#puskesmascilodong #cilodongsehat #cilodongjuara #vaksinuntukkita",
"Badan POM terbitkan izin penggunaan darurat (EUA) untuk #vaksinsinopharm yang telah tiba di Indonesia pada 30 April lalu sebanyak 482.400 dosis.
#coronavirus #COVID19 #vaksinuntukkita https://t.co/F0MZ4rS1Ru",
"GIANYAR - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1616/Gianyar, pada Minggu (2/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/i8FuqcY4Wo",
"JEMBRANA - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1617/Jembrana, pada Minggu (2/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/ym5joYLZSO",
"BULELENG - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1609/Buleleng, pada Minggu (2/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/xl0ppEYPqk",
"KARANGASEM - Kegiatan Penegakan Disiplin Protokol Kesehatan, PPKM/PPKM Mikro dan pelaksanaan 3M &amp; 3T serta Vaksinasi oleh Satgas Gabungan di wilayah Kodam IX/Udayana yang dilaksanakan oleh Jajaran Kodim 1623/Karangasem, Minggu (2/5/2021). 

#TNIPolriKawalProkes
#VaksinUntukKita https://t.co/4KUQZ6UF3d",
"Kedatangan Vaksin Astrazeneca merupakan Hasil Negosiasi Pemerintah dengan Gavi. 
#vaksinuntukkita https://t.co/tloF85g0HX",
"85% Masyarakat Indonesia bersedia untuk di vaksin.
#vaksinuntukkita https://t.co/smiN9ZMECq",Percaya
"Vaksin memberikan kekebalan Tubuh. 
#vaksinuntukkita https://t.co/klePih7dFz",
"Komisi Fatwa MUI Pusat menetapkan Vaksin COVID-19 produksi Sinovac Halal dan Suci. 
#vaksinuntukkita https://t.co/CmZyvgs95g",Percaya
"Vaksin AstraZeneca sudah diperbolehkan. 
#vaksinuntukkita https://t.co/jkZLN1cgTt",Percaya
"Pelaksanaan vaksinasi Covid-19 belum tentu menjamin 100 persen kebal dari virus SARS-CoV-2

#vaksinuntukkita #Corona
#Covid #COVID19 #lampungpostid
https://t.co/7mTV2uTt0t",
"Meski Sudah Ada Vaksin, Ini Alasan Mengapa Cuci Tangan Tetap Penting

https://t.co/qboTLGnEMs

#vaccine #VaksinCovid19 #vaksinuntukkita #VaccinesWork",
