Tweet,Nilai,,,
@CNNIndonesia Vaksin Merah Putih apa kabar?,,,,
"Kepala LBM Eijkman Amin Soebandrio menyampaikan hitungan awal harga vaksin tersebut yakni hanya Rp 1.250 per dosis. ngka tersebut belum termasuk hitungan produksi yang dilakukan Bio Farma.

https://t.co/2FNQOiEsPa",,,,
Harga Vaksin Merah Putih disebut-sebut bisa lebih murah dari vaksin yang diimpor dari negara lain. Bahkan harganya disebut di bawah US$ 5 per dosis. https://t.co/vJiqWRJHHb,,,,
"Eijkman sebut efikasi vaksin Merah Putih capai 85%
https://t.co/VrG9qZQnAa https://t.co/xwhRkC9nlg",,,,
"Hitungan Eijkman, Harga Vaksin Merah Putih Rp1.250 per Dosis https://t.co/ujf4tR1sVu",,,,
"Hitungan Eijkman, Harga Vaksin Merah Putih Rp1.250 per Dosis https://t.co/vxoNyqVvvR",,,,
"Eijkman: Butuh Rp400 miliar untuk uji klinik vaksin Merah Putih
https://t.co/bbnrtaUWPA https://t.co/3PHXLwtk6h",,,,
Mulai Pertengahan 2022 Vaksin Merah Putih Siap Digunakan https://t.co/MwS1zT7epR,,,,
"LBM Eijkman beserta sejumlah institusi tengah mengembangkan vaksin Covid-19 buatan dalam negeri, vaksin Merah Putih. Kepala LBM Eijkman Amin Soebandrio memperkirakan, vaksin tersebut memiliki efikasi sebesar 75-85%.

https://t.co/0OWumOvCE2",,,,
"Harap Sabar, Vaksin Merah Putih Baru Bisa Digunakan Awal 2022 https://t.co/2RBLyTmftZ via @Yahoo_ID",,,,
"Mulai Pertengahan 2022, Vaksin Merah Putih Bisa Digunakan Secara Umum https://t.co/cBPdbaXNca via @idxchannel",,,,
Vaksin Covid-19 Merah Putih Baru Bisa Digunakan Awal Tahun 2022 | https://t.co/kmCG6wfTrh https://t.co/92UgNO1dNU via @merdekadotcom,,,,
"Harap Sabar, Vaksin Merah Putih Baru Bisa Digunakan Awal 2022 https://t.co/TtBqen5TUC",,,,
Vaksin Merah Putih Masuk Program Pemerintah https://t.co/GFKH4ctR61,,,,
"Vaksin Merah Putih Dikembangkan dari Platform Berbeda

https://t.co/HFwnD2reDd",,,,
"Vaksin Covid-19 Merah Putih Baru Bisa Digunakan Awal Tahun 2022: Amin menjelaskan, Indonesia membutuhkan waktu cukup lama menghasilkan vaksin Covid-19. https://t.co/Auo3tV1zHq",,,,
"Vaksin Merah Putih Masuk Tahap Uji Pra Klinis

https://t.co/zLDvVaAvDE",,,,
"@CNNIndonesia God job pak terawan,,kembangin lg vaksin merah putih nya,,jgn setengah2",,,,
Vaksin Merah Putih https://t.co/hWuPW1c21x,,,,
"Sejumlah kandidat vaksin Merah Putih ditargetkan masuk program vaksinasi pemerintah sehingga Indonesia mampu bangkit mengatasi COVID-19 secara mandiri. 

[ grafis : antara ]

#koranbaliexpress #baliexpress #antara #vaksin #merahputih #indonesia #bangkit #covid19 #grafis https://t.co/hQLrRuKsRt",,,,
Progres Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah https://t.co/57oJXAexQE @KemenkesRI @kemenkopmk @KemenBUMN,,,,
Vaksin Merah Putih Siap Substitusi AstraZeneca https://t.co/cfczM2XVTY,,,,
"@KediriFess yg astrazeneca gtw. 

soale aku sinovac sama vaksin merah putih nder.
yg pertama kemeng tok langsung kerja bisa
seng kedua kemeng 3 hari 🤣",,,,
"@Ayuaasnawi Iya nih kayanya masih perlu nunggu agak lama krn belom keliatan hilalnya gitu. Alhamdulillah vaksin merah putih ga dilindungi sama karya anak bangsa kalo gitu 🤪

Wow sungguh visioner emang yaaah 🤣 ikutan jadi volunteer berarti ya waktu itu yu?",,,,
"Didukung Khofifah, Vaksin Merah Putih Mampu Hadapi Virus Covid Varuan Baru https://t.co/3A4wCWDxO2 https://t.co/lw5U8GPTXl",,,,
"KEPALA Lembaga Biologi Molekuler Eijkman Amin Soebandrio mengungkapkan Vaksin Merah Putih telah memasuki tahap akhir pengembangan (research and development/R&amp;D).
#pandemi #COVID19 #vaksin #nasional #lampungpostid
https://t.co/GSkivIw50u",,,,
Vaksin Merah Putih Dipastikan Masuk Program Pemerintah https://t.co/QYOU8Mkev6,,,,
"[Update Covid Harian 20 Mei 2021]

Buat kamu yang penasaran soal:
1️⃣ Kelanjutan Vaksin Merah Putih
2️⃣ Gimana Kalau Vaksin Dosis 1 &amp; 2 Beda?
3️⃣ Varian India di Luar Negeri
4️⃣ Penelitian Terbaru Covid pada Anak
5️⃣ Wajib Baca - Cara Pengobatan Covid dari Dokter India

🧵

[1/9] https://t.co/Jye6iCCiUZ",,,,
"Kepala Lembaga Biologi Molekuler Eijkman Amin Soebandrio mengungkapkan Vaksin Merah Putih telah memasuki tahap akhir pengembangan (research and development/ R&amp;D

#vaksin #vaksinmerahputih #beritaterkini #vaccination #lampostco
https://t.co/JJIXPkRaUu",,,,
Infografis: Pengembangan Vaksin Merah Putih https://t.co/6UCqENnIZb,,,,
Vaksin Merah-Putih Eijkman Siap Uji Klinis Pada Oktober 2021 https://t.co/kebXGLyJWb https://t.co/nUul3Ojcmf,,,,
Satgas Covid-19 Pastikan Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah https://t.co/vC53QHxjv0,,,,
"Vaksin merah putih akan digunakan dalam vaksinasi program pemerintah
#AkselerasiPulihkanNKRI https://t.co/Or2XB4w6rC",Percaya,,,
"Juru bicara satuan tugas penanganan covid 19 mengatakan vaksin merah putih akan digunakan dalam vaksinasi covid 19 program pemerintah
#AkselerasiPulihkanNKRI https://t.co/CHkpCHe3x5",Percaya,,,
"""Kalau uji klinik diharapkan akan dilakukan pada kuartal ke 4 tahun tahun ini. Sekitar Oktober mulai uji klinik,""   https://t.co/TpwKYCwssQ",,,,
"Vaksin Merah Putih Tetap Masuk Program Pemerintah, Kini Diuji Coba ke Hewan Besar
 
https://t.co/Cal6svzI9A via @tribunnews",Percaya,,,
"Vaksin Merah Putih Akan Digunakan Dalam Vaksinasi Program Pemerintah 

#AkselerasiPulihkanNKRI https://t.co/rzbOPi03LI",Percaya,,,
"Semoga segera di ciptakan VAKSIN utk KADRUUN VIRUS, biar MERAH PUTIH KEMBALI MENGUASAI OTAK, HATI DAN TINDAKAN PARA ULAMA KADRUUN.
AMIN. https://t.co/nm3F4QK4FN",,,,
"Vaksin merah putih akan digunakan dalam vaksinasi covid 19 program pemerintah

#AkselerasiPulihkanNKRI 
#AkselerasiPulihkanNKRI https://t.co/nTWLJEsUgG",Percaya,,,
"Vaksin merah putih akan digunakan dalam vaksinasi covid 19 program pemerintah

#AkselerasiPulihkanNKRI 
#AkselerasiPulihkanNKRI https://t.co/htLFxHpuqy",Percaya,,,
"🇮🇩vaksin Merah putih💉🇮🇩 Akan digunakan dalam Vaksinasi Program Pemerintah 🇮🇩🇮🇩❤️
.
..
...
....
.....
#AkselerasiPulihkanNKRI
#AkselerasiPulihkanNKRI https://t.co/SyrhVkxTlG",,,,
"#AkselerasiPulihkanNKRI
💉Vaksin merah putih🇮🇩
Akan digunakan dalam vaksinasi program pemerintah 💉
#AkselerasiPulihkanNKRI https://t.co/L49Sav5NhG",,,,
"💪satgas: 💉vaksin MERAH putih Akan digunakan dalam Vaksinasi COVID-19 🇮🇩 Program Pemerintah💉
.
..
...
....
.....
#AkselerasiPulihkanNKRI
#AkselerasiPulihkanNKRI https://t.co/zFRAPnpHdb",,,,
"#AkselerasiPulihkanNKRI
🇮🇩Satgas: vaksin💉merah putih akan digunakan dalam vaksinasi covid-19 program pemerintah 
#AkselerasiPulihkanNKRI https://t.co/pgPpPAKgxl",,,,
"Vaksin merah putih akan digunakan dalam vaksinasi program pemerintah

 #AkselerasiPulihkanNKRI https://t.co/AjYbbW5aZF",Percaya,,,
"Vaksin merah putih akan digunakan dalam vaksinasi program pemerintah

 #AkselerasiPulihkanNKRI https://t.co/kw82KIn3OC",Percaya,,,
"Vaksin merah putih akan digunakan dalam vaksinasi covid-19 program pemerintah

 #AkselerasiPulihkanNKRI https://t.co/rR3bSH84u2",Percaya,,,
"Vaksin merah putih digunakan akan digunakan dalam vaksinasi program pemerintah

#AkselerasiPulihkanNKRI
#AkselerasiPulihkanNKRI https://t.co/ngDNTIHvNK",Percaya,,,
"Vaksin merah putih digunakan akan digunakan dalam vaksinasi program pemerintah

#AkselerasiPulihkanNKRI
#AkselerasiPulihkanNKRI https://t.co/l0V3NBw8Ir",Percaya,,,
"Vaksin merah putih akan digunakan dalam vaksinasi program pemerintah
.
.
#AkselerasiPulihkanNKRI https://t.co/PxwSLyGwqb",Percaya,,,
"Satgas : Vaksin merah putih akan digunakan dalam vaksinasi Covid-19 program pemerintah
.
.
#AkselerasiPulihkanNKRI https://t.co/i3XhL7nc3M",Percaya,,,
"Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah, Ini Perkembangannya https://t.co/NGnrKL73hr #beritajogja #jogja #jogjaistimewa https://t.co/lwyihMk7kB",Percaya,,,
"Top News Koran Rakyat Merdeka

Masuk Tahap Uji Praklinis Pada Hewan
Vaksin Merah Putih Sudah Ditunggu-tunggu Masyarakat

#Vaksin #VaksinMerahPutih #Corona #coronavirus #COVID19 #COVIDー19 #COVID__19 #Covid_19 #COVID #RakyatMerdeka #RMid

https://t.co/N7aon5zamu",,,,
"vaksin merah putih tetap masuk ke dalam (vaksinasi) program pemerintah, yaitu penyuntikan kepada relawan #AkselerasiPulihkanNKRI https://t.co/mQ0xYiK3aJ",Percaya,,,
"SATGAS: VAKSIN MERAH PUTIH AKAN DIGUNAKAN DALAM VAKSINASI COVID-19 PROGRAM PEMERINTAH 👏💪👍
#AkselerasiPulihkanNKRI https://t.co/hnT77mfX83",Percaya,,,
Juru Bicara Satgas:Vaksin Merah Putih akan digunakan dalam Vaksinasi Covid-19 program Pemerintah.#AkselerasiPulihkanNKRI https://t.co/HCPYAryOlD,Percaya,,,
vaksin merah putih akan digunakan dalam vaksinasi program pemerintah. #AkselerasiPulihkanNKRI https://t.co/qaso0tvaB2,Percaya,,,
"vaksin merah putih akan digunakan dalam vaksinasi program pemerintah
#AkselerasiPulihkanNKRI https://t.co/WHxWdZ1fzZ",Percaya,,,
Vaksin merah putih akan digunakan dalam vaksinasi program pemerintah. Semoga Dapat Segera Tercapai Kekebalan Komunal #AkselerasiPulihkanNKRI https://t.co/YtIywveeym,Percaya,,,
"vaksin merah putih akan digunakan dalam vaksinasi program pemerintah
#AkselerasiPulihkanNKRI https://t.co/sCxiD7Z8f4",Percaya,,,
Untuk kebaikan semuanya. Vaksin merah putih akan digunakan dalam vaksinasi program pemerintah #AkselerasiPulihkanNKRI https://t.co/1yp1N1NzJU,Percaya,,,
"vaksin merah putih akan digunakan dalam vaksinasi program pemerintah yang akan dilakukan kedepannya, ucap satgas covid 19
#AkselerasiPulihkanNKRI https://t.co/EOeqLbw2oS",Percaya,,,
Indonesia pasti bisa melawan pandemi. Vaksinasi covid 19 dengan vaksin merah putih akan digunakan dalam program Pemerintah #AkselerasiPulihkanNKRI https://t.co/cGqEf449Nf,Percaya,,,
Vaksin merah putih buatan anak negri akan digunakan dlm vaksinasi Covid-19 #AkselerasiPulihkanNKRI https://t.co/DwTGzEyHQS,Percaya,,,
vaksin merah putih akan digunakan dalam vaksinasi covid19  program pemerintah #AkselerasiPulihkanNKRI https://t.co/3PM6P8VM5C,Percaya,,,
"Selain vaksin gotong royong ada lagi yang namanya vaksin merah putih,dan vaksin ini akan dimasukkan kedalam program nya pemerintah
#AkselerasiPulihkanNKRI https://t.co/HMK7hisReK",Percaya,,,
"Vaksin merah putih akan di gunakan dalam program vaksin pemerintah. Mantap 👍
#AkselerasiPulihkanNKRI https://t.co/tZhp6EqhKD",Percaya,,,
"Varian baru dari jenis vaksin covid 19 adalah vaksin merah putih, dan vaksin ini nantinya akan digunakan dalam programya pemerintah
#AkselerasiPulihkanNKRI https://t.co/hMv1ro5YTO",Percaya,,,
"Satgas penanganan covid-19 mengungkapkan bahwa vaksin merah putih digunakan dalam vaksinasi covid-19  program pemerintah 👍👍
#AkselerasiPulihkanNKRI https://t.co/t1hvTpnzEa",Percaya,,,
"Vaksin merah putih akan digunakan dalam vaksinasi program pemerintah

#AkselerasiPulihkanNKRI https://t.co/QaC4PIVmQd",Percaya,,,
"Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah, Ini Progresnya https://t.co/osGzNMYH9w",Percaya,,,
"@blogdokter opsinya kemarin vaksin merah putih yang bahan bakunya sama. tp gatau dah selesai atau blm progressnya.

kantor saya kemarin jatahnya sinovac semua min. (petugas pelayanan publik) dosis 1 dan 2. itu juga nanya nanya jatahnya vaksin udah mau abis. jd mikir yg lain gmn ya? 🤔",,,,
"Kabar terbaru perkembangan Vaksin Merah Putih diungkapkan Satuan Tugas Penanganan Covid-19. Vaksin buatan anak negeri itu kini sudah memasuki uji pra-klinis untuk disuntikkan ke hewan besar.
#ingatpesanibu #ingatpesanibupakaimasker⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣⁣ https://t.co/vRjFsDGxET",,,,
"Vaksin Merah Putih buatan anak bangsa dipastikan masuk program vaksinasi pemerintah. 

#merahputihcom #vaksinmerahputih #vaksincovid19 #vaksinasicovid19 #vaksinasipemerintah 
https://t.co/G5PYI0RzWV",Percaya,,,
"Dipastikan, Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah #jakarta #vaksin #merahputih #program #vaksinasi #pemerintah 

https://t.co/4FQWsZjz2w lewat @SigiJateng.id",Percaya,,,
"Jakarta, Buletinnusantara – Juru Bicara Satgas Penanganan COVID-19 Prof Wiku Adisasmito memastikan bahwa Vaksin Merah... https://t.co/p1ckCd4u9i",,,,
Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah https://t.co/vrk406R84q,Percaya,,,
"Vaksin Merah Putih karya anak bangsa sudah memasuki tahap uji preklinis pada hewan sejak 9 April 2021. Lalu, kapan vaksin buatan Universitas Airlangga ini bisa digunakan untuk masyarakat Indonesia?
https://t.co/CmgZv7IbEP",Percaya,,,
"Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah: https://t.co/tboPcrdfBy, Jakarta – Juru Bicara Satgas Penanganan COVID-19 Prof Wiku Adisasmito memastikan bahwa Vaksin Merah Putih buatan anak bangsa, tetap The post Vaksin Merah Putih Masuk Program… https://t.co/mab6Eht56j https://t.co/Rnp65bMj5H",Percaya,,,
"@muz_azzam Saya tak ambil AZ. Darah saya sensitif. Last year darah putih lebih dari darah merah. Takpe, saya tunggu vaksin jenama lain. 

Semoga kita sentiasa selamat.",,,,
"Vaksin Merah Putih Sedang Diuji Coba ke Hewan Besar, Setelah Itu ke Relawan

https://t.co/nMwLwd5Rco

Download aplikasi Tribunnews untuk update berita terbaru

Dapatkan untuk Android: https://t.co/AEVHDGdHUB",Percaya,,,
"Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah - #INDONESIA

https://t.co/utNfTjOvyK",Percaya,,,
#Infografik Vaksin Merah Putih untuk Indonesia bangkit dari COVID-19 - ANTARA News - ANTARA #Covid #Covid19 https://t.co/8bLbIYchmv,Percaya,,,
"Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah https://t.co/mK9EptJOeF lewat @pedoman_id

@fadjroeL @JubirPresidenRI @Jokowinomics_id @PerekonomianRI @KemenBUMN @KemenkesRI @BNPB_Indonesia @PBIDI @lawancovid19_id",Percaya,,,
"@fadhilatul_adha @501Awani vaksin astrazeneca di stop semntara karna ada yg meninggal, cina kirim bahan baku vaksin kmudian diolah biofarma,pihak swasta jg ikut vaksin secara mandiri (cansino sinopharm),indo jg mau bikin vaksin sendiri ""merah putih""..mungkin begitu jawabanya. https://t.co/qtvntSO5tw",,,,
Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah https://t.co/DhGJ6lvN8j,Percaya,,,
Vaksin Merah Putih Karya Anak Bangsa Memasuki Uji Klinis Pada Hewan https://t.co/xwXe2gcwfl,Percaya,,,
Satgas Covid-19: Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah https://t.co/V4yeIiYy6f https://t.co/Bs6Hrwpg72,Percaya,,,
Vaksin Merah Putih Memasuki Tahap Uji Praklinis Pada Hewan Besar https://t.co/8oM64ZX6SM,Percaya,,,
Satgas: Vaksin Merah Putih Tetap Masuk Program Vaksinasi Pemerintah | https://t.co/Mf2WLrM6Ny https://t.co/nG6m8sb3S2,Percaya,,,
Satgas Penanganan Covid-19 memastikan bahwa Vaksin Merah Putih tetap masuk dalam program vaksinasi pemerintah. Vaksin tersebut kini memasuki uji praklinis. #Satgascovid-19 https://t.co/FEBdFfAM6V,Percaya,,,
Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah https://t.co/kM2AQvwYOu,Percaya,,,
"Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah
https://t.co/weOtoQ4D1A",Percaya,,,
Prof Wiku Adisasmito: Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah https://t.co/DWht1vA139,Percaya,,,
Prof Wiku Adisasmito: Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah https://t.co/DWht1vRCrJ via @kabar_tangsel,Percaya,,,
Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah – https://t.co/2786sggF2y,Percaya,,,
"#BeritaTerkini
Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah

Selengkapnya: https://t.co/ioXhs4ceae",Percaya,,,
Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah: https://t.co/JGTvr1y7Z1 via @metrobali,Percaya,,,
"@Putra__Wajo @jokowi @PDI_Perjuangan Udah mampu buat vaksin belum.
Ada upaya buat vaksin nusantara kok tak didukung.
Mbak puan kmn aja?

Dan kabar vaksin merah putih seakan hilang lenyap.

Buat apa hy lempar wacana.
Mau tiru anies bakwan?",,,,
"Masuk Program Pemerintah, Vaksin Merah Putih Akan Diuji ke Hewan Besar - #INDONESIA

https://t.co/LPD2jj5fR4",Percaya,,,
Satgas Covid-19 memastikan vaksin Merah Putih yang masih tahap uji klinis masuk dalam program vaksinasi pemerintah. #VaksinMerahPutih https://t.co/kb8S714xRq,Percaya,,,
"Masuk Program Pemerintah, Vaksin Merah Putih Akan Diuji ke Hewan Besar

#VaksinMerahPutih  https://t.co/0fQImbS9AG",Percaya,,,
"Masuk Program Pemerintah, Vaksin Merah Putih Akan Diuji ke Hewan Besar

#VaksinMerahPutih  https://t.co/pxNl7jczoq",Percaya,,,
"Juru Bicara Satuan Tugas Penanganan Covid-19 Wiku Adisasmito mengatakan, vaksin Merah Putih akan digunakan dalam vaksinasi program pemerintah. https://t.co/4wJS3yr466

#BeritaSonora via @kompascom",Percaya,,,
"Juru Bicara Satuan Tugas Penanganan Covid-19 Wiku Adisasmito mengatakan, vaksin Merah Putih akan digunakan dalam vaksinasi program pemerintah. https://t.co/pjp7rTwI8Y",Percaya,,,
"Satgas: Vaksin Merah Putih Tetap Masuk Program Vaksinasi Pemerintah: Vaksin Merah Putih merupakan buatan Universitas Airlangga, Surabaya. Saat ini, vaksin tersebut sudah memasuki tahap uji klinis pada hewan. Jika berhasil, akan dilanjutkan pada relawan. https://t.co/NB5TBuf8lI",Percaya,,,
Pemerintah menegaskan vaksin Merah Putih akan digunakan dalam program vaksinasi. https://t.co/qL5ex7Q2Z5,Percaya,,,
@null Satgas: Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah Vaksin Merah Putih  https://t.co/KEp6GfJ97m,Percaya,,,
Satgas: Vaksin Merah Putih Masuk Program Vaksinasi Pemerintah    #LengkapCepatBeritanya #BeritaTerkini #Berita #News #BeritaNasional . https://t.co/wjIaweTm52,Percaya,,,
@Beritasatu Meningkatkan ekonomi lingkaran Penyedia  vaksin &amp;         jajarannya.ya. 😂 Vaksin merah putih sampai tenggelam atau ditenggelamkan..?🤪 @Itjen_Kemdikbud,Percaya,,,
"Vaksin Merah Putih buatan Universitas Airlangga (Unair) kini sudah masuk fase uji preklinis pada hewan. Nantinya, akan digunakan untuk program pemerintah. https://t.co/fQw9O7kJJS",Percaya,,,
"Vaksin Merah Putih buatan Universitas Airlangga Surabaya sudah memasuki uji pra klinis, nantinya, ini akan masuk ke program vaksinasi pemerintah.

Selengkapnya: https://t.co/1ZDs91hAyV #VaksinMerahPutih",Percaya,,,
Kabar terbaru perkembangan Vaksin Merah Purih diungkapkan Satuan Tugas Penanganan Covid-19. Vaksin buatan anak negeri itu kini sudah memasuki uji pra-klinis. https://t.co/TnFT9w1OaS,Percaya,,,
"Vaksin Merah Putih apa kabarnya?

Vaksin Gotong Royong.. kok kesannya ekasila banget namanya...

#BubarkanPDIP
#WorldStandsWithPalestine https://t.co/7aHjzVJuxv",,,,
"@amirrshd_ @TedBanc @mkini_bm Bro covax itu hanya beberapa juta dosis saja, Indonesia sudah mengeluarkan budget pembelian vaksin $ 4 billion utk 181 juta orang, dari Sinovac, AZ, Novavax, Pfizer dan vaksin buatan lokal Merah-Putih, saat ini baru tersedia 74 Juta dosis..",,,,
Berharap vaksin merah putih bisa sukses. https://t.co/Gf2uCOYYNG,Percaya,,,
"@rizkyputri_h Mungkin tetep dapet, tapi slightly lebih ngantri dari yang esensial. Vaksin merah putih ga dapet uji edar dari BPOM setahuku.
Aku tuh sengaja ikut uji coba klinis biar kalo ga sengaja bertemu Mas Adik, kami bisa aman menjajaki segala kemungkinan 🤪🤣😂",,,,
"@Ayuaasnawi Tapi krn kantorku bukan di bidang yg esensial, jd gatau nih bakal dapet cepet apa ngga. Semoga aja yah. Cuma vaksin gotong royong ini ga pake vaksin merah putih kan ya? Deg2an aku tu kalo pake vaksin itu😅

Ahaha emang paling bisa nyambunginnya. Alhamdulillah kalo udah vaksin yu.",,,,
@antaranews Tentu beda sebsb di Amerika sdh 40% yg divaksin srmentara Indonesia baru 10 % nanti bila sdh 50% atau bila vaksin Merah Putih /Nusantara sdh ada izin dari BPOM karrns aturan nya pada hal rrakyat percaya pd produk dlm negeri,,,,
"@hariankompas @deonisiaarlinta Kok ya masih banyak yg tidak faham jenis2 vaksin ya? Ada vaksin merah putih, vaksin nusantara, vaksin goyong royong(mandiri) dan vaksin gratis, dianggep sama semua.. beda coi..",,,,
@Fido_id_ @tompohronald @hariankompas @deonisiaarlinta Yup btul. Vaksin merah putih yg digarap konsorsium riset dlm negeri msh thp riset,,,,
"Ntar, nama gotong royong ini cuma mode pembayaran yg ditanggung ""gotong royong"" dg perusahaan buat karyawannya kan? Vaksinnya bisa merk apa aja?

I blame indon model ter4wn yg suka slappin' jingo macem ""vaksin merah putih"" bikin curiga ini vaksin hasil racikan mana lagi..🙂 https://t.co/rdH71EZhmY",,,,
"@detikcom Hebat ya.. projct ya fantastis sukses. Vaksin merah putih sukses di jegal dg dalih ini +i itu, namanya jga produk anak dalam negri🤪 SDH biasa para penguasa +62 senangnya improt 😂 @xMENKES",,,,
