Tweet,Nilai,Percaya,Tidak Percaya
"@thathaputra Situs nya jelek sumpah kwwk kalo udh upload file excel gabisa add peserta lewat sistem
Pas mau update peserta juga di situsnya malah kosong 🙄
Kemarin ikut zoom kadin yg udh pasti dateng vaksin sinopharm sih dan udh keluar juga harga per dosis nya.",,,
@sweetsugaries yg sekarang pake astra zeneca apa sinopharm kak?,,,
"Berbagai pihak menganggap vaksin Covid-19 merek Sinopharm untuk program vaksinasi Gotong Royong terlalu mahal. Namun, Jubir Kementerian BUMN Arya Sinulingga mengatakan, harga vaksin tersebut lebih murah di Indonesia dibandingkan negara lain.

https://t.co/yXSb50xqS0",,,
"Rata2 temen gua juga cuma pegel di lengan sama ngantukan 😂😂

#Vaksin
#Sinopharm",,,
"Ungkap Airlangga vaksin Sinopharm sebanyak 500 ribu dosis yang sudah tiba kemarin guna untuk vaksinasi gotong royong.
#VaksinasiGotongRoyongPercepatPemulihanEkonomi
@adiandrajordan @TheDukeofBdg @adibian_  @DaimatulR @Mermaidman231
https://t.co/xtZndo0KvO",,,
"Review Vaksin Gotong Royong yg menggunakan Sinopharm di tubuh gue.

1. 20 menit awal lengan kiri berasa pegel namun hanya sesaat, tapi kambuhan. 
2. 1 jam awal gua langsung laper 😂
3. 2 jam kemudian sedikit pusing cuma sebentar tp.
4. 3 jam kemudian cuma ngantuk yang gua rasa",,,
"@bin_sinopharm Saya setuju pendapat lu, sampai ke frase ""kids jaman now""",,,
"Sebagai info, Total vaksin Sinopharm yang sudah tiba untuk vaksin gotong royong sebanyak 500 ribu dosis
@Heriyan70093846
@JuliaLilis
@MuliaChacha
@SulaimanAja16
@AlenaDita
#VaksinasiGotongRoyongPercepatPemulihanEkonomi
https://t.co/Hokhv14YoV",,,
Jadwal vaksin sinopharm masih jumat depan. Deg-deg sernya sekarang 😅,,,
Wow Sinopharm. Harap yang dah ambil Sinopharm boleh bagi review https://t.co/yiJt2Ck5uN,,,
"@AmmarTiger2 @amer7211 eh beli la. cuma sinovac dah appoint exclusive distributorship dgn pharmaniaga. begitu juga sputnik dgn duopharma dan cansino dgn solution bio. vaksin sinopharm boleh lagi, india vaccine boleh lagi. ada banyak lagi vaksin brand2 lain kat luar tu.",,,
"Habis tu yang Agong beli vaccine Sinopharm tu mcm mana pulak?

Cc: @hajarghafar https://t.co/yCfxhbJ6WH",,,
"yg tadinya vaksin sinovac sinopharm dipandang sebelah mata, malah yg sekarang dicari 🙃",,,
Kebanyakan excuse ya kids jaman now https://t.co/aLMYaGlxCJ,,,
Yang butuh kode invitation buat buka GoTrade (utk invest saham LN 📈📈📈) bisa ke gue ya 🤩🤩🤩,,,
"Vaksin Sinopharm, jenis vaksin yang berplatform inactivated virus (virus yang diinaktivasi atau dimatikan),diproduksi oleh Beijing Bio-Institute Biological Products Co, salah satu unit dari Sinopharm, anak perusahaan dari China National Biotech Group (CNBG). #StayFitForLife https://t.co/VJFqSMTZoT",,,
"Kanger International Bhd, sebuah syarikat pegangan pelaburan, telah menawarkan untuk menyumbang 5,000 dos vaksin Sinopharm COVID-19 kepada Sabah bagi memerangi pandemik COVID-19 di negeri itu - Ketua Menteri Datuk Hajiji Noor 

https://t.co/DW6Jsy6Wqs https://t.co/7gqAwo8dKi",,,
"kl ikut program pemerintah ya pasti bakal lama antriannya, dan jenis vaksin yg dipakai juga beda. sejauh ini sinopharm kualitasnya lebih bagus drpd sinovac apalagi AZ...",,,
"Setuju sekali dengan prof @ProfesorZubairi, plus pasien2 dengan riwayat #autoimun saya jg sarankan dengan #sinopharm atau #sinovac saja bila kondisi terkendali dan layak vaksin. https://t.co/6ydoqiFIDI",,,
Sinopharm sudah diluluskan NPRA? https://t.co/SIeHV2Rnhi,,,
Sinopharm ni dah ada kelulusan ke? https://t.co/VZucqPqd9Y,,,
@szilverberG Beda. Sinopharm buat yg vaksin gotong royong.,,,
"Dalam masa sama, beliau turut mengalukan tindakan beberapa pihak dalam negara yang sedang cuba mendaftarkan vaksin Sinopharm dihasilkan syarikat dari China dengan syarat, ianya didaftarkan terlebih dahulu dengan Bahagian Regulatori Farmasi Negara (NPRA).

#Beritarakita",,,
"BPOM menerbitkan persetujuan penggunaan vaksin sinopharm. 
#VaksinUntukSemuaBangsa https://t.co/uKMuFvTCM1",,,
"#AWANIringkas 21 Mei 2021 | 3 PM

📌 Neelofa hadir mahkamah tanpa pelitup muka?
📌 Vaksin Sinopharm perlu daftar NPRA

#AWANIringkas #HapusCOVID19 https://t.co/DoboBkJ3IF",,,
"Waduh, anakku yg 20 th sebaiknya ikutan yg sinovac/sinopharm ya? Tapi jd makin lama dong nunggunya krn blm tahu kapan lagi. 

Ini aja yg AZ sepertinya masuk di batch yg ditunda itu 🤦🏽‍♀️😰😔 https://t.co/gbmFKPFdiZ",,,
@maverick_97 @Hazwan_puzi @RashidYusoff11 Mana ada highly regulated sangat. Vaksin Sinopharm elok je orang bawa masuk. 😌,,,
@andrmd2099 Kalo ga dibuang jd upil,,,
@bin_sinopharm Kirian upil,,,
"Indikator (personal) udara kotor selain visual: ingus.

Kalo udara kotor, pasti produksi mukus pasti langsung meningkat tajam 📈📈📈",,,
"Setelah lolos screening, lanjut ke tempat vaksinasi, kebetulan 1 ruangan dg tempat screening, untuk vaksin gotong royong ini pakai vaksin sinopharm ya, disuntiknya di tangan sebelah kiri, sebelumnya petugas menjelaskan sedikit persiapan vaksin sebelum disuntikan seperti.. https://t.co/JdD1XYH7Eq",,,
ano kaya vaccine ni huaiwei? sinovac? sinopharm? uzto q goals charot hOY JKSAHDKAHDKHASKJD,,,
"Besaran harga pembelian vaksin produksi Sinopharm melalui penunjukan PT Bio Farma (Persero) dalam pelaksanaan pengadaan vaksin Covid-19 dan tarif maksimal pelayanan untuk pelaksanaan Vaksinasi Gotong Royong telah ditetapkan oleh Kemenkes.

-utas-

#InfoPengawasan
#HadirBermanfaat https://t.co/gwvbyO8LWS",,,
Sinar Mas Agribusiness and Food menggelar Vaksinasi Gotong Royong pada 18 Mei 2021 di Marunda. Sebanyak 600 karyawan telah mendapatkan injeksi vaksin Sinopharm dan secara bertahap akan menjangkau 3.000 karyawan. https://t.co/5qj1zC7muk @Sinar_MasID,,,
Bagus jugak bawak vaksin lain. Bukan kita harap yang sedia ada. China pun ade vaksin dia sendiri sinopharm. Why not ade pihak yang boleh bawak masuk. Sbb kita nak pastikan kecepatan semua rakyat dapat vaksin,,,
"Di Indonesia kayanya mustahil si Sinopharm bisa jd dosis ketiga. Kan pny swasta. Sinovac kan pny pemerintah China. Blm lagi ada AZ yang diendorse oleh Pak Wapres kita tercinta. Apalagi Nusantara,,, sudah RIP
@KrisyantoOni

https://t.co/z992Pq6BRO",,,
@501Awani asik cina sinopharm yg mahal tu je.. amik la pfizer,,,
"@sociotalker Berarti 500rb dosis vaksin Sinopharm yg didapat dr hibah negara UEA, masuk ke vaksinasi program, tdk boleh masuk ke vaksinasi gotong royong.

Ini konsisten dgn pernyataan bahwa vaksin gotong royong baru tiba hanya 482rb dr Sinopharm, meskipun pd kenyataannya sdh ada 982rb dosis. https://t.co/rcDla3M6Gv",,,
"Siapa ingin bawa masuk vaksin Sinopharm boleh daftar dengan NPRA - Khairy

https://t.co/AWlFwYUaJi

#AWANInews #AWANI745 #HapusCOVID19",,,
"@fleurissimee @X1Seungzz info2 dr org kantorku kalo swasta bakal pake sinopharm, moderna sama yg prod biofarma. kayanya sinovac sebagian besar buat nakes , lansia dan asn layer 1.",,,
@staronline Sinopharm  yg keluar dalam article the royal @ UAE?,,,
"Covid-19: Mereka yang ingin membawa vaksin Sinopharm boleh mendaftarkannya dengan NPRA, kata Khairy - https://t.co/qoRnk222a3
PETALING JAYA: Pemerintah terbuka kepada mana-mana pihak yang memiliki kemampuan dan data klinikal v https://t.co/b2hlZoZgu2",,,
"Kayak, mending ga vaksin dulu sampe ntar dapat sinopharm atau sinovac lagi. Daripada vaksin skrg tapi dapatnya astra zeneca.

Soalnya aku gatau kondisi badanku gimana",,,
"Filipina Kembalikan Vaksin Sinopharm, Dubes Komunis Tiongkok Klaim Hanya Fiksi

Nonton video selengkapnya di: https://t.co/zFwQ8VvyhP

#Filipina #vaksinSinopharm #coronavirus https://t.co/CaEY8JZFBr",,,
Menteri BUMN Erick Thohir Pastikan Sinopharm Komitmen Kirim 15 Juta Dosis Vaksin https://t.co/TjoHGX7VPM @erickthohir @KemenBUMN @KemenkesRI @BNPB_Indonesia @SinopharmIntl,,,
"Vaksin Novavax &amp; Pfizer yg diperkirakan masuk Juni-Juli, juga akan digunakan dlm program vaksinasi COVID-19 di Indonesia. Sebelumnya, hingga saat ini Indonesia menggunakan 3 jenis vaksin yakni Sinovac, AstraZeneca, dan yang terbaru Sinopharm. #StayFitForLife https://t.co/DnUC93zrrz",,,
Harap ada update lagi laaa. EU council taknak recognise Hungary’s effort in inoculating its people just because kitorg guna Sputnik &amp; Sinopharm. Dah itu je yang ada awal2 haritu nak buat cane?!! Padahal kitorg highest inoculating rate kat EU tauuu. Jibauk betei!,,,
"Vaksinasi Gotong Royong Dimulai, Bio Farma Telah Distribusikan 69.730 Dosis Vaksin Sinopharm: Dalam pelaksanaannya, sesuai aturan Kementerian Kesehatan vaksin yang digunakan harus berbeda dengan vaksin program pemerintah. https://t.co/wz1rNyx29x https://t.co/kNjxeQh6bS",,,
"Vaksinasi Gotong Royong Dimulai, Bio Farma Telah Distribusikan 69.730 Dosis Vaksin Sinopharm https://t.co/n33sGj4EoX https://t.co/oVyamCONdG",,,
"Vaksinasi Gotong Royong Dimulai, Bio Farma Telah Distribusikan 69.730 Dosis Vaksin Sinopharm https://t.co/GRgLmCVpnR https://t.co/qYokvzArrZ",,,
"Vaksinasi Gotong Royong Dimulai, Bio Farma Telah Distribusikan 69.730 Dosis Vaksin Sinopharm https://t.co/0iSVjpeb6W",,,
"@robyn_fabs kiongozi wangu wa kesho,India ndio kwasasa mzalishaji mkubwa wa Chanjo duniani(sbb za Sinopharm haziuzwi sehemu yyt mpaka sasa)kwa nini wasijichanje?..unakumbuka Brazil wakikosa mpaka sehemu za kuzika,nini kimesimamisha corona huko?vipi kuhusu maiti barabarani afrika?...Media!",,,
"7,5 Juta Dosis Vaksin Sinopharm Akan Dikirim ke Indonesia https://t.co/UEUgydGjhP",,,
"Dirut PT Bio Farma menjabarkan program pengadaan vaksin Sinopharm untuk vaksinasi gotong royong. Menurut keterangannya, sekitar 7,5 juta dosis vaksin ditargetkan akan segera dikirim ke Indonesia dari China pada Agustus 2021. https://t.co/zv1LAAHDOG",,,
"@__Ayaa01 Dw nothing too serious ghaleban lw akhadty sinopharm msh hyb2a feh side effects aktar el khadoh 2alo keda, AstraZeneca momken yb2a 3anef shwaya fever w takseer fel gesm w keda bas eshta ya3ny won’t last for long w tolerable",,,
Kata adminnya kok vaksinnya tuh Sinopharm sama Sputnik ya min? https://t.co/lovPo6HWJj,,,
@bin_sinopharm Disaat analisis orang lain to the moon2 wkwk,,,
Emang jago 👏👏👏 https://t.co/foDJQq8uKb,,,
"Indonesia mendapatkan jaminan untuk menerima 15 juta dosis vaksin Sinopharm 

https://t.co/qFmKrobpDu",,,
"@AmbarwatiRexy @queenkaisar Sinovac atau Sinopharm yang efeknya kalo ngga ngantuk ya laper. Saya dapet Sinovac efeknya laper banget. Syukurlah ga pake kebas, demam, atau sakit kepala segala.",,,
"@pmngks91 @xboripx case urg kemungkinan pake sinopharm atau moderna atau sputnik atau cansino...
akhirna urg daftar aja, da disieun² porsina sarua, divaksin hariwang, teu divaksin hariwang...
bismillah weh ngarana ge ikhtiar...",,,
"PT Bio Farma (Persero) mencatat suplai vaksin COVID-19 dari produsen Sinopharm, China, sebesar 1 juta dosis akan tiba di Indonesia pada Juni 2021. Nantinya, vaksin tersebut akan digunakan dalam program vaksinasi gotong royong. https://t.co/du08PyjGkl",,,
"Sobat PNM! 
Pada hari ini, Vaksin Gotong Rotong resmi digunakan. Presiden Jokowi menyatakan 19 perusahaan manufaktur sudah dapat menggunakan Vaksin Gotong Royong.

Vaksin yang digunakan dalam vaksinasi gotong royong adalah vaksin Sinopharm dan CanSino.

#VaksinGotongRoyongPekerja https://t.co/BwTkQqR9AR",,,
@MadiAzmadi @Lupin_Assane Ada yang bawa masuk vaksin Sinopharm okay je. 😌,,,
@kompascom Udah sinopharm dibuka aja buat masyarakat umum yg mampu... Ditunjuk rs mana daripada mubazir.,,,
"Vaksin Sinopharm sudah dapat Emergency Use Listing (EUL) dari WHO. Sementara Sinovac, tinggal sedikit lagi mendapat EUL. #kumparanNews https://t.co/xEhXwzv5G6",,,
@masocheez Sinopharm nihh baru tau,,,
"Selain Sinopharm, vaksin CanSino juga akan dipakai untuk program gotong royong. Vaksin ini berteknologi adenovirus, kapan disetujui BPOM? https://t.co/tpl8AQiGKI",,,
"Vaksin Covid-19 dari produsen Sinopharm, China, sebesar 1 juta dosis akan tiba di Indonesia pada Juni 2021
https://t.co/hitNem4y37",,,
"Secara keseluruhan, kata Direktur Utama PT Bio Farma Honesti Basyir total vaksin Sinopharm yang sudah berkontrak dan akan didatangkan ke Indonesia adalah 7,5 juta dosis. #TempoNasional 
https://t.co/Z9My6RXrcF",,,
"Selain Sinopharm, vaksin CanSino juga akan dipakai untuk program gotong royong. Vaksin ini berteknologi adenovirus, kapan disetujui BPOM? https://t.co/D1QarklKrK",,,
"Vaksinasi Gotong Royong Gunakan Vaksin Sinopharm Asal Beijing, Harga Tertinggi Rp 321.660 https://t.co/l5CAnkDFaO https://t.co/cePQ8gCQep",,,
"Saat ini baru datang 500 ribu dosis vaksin Sinopharm dari total 7,5 juta dosis vaksin https://t.co/YUWLfLldpq",,,
Baginda dapat sinopharm ke? https://t.co/M8GaakvjbD,,,
Fakta-fakta Vaksin Sinopharm dan Cansino yang Masuk dalam Program Vaksinasi Gotong Royong https://t.co/SWmji5tFoU,,,
"Buat lu yang masih ragu, vaksin sinopharm ini sudah lolos standar WHO jadi udah aman banget ga perlu khawatir. https://t.co/OTLpWMgKzw",Percaya,,
@hinasafi True menu sinopharm hi lesa 😋,,,
"Dapet ini tapi galau,, blm tau vaksin yg mana yg bakal disuntikinnya, ktnya sih ada 3 kemungkinan,novavax, moderna sama sinopharm... 
Bismillah... https://t.co/27BgrCb9cy",,,
"Lantas, apakah emergency use authorization (EUA) CanSino sudah terbit? #kumparanNews https://t.co/veG1PSYpSj",,,
"""Sampai hari ini 199 koorporasi yang terlibat. Di mana 163 swasta dan 36 BUMN."" #kumparanNews #jagajarak https://t.co/1HMH4EI5Qc",,,
"Vaksin Sinopharm &amp; CanSino Segera Tiba di RI, Ini Jadwalnya https://t.co/x5I5nFp8Ty",,,
ini kalo simas yg ngadain dapetnya sinopharm gak sih....,,,
"""Tapi ini di samping saya ada Pak Menkes, nanti kita beri prioritas untuk Batam, utamanya untuk industri,"" kata Presiden. https://t.co/jrAHP0GAhq",,,
"@alvinrio_1501 Yg karyawan diwajibkan fakcin, pake yg gotong royong (sinopharm klo ga salah), klo nolak ke SP.",,,
"Hongaria sebut vaksin Sinopharm Tiongkok dan Sputnik V Rusia lebih baik dari vaksin Barat.

#merahputihcom #hongaria #sinopharm #sputnikv #vaksinbarat 
https://t.co/LvhLFMaMH4",,,
"10 Juta Pekerja Segera Divaksin, Gunakan Vaksin Sinopharm https://t.co/WS2IhCjwSc",,,
"@sociotalker jadi hibah dari UEA ini dipake gotong-royong atau gratis?
https://t.co/mP8DNDk15i",,,
"Penanganan Pandemi Airlangga mengungkapkan, total vaksin Sinopharm yang sudah tiba untuk vaksin gotong royong sebanyak 500 ribu dosis. #VaksinGotongRoyongPekerja

https://t.co/fNAXQZiJSZ",,,
"Keputusan yg tlh diteken oleh Menteri Kesehatan (Menkes) Budi Gunadi Sadikin pada 11 Mei 2021 yg lalu menjelaskan bahwa hrg vaksin gotong royong buatan Sinopharm adlh Rp 321.660 per dosis.
https://t.co/Rdbyh3o53E
#VaksinGotongRoyongPekerja @mahesatiwi @BiLLRaY2019 @LOVE_AG4EVER",,,
