Tweet,Nilai,,,
Pengajuan tambahan kuota sudah dilakukan setelah sebelumnya menggelar rapat koordinasi evaluasi pelaksanaan vaksinasi dengan vaksin Astrazeneca dan perencanaan vaksinasi selanjutnya  https://t.co/P32V0wPPwQ,,,,
"Mundur dari Calon Dubes Spanyol, Siti Fadilah: Terawan Utamakan Vaksin Nusantara dari Jabatan https://t.co/16DZdZgvIt",,,,
@progjo @daengmatarang @jpnncom Selamat berjuang Dr Terawan semoga vaksin nusantara menjadi tolok ukur keberhasilan vaksin Indonesia di dunia Internasional dan sekaligus menyelamatkan rakyat Indonesia,Percaya,,,
"Indonesia bikin vaksin esemka sama mobil nusantara. Jaringannya lokal, interlokal, atau SLJJ? https://t.co/aiN1dmeMul",Tidak Percaya,,,
"""Kami mendorong semua pihak tidak mengedepankan ego sektoral untuk melihat peluang berkembangnya produksi vaksin dalam negeri seperti Vaksin Merah Putih atau Vaksin Nusantara,""

Wakil Ketua @DPR_RI Gus AMI @cakimiNOW https://t.co/9eF7Li35W3",,,,
"Mundur dari Pencalonan Dubes Spanyol, Terawan Pilih Lanjutkan Riset Vaksin Nusantara
 
https://t.co/VIzhESXMRF",,,,
"@Vanell0peVS Dia kan dokter Malaysia kak, ya kali vaksin Nusantara ada di Malaysia juga 😅",,,,
Berikut ini adalah berita-berita yang menjadi sorotan pembaca https://t.co/4VOOkFiGyW. https://t.co/jNOV7IZ20X,,,,
Berikut ini adalah berita-berita yang menjadi sorotan pembaca https://t.co/4VOOkFiGyW. https://t.co/jKMlNQgGtl,,,,
Kok gada vaksin nusantara ya? Ini serius nanya karena vaksinnya udah mulai disebarkan kemana-mana. https://t.co/OY3xaNsSdl,,,,
"meski sudah vaksin, prokes tetap patuhi
Nusantara Jaya https://t.co/sId5PW1th9",,,,
Disabilitas di Sikka Disuntik Vaksin Covid-19  https://t.co/uoZ17R1HZg,,,,
"Ada yang tidak beres di sekitar pak @jokowi 👀

""Kita hormat pada pilihan dr Terawan yang lebih mengutamakan kepentingan kemanusiaan yang membutuhkan vaksin Nusantara ketimbang jabatan,"" ujar Siti Fadilah Sabtu (22/5/2021).
https://t.co/W2zotTczOt",,,,
Siti Fadilah Apresiasi Terawan Pilih Vaksin Nusantara Ketimbang Dubes https://t.co/a67A6a3xIY https://t.co/F0NIKt5P9w,,,,
Nusantara Jaya. Vaksin Covid 19 tidak mencegah penularan.. https://t.co/y0hRu2Pm7j,,,,
"Itu kan Vaksin Merah Putih.
Di sisi Vaksin Nusantara, tanggapannya begini, selain persyaratan soal publikasi hasil pengujian tahap pertama. https://t.co/AlIZpNiWGy",,,,
"Lagi nyari tau, kapan Vaksin Nusantara sama Merah Putih bakal dipake, Eh nemu berita ini.
Gua paham, riset itu butuh biaya apalagi kedepannya akan produksi. Cuma kalo kalimatnya ""mendatangkan investor"", ""mendatangkan investasi"" kaya kesannya mencari keuntung di tengah musibah. https://t.co/MVkVIUCb6f",,,,
"Vaksin Covid-19 yang diselewengkan staf Dinas Kesehatan Sumut dijual di Medan hingga Jakarta. Mereka menyasar warga di perumahan mewah yang ingin mendapatkan vaksin lebih awal. #Nusantara #AdadiKompas 

https://t.co/qT5x9YU7po",,,,
@Hend082 @Natali_Cristi3n Kadrun juga minoritas . Hanya kamuflase nempel Islam Nusantara aja kalen . Kalok kaum Gurun brapa ekor cuma ? 😆,,,,
"Dokter Terawan Mundur dari Dubes Spanyol, Pilih Fokus Lanjutkan Riset Vaksin Nusantara https://t.co/OvHUzTGTrF",,,,
"Siti Fadilah Supari: Terawan Utamakan Kemanusiaan yang Butuh Vaksin Nusantara Ketimbang Jabatan

https://t.co/rqQ6vlNuDU

Download aplikasi Tribunnews untuk update berita terbaru

Dapatkan untuk Android: https://t.co/AEVHDGdHUB",,,,
"Wakil Ketua DPR RI bidang Korkesra, Gus AMI @cakimiNOW mendorong semua pihak tidak mengedepankan ego sektoral dalam melihat peluang berkembanganya produksi vaksin dalam negeri seperti Vaksin Merah Putih atau Vaksin Nusantara.
@DPR_RI
@DPP_PKB
https://t.co/VZuthbs9zF",,,,
"Ketiga oknum Pegawai Negeri Sipil (PNS) di wilayah Sumatra Utara tersebut telah ditetapkan sebagai tersangka dan ditahan setelah dilakukan pemeriksaan.

https://t.co/EezLQxtflD #Nasional #Nusantara #Jabodetabek #Medan #SumateraUtara #NKRI",,,,
"@agenmossad Lebih baik vaksin nusantara yg dikembangkan sendiri, daripada vaksin luar negeri yg gak jelas dan belum teruji secara klinis 😂😂",,,,
"Ya...mereka itulah mafianya, namun mereka fitnah BPOM sebagai mafia vaksin!

Mereka fitnah BPOM halangi vaksinasi dan halangi vaksin 'nusantara', padahal Terawan dll itulah mafianya!",Tidak Percaya,,,
"@kompascom Vaksin nusantara kok nggak ada kabarnya ya, apa lahir prematur dia...",,,,
"Provinsi Nusa Tenggara Timur (NTT) kembali menerima kiriman 280 vial vaksin covid-19, Sabtu (22/5). Terdiri dari 70 vial vaksin AstraZeneca dan 210 vial vaksin Sinovac  https://t.co/LvPNHDzVRS",,,,
Siti Fadilah Apresiasi Terawan Pilih Riset Vaksin Nusantara Daripada Dubes Spanyol https://t.co/EWnz0DpwU6,,,,
"Mereka adlaah MAFIA korupsi pengadaan VAKSIN MAUT (yg disamarkan sebagai 'vaksin nusantara', padahal buatan Amerika dan bagian dari mafia vaksin Internasional yg wajib diburu Interpol juga), namun MEREKA FITNAH BPOM sebagai mafianya!",Tidak Percaya,,,
"Lagi, Guru Meninggal Usai Disuntik Vaksin Sinovac https://t.co/YDOQYixk4G",Tidak Percaya,,,
Siti Fadilah Apresiasi Terawan Pilih Riset Vaksin Nusantara Dibanding Dubes Spanyol https://t.co/g3xN9gQpoI,,,,
"Sabtu, 22 Mei 2021
Personil Koramil 06/Serasan Kodim 0318/Natuna melaksanakan PAM Sandar KM.Bahtera Nusantara,Pam Vaksin  Sekaligus menindak lanjuti Surat Edaran Bupati Natuna tentang PENERAPAN DISIPLIN DAN PENEGAKAN HUKUM PROTKES SEBAGAI UPAYA PENCEGAHAN DAN PENGENDALIAN COVID https://t.co/R3Q4ZohArw",,,,
"Lagi, Guru Meninggal Usai Disuntik Vaksin Sinovac https://t.co/zGKGU0UvtI",Tidak Percaya,,,
Pak @jokowi itu vaksin Nusantara usulan dr.Terawan nasibnya bagaimana? Sudah tahu langka mbok ya didukung gitu karya anak bangsa spy stok kita tetap ada dan bisa eksport kalau berlebih.#DukungVaksinNusantara,,,,
"Wakil Ketua DPR RI bidang Korkesra, Abdul Muhaimin Iskandar atau #GusAMI mendorong semua pihak tidak mengedepankan ego sektoral dalam melihat peluang berkembanganya produksi vaksin dalam negeri seperti Vaksin Merah Putih atau Vaksin Nusantara.
https://t.co/3XrloTw43M",,,,
Vaksin Covid-19 Ilegal di Sumut Sudah Disuntikkan kepada 1.085 Orang https://t.co/gyMqNwPlRV,,,,
makteh vaksin tak percaya noh tapi jus nusantara gold makteh percaya pulakk 😗 minum p ayaq nyoq ka ayaq neqa ka ayaq tebu ka ayaq clorox pun boleh minum basuh otak dan jiwa,,,,
"@jokowi @bbh_oldy vaksin merah putih, vaksin nusantara bagaimana kabarnya?",,,,
"Wakil Ketua DPR RI bidang Korkesra, Abdul Muhaimin Iskandar atau #GusAMI mendorong semua pihak tidak mengedepankan ego sektoral dalam melihat peluang berkembanganya produksi vaksin dalam negeri seperti Vaksin Merah Putih atau Vaksin Nusantara. @cakimiNOW 
https://t.co/Lz5w1VWuCW",,,,
"Persoalkan Nama Vaksin Nusantara, Dahlan Iskan: Bapaknya Amerika Ibunya Indonesia - https://t.co/Gqg6QB62V3 - Pikiran Rakyat https://t.co/ndBukIVoJd",,,,
"Vaksin Covid-19 di Sumatera Utara digelapkan. Sebagian vaksin yang seharusnya digunakan untuk pegawai Rutan Tanjung Gusta, Medan, justru dijual kepada warga yang seharusnya belum menerima vaksin. #Nusntara #AdadiKompas

https://t.co/Meqm8D2e1f",,,,
"Waiting List..

Bismillah Vaksin 2 @ Smk Bakti Nusantara 666 https://t.co/NN8BEinPqq",,,,
Apa saja sebenarnya persoalan di Vaksin Nusantara itu? Dahlan Iskan pun melakukan inventarisasi persoalan. #DahlanIskan https://t.co/5KZrA6SL5x,,,,
"@fachry4 Inshaa Allah. Karena Senin saya juga kudu ambil darah di RSPAD. Sbg kelinci Vaksin Nusantara. Syarat utama, puasa 9 jam sebelum ambil darah sekitar 5 cc.",,,,
"Negara sudah mengeluarkan banyak anggaran untuk mengatasi pandemi #Covid19 ini. Kalau disalahgunakan oknum, sungguh terlalu!!! &gt;&gt;&gt; Dokter dan Staf Dinkes Sumut Gelapkan Vaksin, Pelaku Terima Rp 271 Juta ⁦@lawancovid19_id⁩  https://t.co/mpogfhIo0e",,,,
"Jom sapa nak berlakon jadi pak lang, kita buat voice note guna naratif vaksin ni bagus dan kita dapat maklumat ni dari Tuan Terutama Bomoh Agong Nusantara yang baru balik dari pertapaan seratus purnama. Tuan Bomoh ni juga pengamal tumbuh-tumbuhan yang suka minum air nyior.",,,,
"Mantan Menteri Badan Usaha Milik Negara, Dahlan Iskan, meminta masyarakat hanya mempersoalkan dua hal untuk vaksin nusantara yang masih dalam tahap pengujian. Apa saja? #TempoBisnis 
https://t.co/CvuT7Ltv6c",,,,
"https://t.co/rAVwDRdxWd 

Rakyat Ummar Bin Khatab ga diterima oleh Saudi gegara vaksin sinovak. Mending bikin Ka’bah Nusantara lah, lebih murah biayanya wkkkk",,,,
"Polda Sumatera Utara (Sumut) meringkus Aparatur Sipil Negara (ASN) dan dua orang lainnya terkait dugaan jual beli vaksin ilegal.

https://t.co/4Le4yQkOZR",,,,
Vaksin Nusantara ?Struktur Masalah https://t.co/7Bs6dPcveN,Tidak Percaya,,,
"Jelas-jelas LETAL DAN BERBAHAYA BAGI MANUSIA, KARENA SEBABKAN BERBAGAI EFEK SAMPING:

https://t.co/hCDvYwdX8y",,,,
"Dan di sana TERLIHAT JELAS BAHWA ITU BUKAN VAKSIN INDONESIA!

NAMANYA SAJA YG VAKSIN NUSANTARA, PADAHAL PESANAN ASING, LETAL, UNTUK PROFIT MAUT SAJA!",Tidak Percaya,,,
Kejahatan Terawan berikutnya adalah terlibat jejaring korupsi dengan DPR-Oligarki dan pengusaha korup terkait pengadaan  'Vaksin Nusantara'.,Tidak Percaya,,,
"Pegawainya Terlibat Jual Vaksin Ilegal, Kemenkumham Dukung Poldasu Tegakkan Hukum https://t.co/F1Z5FuIjcG",Tidak Percaya,,,
"Oknum ASN Dinkes Jual Vaksin Secara Ilegal, Edy: Pasti Dipecat! https://t.co/ie8ZrZtaTZ",,,,
"Oknum ASN Dinkes Jual Vaksin Secara Ilegal, Edy: Pasti Dipecat! https://t.co/831VjQnaLT",,,,
@wul4n_d4ri @KrisyantoOni Vaksin Nusantara sudah dihentikan bukan? @pengarang_sajak,,,,
"Wujudkan Herd Immunity, Kadin Ungkap Peserta Vaksin Gotong Royong Terus Bertambah https://t.co/I5th7IupxS",,,,
"Diduga Jual Vaksin Ilegal, Polisi Tangkap Oknum ASN https://t.co/UC0V88tMRo",,,,
"Diduga Jual Vaksin Ilegal, Polisi Tangkap Oknum ASN https://t.co/t3WYNCzKY0",,,,
"Pegawainya Terlibat Jual Vaksin Ilegal, Kemenkumham Dukung Poldasu Tegakkan Hukum https://t.co/jRKU6eieZ3",Tidak Percaya,,,
"@tribunnews Presiden @jokowi tolong beri kesempatan Pak Terawan u/ menyelesaikan riset ""vaksin Nusantara"".",,,,
"@tribunnews Orang berintegritas nih. Gak mau duduk ""selonjoran"" aja di kala Covid19 merajalela. Lebih memilih mengembankan vaksin Nusantara.",,,,
"Lancau lah bising pasal orang tak amik vaksin buat apa.Benda vaksin pun tak dapat lagi.Orang lain nak mati biarkan,bagi je yang nak dulu.

Buto punya gov",,,,
"Buleleng Targetkan 17 Ribu Vaksin Astrazeneca Beres Sepekan 

#SatgasCovid19 #IngatPesanIbu #PakaiMasker #JagaJarak #JagaJarakHindariKerumunan #CuciTangan #CuciTanganPakaiSabun

https://t.co/ISuVmXtxPj",,,,
"Dinas Kesehatan Kabupaten Sleman, Daerah Istimewa Yogyakarta memantau 30 dosen dan tenaga kependidikan salah satu perguruan tinggi di Sleman yang telah menerima vaksin AstraZeneca.  https://t.co/bStvvb8SOY",,,,
"@liputan6dotcom denger2 pake vaksin nusantara ya itu, tp entah saya denger dr siapa",,,,
@windaul Eh vaksin yang Nusantara itu udah mulai belum sih?,,,,
@medcom_id Vaksin nusantara termasuk horee re re,,,,
"PEMKAB Buleleng, Bali menargetkan 17 ribu dosis vaksin Astrazeneca selesai disuntikkan ke warga dalam sepekan.   https://t.co/RTm0IkqXpR",,,,
"Di Indonesia kayanya mustahil si Sinopharm bisa jd dosis ketiga. Kan pny swasta. Sinovac kan pny pemerintah China. Blm lagi ada AZ yang diendorse oleh Pak Wapres kita tercinta. Apalagi Nusantara,,, sudah RIP
@KrisyantoOni

https://t.co/z992Pq6BRO",Tidak Percaya,,,
"@drpriono1 @jokowi @BudiGSadikin Jadi Setuju nih pake vaksin Nusantara...?
🤣🤣🤣",,,,
"@Dwifoes Awal mula palestina di jajajah asama zionis israel ngambil hak2 milik palestinan. Ini yg sedang terjadi . 
Masuk ke indonesia Zionis nusantara mengabil hak2 warga indonesia emang mau ?🤭 Indonesia adalah target Israel untuk menumpahkan virus dan menciptakann vaksin.",Tidak Percaya,,,
"Misalnya Batam, sebagai salah satu kota tersibuk di Kepri, telah memvaksinasi 72 ribu orang dari target 774 ribu penerima vaksin covid-19.  https://t.co/XLesH3afvx",,,,
@Cakra_Pasopati @agama_nusantara Bukanya memperbaiki kehidupannya lebih layak malahan bangga dapat sebutan #cv19doktrin belum ada vaksin* https://t.co/zsfx3Cy4lO,,,,
@Djoked2 Tak kira dikasih vaksin nusantara sembuh,,,,
"Ketua DPR Puan Maharani mendorong parlemen dari negara yg tergabung dlm Inter- Parliamentary Unit untuk aktif mengupayakan pemerataan ketersediaan vaksin di seluruh Nusantara
#VaksinUntukSemuaBangsa https://t.co/IOYZTWd7sq",,,,
"@Putra__Wajo @jokowi @PDI_Perjuangan Udah mampu buat vaksin belum.
Ada upaya buat vaksin nusantara kok tak didukung.
Mbak puan kmn aja?

Dan kabar vaksin merah putih seakan hilang lenyap.

Buat apa hy lempar wacana.
Mau tiru anies bakwan?",,,,
"Apa kabar Biofarma? Vaksin Nusantara? Kemandirian itu perlu.

#VaksinUntukSemuaBangsa https://t.co/JJ9SxGBe7f",,,,
@falcadisa @tresi3424 vaksin nusantara,,,,
@tariochien @Ladynoel07 @5ecretNumber Ngatasin nya pake vaksin nusantara wkwkkk,,,,
@nenganchi Ini seriuus Anchi? Karena sebelumnya ada namanya Vaksin Nusantara yang endingnya problematik. Kupikir karena oh okay demi membangun semangat kebangsaan.  Nah sekarang emang ada Vaksin Gotong Royong?,Tidak Percaya,,,
"@jokowi @KemenkesRI @KemnakerRI @kemenhub151 Assalamualaikum Pak....Mohon izin tanya Pak, untuk pekerja maritim atau pelaut, kpn jadi priority untuk vaksin COVID-19 ?#vaksinforseaman",,,,
"Program vaksinasi gotong royong dinilai lebih berpihak pada perusahaan besar di Pulau Jawa. Para pengusaha di Kepulauan Riau mendesak agar pemerintah juga menjamin ketersedian vaksin bagi perusahan kecil di luar Jawa. #Nusantara #AdadiKompas @panduwiyoga

https://t.co/o8mVRz2HUe",,,,
"Kesaksian tokoh Jabar Dedi Mulyadi usai disuntik Vaksin Nusantara oleh Dokter Terawan: “Enggak pegal, enggak pusing, Insya Allah aman” https://t.co/YFkx5CCVOT",,,,
"Vaksinasi Covid-19 di Sulawesi Utara bakal melambat akibat penghentian sementara penggunaan vaksin AstraZeneca dari kumpulan produksi CTMAV547. #Nusantara #AdadiKompas @kristian_oka

https://t.co/GzeNfRAFJF",,,,
"Pelaksana Tugas (Plt) Wali Kota Cimahi, Ngatiyana mengatakan, pihaknya milih melaksanakan vaksinasi di kelurahan, lingkungan sekolah serta tempat-tempat terbuka lainnya agar memudahkan para lansia mendapatkan vaksin.  https://t.co/2CUExzUaQv",,,,
"@sociotalker @iic_a Mengingat vaksin nusantara sangat didukung oleh pemerintah RI, apakah vaksin tersebut akan secepat vaksin moderna/pfizer?

(Jawabanya, jelas tidak)",,,,
"@AdamPrabata @tirta_hudhi Wakakakakaaaaa.. yg no.4 itu.. ""ada bahan yang dilarang""..

Bahan dilarang koq boleh beredar dan sempat dikonsumsi publik kemarin2 itu..??? 🤔

Pengawasan-nya gimana tuh..??? 

#BubarkanBPOM

Ehh.. ntar gw dibilang buzzeRp vaksin nusantara lagi..🤦‍♂️",Tidak Percaya,,,
@alonkii Semoga segera yaaaaaa....vaksin apa aja boleh asal jangan nusantara 🤣🤣🤣🤣🤣,,,,
@soetidjam Ini Drun !!! Gak ada di Arab !!! Ayo masuk lagi Islam Nusantara !!! https://t.co/W3pFBhQjPU,,,,
@soetidjam Ini Drun !!! Gak ada di Arab !!! Ayo masuk lagi Islam Nusantara !!! https://t.co/W3pFBhQjPU,,,,
"3.200 dosis Vaksin AstraZeneca kumpulan produksi CTMAV547 jatah Balikpapan dikembalikan ke Jakarta. Vaksin tersebut belum sempat disuntikkan kepada warga Balikpapan. #Nusantara #AdadiKompas @cipto_21

https://t.co/NaA70JUVtJ",,,,
"Testimoni !!! Disuntik Vaksin Nusantara oleh Dokter Terawan, Tokoh Jabar Dedi Mulyadi: “Enggak pegal, enggak pusing, Insya Allah aman” https://t.co/vojdHsnM72",,,,
Uwuyyy... Msh niat bebankan Vaksin Nusantara ke swasta smtara anggaran covid ratusan T gak jelas ke mana...? Insentif nakes pun gk kbayar...?? Cuma Bajer Biadab yg msh percaya..!! https://t.co/c8IdJfyjG3,Tidak Percaya,,,
"Kalau soal haram dan halal saja bisa di-by pass dengan alasan darurat, mengapa Vaksin Nusantara tidak dicarikan alasan darurat? #CakAbror https://t.co/bSYEluoGUo",,,,
"Kemungkinan media akan diramaikan dengan update covid kembali. Entah apa maksudnya. Yg jelas percaya kepada Tuhan obat yg paling ampuh. Bukan fucksin impor, tapi gunakan vaksin Nusantara yg jelas"" Lokal.",Tidak Percaya,,,
"Kok astra zeneca ini makin hari berita2nya mengkhawatirkan sih... yg kmrn berita ""vaksin"" nusantara ada kelanjutan penelitiannya kah?",,,,
Vaksin Nusantara itu bukan cuma utk flu covid kan? https://t.co/ifQOlbZehj,,,,
"Soal Vaksin Nusantara, ini Penjelasan Lengkap Keunggulan dan Perkiraan Harganya https://t.co/27Vy8dScRy",,,,
Ini Jawaban Terawang Terkait Vaksin Nusantara Tak Diuji ke Hewan https://t.co/XzHRyt69S0,,,,
nairobi idup lagi abis disuntik vaksin nusantara https://t.co/qHbUAjdIJN,,,,
"@CNNIndonesia Yo ben toh.

Di Indonesia vaksin Nusantara karya dr #Terawan malah ditimbun alias tidak dibantu perkembangannya 

@KemenkesRI 
@BPOM_RI",,,,
@antaranews Tentu beda sebsb di Amerika sdh 40% yg divaksin srmentara Indonesia baru 10 % nanti bila sdh 50% atau bila vaksin Merah Putih /Nusantara sdh ada izin dari BPOM karrns aturan nya pada hal rrakyat percaya pd produk dlm negeri,,,,
"Vaksin Gotong Royong Dijual Seharga Rp 321 660 Per Dosis
#Vaksin #gotongroyong
https://t.co/SmgAKpVVH8",,,,
"PT Rajawali Nusantara Indonesia (RNI) menargetkan produksi Alat Suntik Sekali Pakai (ASSP) hingga 80 sampai dengan 100 juta pieces.

#COVID19 #vaksin #rni #jarumsuntik #suntik 
@RNIHolding 

https://t.co/XPV9t2ax56",,,,
"@Megatop99 @tempodotco Kalo ranah Bpk Presiden betul beliau hrs hadir sejelas jelasnya di KPK krn KPK lsg bertanggung jawab kpn Presiden....

Maju mundur lemah kuatnya KPK ada ditangan Presiden.....monggo pak Presiden.....hrs bicara seoerti vaksin nusantara yg kontroversial itu....",,,,
"GURU BESAR BUKAN ANTI KORUPSI

Yang bicara bukan 74 Guru Besar Antikorupsi, tapi 74 Guru Besar berbagai disiplin ilmu bukan cuma hukum-ada peternakan, ekonomi, filsafat, dll.

Persis seperti waktu anggota DPR ikut ngomong bela vaksin Nusantara! https://t.co/m3aWYSDi9Y",,,,
"@DivHumas_Polri bisa meminta @fahiraidris @DPDRI kerja sosial membantu aparat Satgas Covid 19 di jalan melarang mudik, melarang kerumunan, menyuruh kendaraan memutar balik, membagi masker, patroli jalan raya, menjadi nakes, bantu petugas vaksinasi atau menjadi OP Vaksin Nusantara https://t.co/6luN5JtHAO",,,,
"@hariankompas @deonisiaarlinta Kok ya masih banyak yg tidak faham jenis2 vaksin ya? Ada vaksin merah putih, vaksin nusantara, vaksin goyong royong(mandiri) dan vaksin gratis, dianggep sama semua.. beda coi..",,,,
"Lihat Vaksin Nusantara, belom apa2 dah koit dengan alasan ini itu. Karena punya vaksin sendiri perlu kekuatan militer.

Liat Tiongkok, dia bisa bikin Baidu, Tiktok, soalnya kalo berani ngelarang bakal di nuklir sama Pemerintahnya 

Kita pakai teknologi, KARENA GA ADA PILIHAN!",,,,
"@detikcom HAHAHA, VAKSIN NUSANTARA TIDAK DIJUAL, MURNI PELAYANAN. SEMENTARA VAKSIN GOTONG ROYONG DIJUAL. JADI SEBENARNYA ADA MAFIA, BAIK DI BADAN BPOM MAUPUN IDI. AYOK KITA IKUTI TERUS. HAHAHA.",Tidak Percaya,,,
"@detikfinance mahal beut, dulu vaksin nusantara katanya seharga $10/dosis... ga kira2 ada pula maksimal untung 20%... masih pandemi udah mikir mau nguntungin. jangan2 biofarma jg udah nguntungin besar ini. gotong royong apanya...",Tidak Percaya,,,
"Sdh tau kan skrg apa dampaknya..
Jadi vaksin nusantara hrs diberi kesempatan untuk dilakukan uji coba ato penelitian.. https://t.co/GzrvrLc88g",,,,
Yuk simak info berikut buat baca kabar kastrad mengenai Vaksin Nusantara 👇 https://t.co/v0zMhYh7dF,,,,
"[KABAR KASTRAD : VAKSIN NUSANTARA]

Hallo farmasis 👋🏻
Vaksin Nusantara adalah salah satu usaha pengembangan vaksin untuk virus SARS-CoV-2 sebagai langkah pencegahan penyakit Covid-19. Vaksin Nusantara ini menuai banyak polemik karena proses penelitiannya. https://t.co/fVxqm4sPOV",,,,
"@NeiRaham @SPlandemic Oh iya itu benar semua sesuai SOP, seperti vaksin nusantara ga benar kalo ga sesuai SOPnya BPOM. Jgn mentang2 karya anak bangsa mau tabrak SOP.",,,,
@detikcom Kabar^^ terbaru mengenai vaksin merah-putih &amp; vaksin nusantara pun ditunggu para netizen,,,,
"WADUCH bgmn mau percaya VAKSIN NUSANTARA  yg HASIL PRODUKSI R&amp;D SENDIRI (sdh gak peduli dgn nyawa orang lain yg penting memperkaya DIR)!

BUDAYA KORUP SDH MENYEBAR KESELURUH LEMBAGA PEMERINTAH (PROSES TOP-DOWN), MENCONTOH DR YG PALING PUNCAK PIMPINAN LEMBAGA2 TRIAS KORUPTIKA!! https://t.co/kga6AhWZFA",Tidak Percaya,,,
@kurawa Tanya bang...apakah yg sdh dapat suntikan vaksin bisa disuntik vaksin Nusantara.,,,,
"@rd_mayangsari @NarasiNewsroom Bukan vaksin nusantara vaksin dr sinopharm, alias setali tiga uang sama sinovak",,,,
