Tweet,Nilai,,
Kahkahkah kita pun sempat merasa WFH dua minggu je kan @farhanurusli? Sepatutnya kita boleh dapat vaksin under industrial frontliner ni! Mari! https://t.co/5dLaOrZaKU,,,
@mas_prasetiyo Urgensinya dalam proyek pengadaan vaksin,,,
"Bayangin nih.

Bayangin.

Misalnya ada vaksin yang harus disuntikin di tengah-tengah pentil.

Dan pentil lo harus keras dulu baru bisa disuntik.

Penyakit/benefit apa kira"" yang bikin lo setuju untuk disuntik kaya gitu.",,,
"Gegana NTB : ""𝑺𝒂𝒕𝒚𝒂 𝑩𝒉𝒊𝒓𝒂𝒘𝒂 𝑪𝒂𝒌𝒕𝒊 ""
.
Personel Wanteror Detasemen Gegana Sat Brimob Polda NTB melaksanakan pengawalan dan pengamanan Kedatangan Vaksin Covid 19 untuk Provinsi Nusa Tenggara Barat. https://t.co/gWmUNH91Fu",,,
@wnn_tasha Oil n gas tu. Dapat vaksin.,,,
"Bukan nak cakap apa la tapi sesetengah orang kelantan ni lagi lagi orang tua memang degil tahap macam diorang ni terpaling kebal, dah la vaksin taknak.

p/s: saya orang kelantan, saya tahu la (kadang sedara sendiri pun dah taktahu nak educate macam mana) #sesetengahyabukansemua https://t.co/x4JZRc9YGr",,,
"Kepada senua yang membaca tweet ni, Selamat Hari Raya.

Semoga anda semua selamat. Saya tahu anda semua bijak² orangnya, jaga diri dan jaga org sekeliling.

Ada peluang buat vaksin, pergi amik ye.",,,
"Dah la orang tua dkt kelantan ramai yang tolak vaksin, lepas tu anak2 yg stay luar pulak tak reti2 nak duduk diam ke? Balik bawak penyakit, orang tua masing2 pulak bukan duduk diam bila dah berisiko. Dah pakai gelang pink pun balut tangan utk keluar pegi masjid bagai🙄 https://t.co/1TuLXnLtDc",,,
"Harga vaksin pfizer 1 dos RM83. 

Untuk 1 kepala kerajaan kena spend RM165. 

Kalau saman 1 kereta yang rentas negeri raya ni RM 50,000. 

1 kereta boleh cover 303 orang untuk ambik vaksin. 

Kerajaan ni tak pandai buat bisnes lah untuk orang ketegaq ni.  #KerajaanGagal",,,
"Adakah jenama vaksin COVID-19 penting? 🤔

Credit: doc2us https://t.co/lBi7ELyLwb",,,
"Kita memerlukan semangat keadilan yang akan menggerakkan kita untuk memastikan #akses universal terhadap #vaksin dan penangguhan sementara #hakhartaintelek, kata #Paus.....#trtmelayu https://t.co/61G2raN4aq
https://t.co/9aZ0fZyKIz",,,
abis vaksin rasanya pegel trs ngantuk bgt :(,,,
@asumsico Ganggu vaksin dri luar mungkin,,,
"Malaysia catat 3, 733 kes baharu hari ini

https://t.co/bpx6BGH0d2
#onenews #pkp #covid19 #vaksin https://t.co/lwhxLrcRXI",,,
pak saya blm siap jadi kaya india. blm dapet jatah vaksin nih ah ngaco bener https://t.co/CpGwpCHLmL,,,
"Dijadiin koleksi lucu juga ya 😅👌
•
Jangan lupa vaksin 🙏🤓 https://t.co/4UlWO8GBgu",,,
@mfaizhasni Kau tak sekolah eh? Genting tu backbone economy Malaysia. Mestilah kena vaksin dulu,,,
"30 hours after AZ shot...turun naik demam dan sakit kepala...imagine ni baru side effect vaksin yang mungkin just 2-3 hari je...still sangat OK berbanding dari menderita kena Covid-19 sampai masuk ICU
#CucukMYAZ https://t.co/eYQciYMydH",,,
Pengunjung Kastil Drakula Disuntik Vaksin Covid-19 Gratis https://t.co/e4N4OPQ5s0 #TempoDunia,,,
"Gegana NTB : ""𝑺𝒂𝒕𝒚𝒂 𝑩𝒉𝒊𝒓𝒂𝒘𝒂 𝑪𝒂𝒌𝒕𝒊 ""
.
Komandan Detasemen Gegana Sat Brimob Polda NTB AKBP Wayan Budiarsa,S.Pd memimpin pelaksanaan pengamanan dan Pengawalan Vaksin Covid 19 dari Bandara Internasional Zainuddin Abdul Madjid ke Dinas Kesehatan Provinsi NTB https://t.co/ogW6povTXr",,,
Netizen Rayu Geng Anti Vaksin Agar Tak Sebar Berita Palsu Kepada Warga Tua https://t.co/Ic5fjAwYKS,,,
"serious question.
daftar vaksin kat mysejahtera ke ada web dia",,,
"@kachigoshipo owalah iya gitu ya :') baru yg pertama get, aduh dah vaksin malah makin khawatir yah hahhaha",Tidak Percaya,,
@drpriono1 @BudiGSadikin @KemenkesRI YG PENTING VAKSIN U/ KOMERSIL SDH DI AMANKAN!!,,,
"Docs @paminordin @HausofHilton , nak tanya pasal vaksin. If my grandpa has chronic disease, and dia nak kena vaksin, to whom dia kena dapatkan pandangan untuk ambil vaksin or not? Should he go to GP, KK doctor, or pakar yang merawat dia? Mohon pencerahan. Thanks!",,,
"Vaksin takut, biarkan suami pancut dalam lepas tu tak jaga anak tak kisah pulak.",Tidak Percaya,,
syukur ma abah tak terpengaruh dengan geng anti-vaksin ni..abah hari tu siap excited lagi tunggu nak kena vaksin tapi sayang tak sampai giliran lagi 🥲,,,
"Jadi gini... Mudah aja kok... Simple logic, ngga boleh mudik itu untuk melindungi yang lain, supaya ngga nyebar... Kecuali ya kitanya aja egois ""pengen"" pulang... Kebayang ngga sih ortu kita belum vaksin, lalu ketularan sama kita? 

Walaupun saya juga bingung sama ""boleh wisata""",,,
aku start dari 1st mco..still keje..smpi ke sudah appoiment vaksin pon tak dpt lagi.. https://t.co/o2om03fhFG,,,
@ugekbianco Bau bau vaksin astra nih🤣,,,
"Kat mana boleh custom made lanyard? Aku nak buat lanyard hijau petronas.

Boleh la potong queue dapat vaksin. https://t.co/X99352rJ64",,,
"Zaman dulu mak ayah semua orait nak suntik vaksin untuk anak maybe sebab takde internet. Tolak vaksin waktu tu mungkin terjadi dalam kes yang terpencil. 

Sekarang ni boleh jadi mak ayah kita sendiri tak mau divaksin pasal banyak pengaruh negatif dari internet.",,,
@anitadiah oh ya gw baru liat postingan lo sebelumnya. pd akhirnya mirip kaya di indo yak. pdhal strain sekarang makin aneh2. dan spanyol belum vaksin sama sekali kan yah?,,,
"Paus Fransiskus Mendukung Seruan Biden Untuk Mencabut Hak Paten Vaksin Covid
https://t.co/040EtIWSUe
#PausFransiskus https://t.co/DxrA5Cgiho",,,
@sohnve Salam kenal qintha udh vaksin blm,,,
Bila nak dapat vaksin ek aku dgn family aku macam nak sangat sangat queue for vaccine 😭,,,
"for the first time, aku tok maroh ore nok kutuk klatey.. kutuk lagi kutuk 😌 baso tok dgr kato 
vaksin toksey, derak nok pulok https://t.co/TsEwXViKv2",,,
"Satu jelah nak cakap yang vaksin ni takdelah free pun, parking pwtc RM6.60 https://t.co/uS4g4dpu7t https://t.co/PGPgbtRqlQ",,,
Vaksin Nusantara tuh ya.... mau komen tapi ini sosmed takut viral.,,,
@yusuf_dumdum @CCICPolri @DivHumas_Polri Provokasi jenggot kambing. Teriak rezim tar giliran vaksin minta biar dapat duluan. Jenggot panjang tapi otak sedangkal lubang jangkrik,,,
"@KawalCOVID19 @ridwankamil kang... Red Alert ini, genjot vaksin kang",,,
@jokowi vaksin... kalau nggk ada mutasi virus... akan sukses turunkan pasien covid... sebetulnya ada metode.. tanpa vaksin... masyarakat mau .. perlahan tapi pasti ..covid jenis apapun in syaa Allah perlahan akan sirna ..,,,
"Aku cakap kat mak aku senang je. Jangan dengar ini ustaz merapu mengaji lulus pun cukup makan je pastu sembang teori konspirasi.

Kalau dia mengaji cemerlang dulu kat universiti dapat biasiswa dah lama dah pejabat mufti ambik kerja. Mufti yang belajar pandai tu pun suntik vaksin. https://t.co/yyDCaTKl26",,,
"Intervensi anggota DPR di Vaksin Nusantara ganggu sistem pengawasan obat dan makanan

https://t.co/zXH61ARJwn",,,
"@yanakhairuddin Ramai lagi species macam ni &amp; angka nya amat membimbangkan. Tambah teruk lg, warga muda yg di pengaruh kenyataan tidak benar mengenai vaksin. Golongan ini langsung tak boleh bawa bincang. Sedih.

Itu lah... its okay, let them be. To live or to die. Inallillah.",,,
"Macam mana kalau ada orang tolak vaksin, slot yang kosong tu boleh selit orang lain tak? Mak ayah saya contohnya. https://t.co/82B0vaZK8X",,,
"@jokowi Bapa mertua saya gk mau divaksin. Padahal vaksin semakin mendekat. Di puskesmas belio gk mau dtng. Pindah k kelurahan jg masih gamau.
Gk sanggup saya kasih motivasinya jg😀",Tidak Percaya,,
Jom Malaysia ! We fight for our freedom !!! I need my life before covid back. Imagine eh bila kita dapat control semua then urusan agihan vaksin dimudahkan and kita semua dapat vaksin lagi awal ! https://t.co/ZX8GFvlkkZ,,,
Sejak awal Pandemi Presiden @jokowi terus konsisten suarakan kesetaraan akses vaksin Covid-19 bagi semua negara. https://t.co/W97jsWxupf,,,
Please la jgn forward mesej2 mitos pasal vaksin kat org2 tua di kampung...lagi takut diorang... ni pon tgh nk kene explain plak pasal President Zambia crita tolak vaksin..don't do this guys... jom capai herd immunity together #kitajagakita #VaccineForAll,,,
"Dulu cakap, siapa dah suntik dua kali vaksin dah boleh rentas negeri. Last-last semua tak boleh merentas.

Patutlah Bakoba jumpa YB dalam Neraka.",,,
@helloyena_ :(( mungkin imun tubuhny lg memproses lg kali y? iki vaksin ke2 kah? katany ini paling rentan kena covid krn imun bdn ny turun jd jan kemana” kak jan kontakan sm org” sm jan terlalu nekan diri sendiri,,,
My parents terlupa nak isi vaksin ade tak sesiapa tahu macam mana nak dapatkan balik akses vaksin sebab sekarang ni tgh golongan berisiko vaksin ... mind to share and tell me anything if you know about this ahah,,,
"@K12B4J6_ Temujanji vaksin check dlm app mysejahtera, shud be under KKM. Actually dah try byk kali nak block no.MKN tu, memang xleh. Dah tekan block pun, msg masih masuk.😑😑😑",,,
lepas vaksin rasa sakit² badan and demam panas untuk 2 hari,,,
@helloyena_ iya gapapa asal jgn kontak rame rame dlu soalnya vaksin itu kek virus yg udh dilemahkan gitu jdi biar berlaga yg kuat sm yg udh dilemahkan mjnya rentan kena,,,
"Untuk makluman pengiring kumpulan orang kelainan upaya (OKU), fizikal, intelektual, mental dan deria, anda boleh menemani tanggungan anda sepanjang proses vaksinasi di dalam Pusat Pemberian Vaksin (PPV). https://t.co/1gBybo8EH6",,,
@utusanborneo Tunggu masa nak di vaksin jak gik tuk..,,,
@thegulagula Kalau block karang temujanji vaksin kacau tak? Risau tu je. Kot dia hantar notification tak dapat karang. Sebab dah tak sure sapa jaga bahagia apa dah ni.,,,
"Beli vaksin dekat rakyat sendiri pun banyak bunyi, pastu sembang Aku PN pacu ekonomi negara. https://t.co/FN1g0cWlVl",,,
"Lebih2 lagi pasal covid lah vaksin lah apa ni, kalau tak tau apa2 baik diam, jgn lah post benda bukan2 yg menakutkan2 org and buat org percaya",Tidak Percaya,,
Beribu kali cakap pun tak dengar org tua kita. Habis tu nak buat mcm mana. Takkan nak sampai jadi derhaka sbb suruh dorang vaksin 🤦🏻‍♂️🤦🏻‍♂️ https://t.co/MpFEstWuyr,,,
"Kalau dicucuk vaksin Astra Zeneca, bahaya mati kerana darah beku akibat daripada vaksin: 1 dalam 1 juta. Ini risiko dalam masa lebih kurang sebulan selepas vaksin sahaja. Bahaya atau risiko meninggal kerana Covid: 1 dalam 1 juta SETIAP HARI. Lebih baik risiko SETIAP HARI kah? https://t.co/qUTqcwJYXw",,,
"'Frontliners' Petronas nak vaksin. 'Frontliners' Foodpanda ngan Grabfood rilek je tak vaksin lagi.

Terpaling paling.",,,
"Tunggu la korang program PICK tu, tah tah ada lagi GLC tengah beratur nak vaksin. https://t.co/IgTy8SLovG",,,
"Pertubuhan Kesihatan Sedunia (WHO) mendakwa vaksin mungkin tidak berkesan terhadap varian COVID-19 di India. 

Ketua saintis WHO, Soumya Swaminathan berkata, ciri epidemiologi disaksikan di India ketika ini menunjukkan ia varian yang sangat pantas tersebar.

#onenews https://t.co/LNCXLvrgMh",,,
Vaksin Covid-19 Tahap 12 Tiba di Indonesia https://t.co/YaGyrSmYSF,,,
"Kalau pemerintah cq @KemenkesRI @BNPB_Indonesia mampu mendatangkan, setidaknya utk kota2 besar dimana fasilitas pendingin tersedia, mungkin masyarakat mau membeli secara mandiri, sebagai vaksin alternatif

Efektivitasnya hampir 2x vaksin china. Sangat significant nurunkan risiko",,,
Btw nampak sangat kj juai vaksin mula2 pekerja genting now glc petronas terpaling frontliner 🤷🏻‍♂️🤷🏻‍♂️🤷🏻‍♂️ malaysia is getting worst la dpt kat puak2 @PASPusat,,,
@bernamaradio Ok starts going down.... @DGHisham @IsmailSabri60 tok tolong la kali ni jgn terburu2 bukak segala walaupun graph dh tunjuk trend menurun.. tunggula sampai dh 1-2 angka dulu. Lagipun vaksin belum menyeluruh. If not x mustahil jd plak pkp 4.0 🙏🙏🙏,,,
@GelarPrakosa Kmrn pas vaksin aky tanya baru boleh donor bulan Sept mas kos 😔,,,
@iampaunchy Hahahahaha kan. Ramai lagi nak. Tapi ugut je laa orang tua ni kalau nak mati sorang kene tanam dengan pekerja hospital sebab covid tayah laa amek vaksin. 🤣🤣🤣,,,
"@SridianaEva @hdriannur Oke sepakat... Temuan Amerika dan Inggris ini disengaja. 
Lanjut diskusi, apa sebenarnya Vaksin?... Apa bisa melindungi dari Covid19?",,,
@jokowi Om gampang bgt dapet vaksin padahal negara lain susa bgt dapetinnya mungkin vaksin tsb negara lain gak minat jadi gak ada persaingan dapetinnya ya om ?!,,,
"Tidak lama lagi akan tiba giliran kamurang untuk menerima suntikan vaksin. 😃

Tapi yang paling penting sekarang, DAFTAR DULU VAKSIN.

Barulah kita dapat melindungi diri, keluarga dan akhirnya bebas dari pandemik COVID-19.

#JaPenSabah 
#BahDaftarVaksin
#LindungDiriLindungSemua https://t.co/bku9BwDH2X",,,
"Elok diam je, tak payah lah nak cakap apa-apa. Semua benda nak salahkan DAP. 

Yang pekerja kasino dapat vaksin tu diam membisu je saat kerajaan melayu islam memerintah ni apa cite? https://t.co/GlFKXyJNSP",,,
"Punya lama tidur, siap mimpi dah dapat vaksin eh . Siap effect kebas tangan bila bangun tidur. Apoo. Lambat nau nak dapat vaksin betul mimpi jela dulu",,,
"Semalam aku nak sangka baik, ramai pergi vaccine mostly non-Malay..maybe sebab dorang pilih tarikh lepas raya...tapi bila dengar and dapat tau dari orang lain, tempat lain pun sama...yang ramai bukan non-Malay ambil vaksin... Tak tau nak sangka baik ke tak lagi ye...",,,
@ugekbianco mending hubungi aja nomer di paling bawah kertas yg dikasi abis vaksin itu gek,,,
ada yg abis vaksin trs kaya demam ringan ga...,,,
"Vaksin Pfizer sangat efektif. 14 hari pasca vaksinasi ke-2,  nurunkan 96.5% infeksi, 98% perawatan RS dan 98.1% kematian. Efektif juga lawan virus corona baru. Tapi butuh suhu minus 70. Kita blm mampu memelihara vaksin di suhu tsb sampe pelosok

Vaksin china hanya efektif 51%. https://t.co/QVJhZFpeoK",,,
"Vaksin tanak amek, pastu bising tak boleh rentas negeri https://t.co/4KTGZ8XNI1",,,
"@VIVAcoid tekankan saja utk tetap Pakai masker, Jaga jarak dan Cuci tanggan, jaga kebersihan, toh sudah di vaksin semuanya...
Silahturahmi sungkem terhadap orang tua utk mencari ridho dan hormat terhadap ortu, mumpung masih sehat....",,,
@OwToTheZie Bukti vaksin tak tambah ketinggian. Noted. https://t.co/MjansStUrh,,,
Jadi dia fikir kita ni terima vaksin untuk lenyapkan diri sendiri ka? https://t.co/zjE7iA9Gp0,Tidak Percaya,,
@iampaunchy Hahahaha kan. Nanti buat awareness untuk orang tua suruh amek vaksin sekali. Sebab org tua susah nak terima vaksin ni,,,
"Jadwal Vaksin kok ya H - 2 lebaran, Surabaya udah di sekat lagi 🥱",,,
kalian ada yang pernah ngalamin ngga bisa ngerasain rasa ngga? gimana ya caranya biar bisa ngerasa lagi? aku habis vaksin jd demam trs flu smpe gbs rasain apa apa 😭,,,
@syairnasir Sedangkan lecturer bio pun tak nak amik vaksin sebab takut. Tak tahu nak explain macam mana dah.,,,
Alhamdulillah akhirnya kantor gue ada informasi terkait vaksin pribadi dan untuk anggota keluarga. Dikabulkan doa gue divaksin sebelum pada masuk kantor baru. 🥰,Percaya,,
"Pusat vaksinasi di Sunway Pyramid Convention Center tetap dibuka walaupun penutupan pusat beli-belah, kata CEO mall - https://t.co/UjOdNFcg2Y
PETALING JAYA: Pusat imunisasi Covid-19 di Pusat Konvensyen Sunway Pyramid tetap dibuka untuk vaksin https://t.co/sEHq3IJsGI",,,
"""Dia tu solat jumaat pun tak pernah nampak batang hidung, inikan nak buat umrah""

Hidup lama-lama sbg kufur pun nak buat apa, ambil je vaksin. Mati pun matilah. Nak hidup berapa lama lagi.",,,
"efek vaksin teh brp hari sih? 
temen gw yg vaksin tgl 4 sampe skrg masi meriang🥲
gw udh ga meriang tp lemes ga ilang☹️",,,
"Belum lagi cakap dekat yang terpaling islam, 

Covid-19 &amp; Vaksin ni agenda yahudi la, dajjal lah, freemason la, illuminati lah, ape laa… ayooo… 

Belajar mendalam agama tu dah bagus, tapi yang peliknnya makin jadi bebal. https://t.co/RSfiVXthM8",Tidak Percaya,,
"@shasharyzal Jejaga, tadi staff tu bagitahu vaksin AstraZendaya ni last batch. Sampai turn you maybe akan guna vaksin AstraWanMaimunah.",,,
"@Namaku_Mei Semalam saya juga ngalamin di cegat polisi sampai di 3 pos penyekatan mbak tapi karena saya memang diberi tugas ke Semarang dan surat2 lengkap ya aman aman saja syarat utama 
1. Surat tugas 
2. Hasil test antigen negatif
3. Sertifikat vaksin
4. Dokumen pendukung",,,
"Aku tak faham la dlm keadaan covid cases makin naik ni, yg ipk dok sebok nak review2 ip kenapa? Ingat dah vaksin kira dah kebal? #bebalseparuhnyawa",,,
Tolong jaga diri semua. Dh vaksin ke tk vaksin ke jgn keluar selalu kalau tk perlu. Sop pun jaga. https://t.co/WOJtrbOXXz,,,
"Uni Eropa sepakat memperpanjang kontrak untuk menyerap potensi 1,8 juta dosis vaksin Pfizer.
https://t.co/2nd8A7z6XC",Percaya,,
"Rindu itu virus
Silaturahmi adalah vaksin nya
#DCDC",,,
Vaksin dulu lah https://t.co/NKJd4VN4G4,Percaya,,
Vaksin buat mencegah rasa rindu ada nggak ya? 🤔 https://t.co/a26458Bb3N,,,
"Lawatan Datuk Dr. Siti Hamisah, KSU MOSTI diiringi Brigadier Jeneral Dato’ Dr. Zulkifli Zainal Abidin, CITF &amp; Mohd Yusri CEO WTC KL di World Trade Centre bagi meninjau kemajuan terkini Pusat Pemberian Vaksin Astra Zeneca WTCKL. https://t.co/422fax0SEk",,,
"Indonesia kedatangan Vaksin Covid-19 produksi Sinopharm pada 30 April lalu, nah ini dia 7 fakta yang perlu Anda ketahui terkait vaksin Sinopharm ini.

@infoppkk

#StayFitForLife
#AkhirPekan https://t.co/aZoZSAu58M",,,
"Pastikan Kelancaran, Jaya Negara Tinjau Vaksinasi Bagi Disabilitas
#Covid19 #Denpasar #Disabilitas #JayaNegara #RumahBisabitas #Vaksin #VaksinasiCovid19

https://t.co/CA40zKRgwP https://t.co/atT25opsoy",,,
@coconutts__ @dfslri17 @txtdrpemerintah btw pns juga ada rutin swab dari kantor dan diwajibkan suntik vaksin. dan memang ada surat tugas agar bisa bebas dari penyekatan karna memang harus tetap kerja dan ga sedikit pekerjanya rumahnya jauh dari kantor/luar kota kayak nyokap gue. jadi harus PP,,,
"Tipulah kalau kata tak rindu.... Dua tahun tak balik. Tokki tak pernah sekali pun jumpa Aishah since lahir up till she’s 1 year ++ . Covid reda, I dah ambil vaksin, I nak balik.... https://t.co/BKWasacjfM",,,
Soalnya lagi di vaksin 😂,Percaya,,
Pahang tu sebab ada nine sorang tu malaih daftar vaksin! https://t.co/6uKaaWdpIH,,,
"@yanakhairuddin kalau bagi keutamaan vaksin kat kaum lain, baru la melayu tua ni nak gelabah &amp; gelojoh vaksin",,,
"Mantap!! Indonesia dukung penghapusan hak paten vaksin covid-19. 

Indonesia sudah konsisten dri awal menyuarakan kesetaraan akses vaksin bagi semua negara. 

Dukung Jokowi lawan pandemi ini. https://t.co/U6mVjwYZYa",,,
"@ZOO_FESS 1. Nabung duit buat steril. Kamu ga tau pikiran tetanggamu, kalau jahat (audzubillah min dzalik) kucingmu bisa dibuang atau dibunuh
2. Cari info subsidi vaksin di kotamu. Sosmed banyak, utilize it
3. Selama ga punya dana buat vaksin, kucingmu mandiin buat ngurangi birahinya",,,
@Gaadaedi @docturnal__ @dfslri17 @txtdrpemerintah btw pns juga ada rutin swab dari kantor dan diwajibkan suntik vaksin. dan memang ada surat tugas agar bisa bebas dari penyekatan karna memang harus tetap kerja dan ga sedikit pekerjanya rumahnya jauh dari kantor/luar kota kayak nyokap gue. jadi harus PP,,,
Program Vaksinasi Gotong Royong bakal dimulai bulan ini. Pelaksanaan vaksinasi tersebut diinisiasi oleh pengusaha swasta melalui Kadin Indonesia. https://t.co/B66yqSashe,,,
"Benda ni percaya, vaksin tak percaya.

Bodo https://t.co/qj81HaZrmy",Tidak Percaya,,
"vaksin corminaty ni, apa pulak function dia?",,,
"ok mak ngan ayah aku tanye aku kenapa tarikh vaksin diaorg tak sama.
kalau aku jawab mana saya tahu, saya cuma ikan, nanti jd anak derhaka lak. 😥😥.
so jawab je tak kerja dgn KKM. 🤣",,,
"Obes, merokok dan darah tinggi = ⬇️ penjanaan antibody selepas 💉 vaksin. https://t.co/ojJ4ulADhQ https://t.co/yEvTBASNXz",,,
"@TiadaIzzat @anakdragun @sayaokayke Tak tahu cakap la terus terang.Tak perlu susah2 nak explain.Vaksin harus diutamakan pada golongan berisiko tinggi sebelum dibuka kepada sektor lain.sebab tu la PICK ada 3 fasa.Frontliner khidmat awam,warga tua&amp;public.bukan frontliner industri dapat dulu ya",,,
"Hahah melayu tua tua ni kalau taknak vaksin takyah pening pon..bagi jelah dekat anak muda yang bekerja dan menyumbang dalam sektor ekonomi..kesihatan terjaga,,ekonomi pon mengembang dikala pandemik https://t.co/aElTgXENDk",,,
@RifkiAdrians @RifkiAdrians pinter dia kemarin sendiri bro vaksin nya 🤣,,,
"@KangDarja @Wedhus999 Susah kl kewajiban vaksin dikaitkan dgn administrasi, misal perawat dikaitkan dgn pengurusan surat ijin praktek, apoteker dgn ijin SIA. Nah ini yg rakyat umum denger² akan dikaitkan dgn mobilitas antar kota",,,
"Ehh termasuk melayu plak sbb td bce tweet mostly melayu tolak vaksin,yg ramai xsabar sume cina",,,
@lar4croft7 Tak bole.. Lepas 3 bulan baru +ve pt  bole ambik vaksin..,,,
"Kat TT pun penuh konspirasi WHO la, agenda yahudi, plandemic la apa lah. Walhal Israel ada highest vaccination rate in the world, kita masih sibuk mempertikai selamat atau tak vaksin ni. https://t.co/KLqWQN9gmo",,,
"Setiap hari kami teriak teriak soal buruknya efek vaksin yg diwajibkan pemerintah apalagi kami say no ke vaksin anak² apa bukan bentuk kritikan kami kepada rezim?

Anjayy dah dikira apa kalik 😂😂",,,
"Hello ladies alters... 
Meskipun David sudah vaksin 2 kali, rapid test Antigen Mandiri tetap hanya memastikan &amp; menjaga prokes, saya dgn kamu wanita cantik biar sama2 aman😍

Ada yg mw isi slot masih AVAILABLE 2 hari ini sebelum hari raya masih on ya guys... https://t.co/8M8RgZUQgY",,,
"Nice juga ni...cuba buat masjid jadi pusat vaksinasi. Habis ja solat jemaah dan wirid, pakcik makcik boleh terus cucuk vaksin. Tak perlu nak susah-susah pergi bandar besar ka apa dah. https://t.co/kbj5rXkZJN",,,
@niknurfarlina @asrulmm pakat pegi cucuk vaksin tu *bersangko baek*,,,
"@Petronas Dah sumbang berbillion ringgit dekat abah cow kan? Ambik la vaksin tu buat saguhati. Topap 10 billion, beli vaksin 2 billion je 😹😹",,,
"dah la tak percaya vaksin, complain pulak lagi pasal pkp tambah lagi dengan sop kelaut. gg boss",Tidak Percaya,,
"@dilasrhm Biar je , dila applykan tak vaksin utk mak ayah ?",,,
Kesemua vaksin ni boleh MEMBANTU elakkan anda berada di katil ICU hospital. https://t.co/wigz2q8Vmu,,,
"Geng single jangan lupa daftar sebagai penerima vaksin dekat MySejahtera. Ingat, kita cuma ada ikan jek! Tu pun sekor. 😭🤚🏻",,,
@HazimHazmir Yg vaksin astra zendaya tu mu x register ke?,,,
@remoonv dicoblos vaksin kh,,,
@HudaMahmud79 @azriazil Pun ramai yang buat tak endah pasal vaksin,,,
"adik beradik awak sendiri ambik vaksin elok je takde masalah, awak pulak menggelibas tak percaya",,,
"Sebab tu bila aku balik rumah and mak ayah sembang pasal vaksin yg mostly dengar dari mulut2 org kg aku akak try explain sebaiknya dari semua segi. Perubatan, agama yada yada. Sebb org tua ni senang terpengaruh dengan ckp kawan sebaya diorang bukan nk dengar ckp kita yg muda ni😪 https://t.co/RmOCPGc9CL",,,
@dittameliaa Masnya itu ga skalian di vaksin ?,,,
"@abdullahzawaw19 @HitsIndonesia_ @herry_wl Iya bro gw juga bingung, orang meninggal karena penyakit bawaan dibilang covid, giliran meninggal karena vaksin dibilang karena penyakit bawaan🙃🤸‍♂️",Tidak Percaya,,
efek setelah vaksin gokil ye wkwk,,,
Hidup sdh berubah dan tdk akan lg kembali normal. Vaksin adalah passport kita keluar dr pandemi.,,,
"@munirahsaharah @yanakhairuddin Amik vaksin x nak,kuarantin pon x nak. Tp rentas daerah/negeri tuk beraya nak. Bole mati agaknya x dpt sambut raya tu.",,,
@daydaydonat Biz trip kemana toh pakai vaksin tipes? Indo aja udh jorok apa ada yg lebih jorok lagi wkwk,,,
"Sudah ada 3 jenis vaksin Corona yang masuk Indonesia yakni Sinovac, AstraZeneca, dan Sinopharm. Masing-masing sudah ada berapa banyak? https://t.co/azYtghe2wV",,,
