Tweet,Nilai,,,
"Kalo boleh vaksin mau vaksin Nusantara aja lah wkwkw. 
Heran aja sama petinggi nyari uang gitu amat sampe produk anak bangsa dibikin ruwet. Suoggg",Percaya,,,
"Tim peneliti utama vaksin Nusantara, Kolonel Jhonny mengklaim pihaknya memiliki pengawas sendiri dalam menjalani pengembangan vaksin selain Badan Pengawas Obat dan Makanan (BPOM). https://t.co/GJz7rBenho",,,,
"9. Maka orang yang ingin punya imunitas Covid-19 sudah bisa lewat Vaksin Nusantara.
Orang bisa datang ke RSPAD. Atas keinginan sendiri. Dasarnya : otonomi pasien. Pasien berhak mendapatkan terapi sesuai dengan keinginannya : vaksinasi pakai darahnya sendiri.",,,,
Eijkman: Vaksin Nusantara Tidak Bisa untuk Vaksinasi Massal https://t.co/n301eySZvt https://t.co/MW4tZuPD6Y,Tidak Percaya,,,
"8. Sejak ada penolakan untuk uji coba fase II Vaksin Nusantara, Terawan tidak banyak bicara.
Ia langsung memindahkan peralatan laboratorium dendritiknya dari Semarang. Sekarang fasilitas itu ada di RSPAD Jakarta.",,,,
@syahirularif @munthe_alfredi @ProfesorZubairi Tapi kenapa vaksin Nusantara tidak mau mengikuti kaidah ilmiah yang benar .kena peran politik yg bermain .sebenar nya Astrc juga meragukan sih vaksin nya wkw,Tidak Percaya,,,
"@Mawar_Hitam09 Sementara yg ini produk anak bangsa..
VaNus Vaksin Nusantara...

https://t.co/mLekwhVl4B",,,,
"Vaksin Nusantara; 
Perseteruan IDI Vs dr. Terawan
#BravoTerawan
https://t.co/B5p8sd0B6m",,,,
"6. ""Mulai minggu depan satu hari sudah bisa 80 orang,” katanya.

Rupanya Terawan –sebagai inisiator Vaksin Nusantara– akan menempuh jalan mirip sukses DSA.
Yang dulunya juga ditentang begitu hebat –sampai ia diberhentikan sebagai anggota IDI- tapi akhirnya diterima secara luas.",,,,
Tercatat ada enam relawan yang mengalami KTD tingkat 3 https://t.co/sDNa6hIulw,,,,
". Ekspedisi sebaran pengiriman

Jika kamu adalah orang yang tidak suka menunggu terlalu lama, mungkin kami menyarankan anda ke mode pengiriman ini.

#porttodoor
Banten
Go to
Indonesian
PDKT
Ujan
Vaksin nusantara
WITA 

https://t.co/GKPH9nt8mM",,,,
"@rich146754 @PBIDI @DPR_RI @TeddyGusnaidi @GunRomli @AragJack @sudjiwotedjo @ainunnajib @Ze_sukma Vaksin Nusantara; 
Perseteruan IDI Vs dr. Terawan
#BravoTerawan
https://t.co/B5p8sd0B6m",,,,
"Sobat, Tertarik Vaksin Nusantara, Adian Napitupulu: ""Saya Punya Penyakit Jantung, Ring 5. Sinovac tak bisa diberikan kepada orang yang mempunyai penyakit penyerta. Kemudian AstraZeneca juga terdapat kasus efek pengentalan darah"".

https://t.co/q7d8uxXYGY https://t.co/4FjjGjW1ZJ",,,,
"5. Yakni bagaimana cara memunculkan antibodi –yang lebih awet bertahan di dalam badan, bahkan bisa jadi seumur hidup.

“Minggu ini tiap hari 40 orang dulu,” ujar Terawan.
Ia mengetahui bahwa yang antre untuk divaksinasi lewat Vaksin Nusantara begitu banyak.",,,,
Drama vaksin nusantara https://t.co/OpelwI6OsB,Tidak Percaya,,,
Gatot Nurmantyo Sambut Tawaran Terawan Diambil Darah untuk Vaksin Nusantara https://t.co/VrW5vhkZny https://t.co/4AO7EdmTrA,,,,
"#CNNIndonesia Vaksin Nusantara gagasan Terawan sempat dihentikan oleh BPOM. Namun, vaksin ini kembali mencuat ke publik setelah politikus Aburizal Bakrie menggunakannya. Simak jejak perjalanan Vaksin Nusantara di sini: #detikNetwork 

https://t.co/6NVflNbvAX",,,,
Eijkman: Vaksin Nusantara Tidak Bisa untuk Vaksinasi Massal https://t.co/d3FTO0AVRM https://t.co/KdGptDcYHF,Tidak Percaya,,,
@pengarang_sajak Semua hasil temuan ilmiah Jenderal(Purn) dr Terawan selalu berlawanan dengan IDI dan Saya Pribadi lbh percaya Vaksin Nusantara temuan dr Terawan dari pada Vaksin Sinovac atau Vaksin Merah Putih.,,,,
"Ngakak lihat berita vaksin nusantara (??) kejadian tidak diinginkan nya sampai 70% wkwkwk
Baru uji klinis fase 1 loh

Astagfirullah karya anak bangsa",Tidak Percaya,,,
"trs pake argumen gini : ""itu menteri2 juga udah pada pake vaksin nusantara, tokoh2 xyz juga udah pake"" trs aku kek...hadeh gatau lah. akhirnya aku pun hanya menyimak dan mendengarkan argumen beliau tetapi tidak menanggapi🙂",Tidak Percaya,,,
"°
°
Catatan Dahlan Iskan

VAKSIN Nusantara sudah dimatikan.
Hidup Vaksin Nusantara !

1. Kemarin pagi orang antre di Rumah Sakit TNI Angkatan Darat (RSPAD) Gatot Subroto, Jakarta : menjalani vaksinasi mandiri lewat Vaksin Nusantara.",,,,
"@Malik_Kurn @drpriono1 @AIVITABio Lah.. vaksin sinovac penelitiannya di indonesia, itu penelitinya dr.terawan &amp; dr herst (usa), penemunya dr.terawan mknya namanya vaksin nusantara, sekarang sudah uji klinis ke 2 amrik, di indonesia sedang mulai di RSPAD.",,,,
"Wakil Ketua Komisi IX DPR Ansory Siregar menyebut pemerintah seharusnya mendukung pengembangan vaksin buatan anak bangsa, yakni vaksin Nusantara dan vaksin Merah Putih. | #VaksinNusantara #VideoKompas https://t.co/B3W9np9tgJ",Percaya,,,
Ini termasuk serakah vaksin gak pak @ProfesorZubairi ?                       https://t.co/Qvn9wJme6w,,,,
"ALASAN Wakil Ketua DPR hingga Jenderal Purn Gatot Nurmantyo Mau menjadi Relawan Vaksin Nusantara

#vaksinnusantara #terawan #VaksinUntukIndonesia #VaksinCovid19 

https://t.co/Y4qFAXRnFy",Percaya,,,
Siapa mau vaksin nusantara??? https://t.co/17uKAkpTpQ https://t.co/c2NZoOhR6S,,,,
"@Syarman59 @PBIDI @DPR_RI Sdh baca ini ?
Mari tingkatkan literasi, jgn sampai mirip kelompok yg mau bunuh diri massal itu lho
@TeddyGusnaidi
@GunRomli @AragJack @sudjiwotedjo @ainunnajib @Ze_sukma
https://t.co/cnNjQj4oVS",,,,
"HAH?? Bit. Jadi ini udah pada divaksin (sinovac) sebelumnya, tapi terus dijadiin rat-lab-nya vaksin nusantara eventho BPOM nggak ngijinin???!? Njir ngabisin jatah sinovac warga aja ini mah https://t.co/32OmsOiL3c https://t.co/49iz81YoZo",Tidak Percaya,,,
