Tweet,Nilai,,,,
@TarekFatah @pfizer Long live TarekFatah Sir Ji.,,,,,
"Mulai 19 April, semua orang dewasa di #AS bisa dapat #vaksinCorona dari #Pfizer, Moderna, ataupun J&amp;J. Kalau sukses, AS pasti segera akan bantu negara lain termasuk #Indonesia! #lawanCovid19 #pakaimasker #jagajarak #cucitangan

https://t.co/A5yPCJiDqg",,,,,
"🧪 Vaccines used globally

Pfizer/BioNTech:
🇦🇱 AL 🇦🇩 AD 🇦🇪 AE 🇦🇺 AU 🇦🇹 AT 🇧🇪 BE 🇧🇬 BG 🇧🇭 BH 🇧🇲 BM 🇨🇦 CA 🇨🇭 CH 🇨🇱 CL 🇨🇴 CO 🇨🇷 CR 🇰🇾 KY 🇨🇾 CY 🇨🇿 CZ 🇩🇪 DE 🇩🇰 DK 🇪🇨 EC 🇪🇸 ES 🇪🇪 EE 🇫🇮 FI 🇫🇷 FR 🇫🇴 FO 🇬🇧 GB 🇬🇬 GG 🇬🇮 GI 🇬🇷 GR 🇬🇱 GL 🇭🇰 HK 🇭🇷 HR 🇭🇺 HU 🇮🇲 IM 🇮🇪 IE 🇮🇸 IS",,,,,
"Anak-anak adalah bagian besar dari komunitas sehingga mereka harus divaksinasi untuk mencapai herd immunity.
  https://t.co/ReyuvaZ2Oe",,,,,
@tempodotco Sebaiknya Indonesia pesan juga dr Pfizer lbh mantap🙏,,,,,
"Perdana Menteri Australia Scott Morrison pada Jumat, 9 April 2021 mengkonfirmasi telah menaikkan sampai dua kali lipat pembelian vaksin virus corona dari Pfizer Inc. #TempoDunia https://t.co/xnAUSvNz95",,,,,
moderna mami seeking a pfizer papi,,,,,
"Ciri-ciri vaksin Pfizer dan Sinovac

#PKPB
#KitaTeguhKitaMenang
#KomunikasiKita
#PsaCOVID19RTM https://t.co/gF4nbrNWmI",,,,,
"Ngobrol2 ama si bocah, dan sesuai dugaan, di sana dia dpt pfizer. Cm bs ngiri doang akutu 😅",,,,,
ketar aku tunggu turn nak suntik pfizer 😭,,,,,
#Local Aruba ta haya vacuna Pfizer so https://t.co/p4dqgyXBrH https://t.co/NFaGfnNOAZ,,,,,
"@normsaid @f4kr0ls00d Semlm kawan yg umur 44 thn yg br pulih herat attack amik dos pertama Moderna. 2nd dos on 28/4 nanti. Mula kata Pfizer sampai tpt nak suntik Pfizer hbs tgl Moderna. So far dia ok, lepas 5 min msg dia diam sampai now xjwp2. Nanti nak call dia.. dia sporean dan ni kisah di Spore.",,,,,
"@edhabe Di sini udah eligible semua dari 16+. Cuman ya itu, vaksin untuk umur 16 cuma Pfizer yg bisa. Jarang ada di klinik2 wilayah. Begitu ada kejarrrr😂",,,,,
Pinoy Pfizer vs Moderna Malay,,,,,
"Ciri-ciri vaksin Pfizer dan Sinovac

#PKPB
#KitaTeguhKitaMenang
#KomunikasiKita
#PsaCOVID19RTM https://t.co/2EGf3W4Gz1",,,,,
"Pfizer, BioNTech mencari anggapan kecemasan AS untuk vaksin COVID-19 pada remaja - https://t.co/HNap4Q5QVo
Pfizer Inc dan rakannya dari Jerman BioNTech SE pada hari Jumaat meminta pengawal selia AS untuk mem https://t.co/RmuKI5ASHX",,,,,
Suhu have to 2-8 for pfizer. Hari tu i dah pening tau satu hari tak boleh buat kerja lain sbb suhu fridge main2 pulak border line 8C.... sinovac cant below 2.,,,,,
"🧪 Vaccines used globally

Pfizer/BioNTech:
🇦🇱 AL 🇦🇩 AD 🇦🇪 AE 🇦🇺 AU 🇦🇹 AT 🇧🇪 BE 🇧🇬 BG 🇧🇭 BH 🇧🇲 BM 🇨🇦 CA 🇨🇭 CH 🇨🇱 CL 🇨🇴 CO 🇨🇷 CR 🇰🇾 KY 🇨🇾 CY 🇨🇿 CZ 🇩🇪 DE 🇩🇰 DK 🇪🇨 EC 🇪🇸 ES 🇪🇪 EE 🇫🇮 FI 🇫🇷 FR 🇫🇴 FO 🇬🇧 GB 🇬🇬 GG 🇬🇮 GI 🇬🇷 GR 🇬🇱 GL 🇭🇰 HK 🇭🇷 HR 🇭🇺 HU 🇮🇲 IM 🇮🇪 IE 🇮🇸 IS",,,,,
@descartezrev1 hahaha ojala les metan la Pfizer recargada,,,,,
Hallelujah ❤️ https://t.co/vgLhHi3NPv,,,,,
Pfizer patut buat pasaran online. Biar rakyat yg country dia kerajaan macam gampang dan mengamalkan sistem monopoli ni terciduk https://t.co/q5GucXepJ7,,,,,
"@KashmalaAshfaqq @shponkayy It jas Pfizer vaccine in it ma'am staso ba test negative e confirm, da Allah fazal sara",,,,,
"Jangan berharap mendapatkan vaksin Pfizer sebelum program vaksinasi di Amerika Serikat kelar.

Pemerintah AS telah memutuskan ekspor besar besaran vaksin baru akan dilakukan setelah vaksinasi di Amerika Serikat kelar. https://t.co/Oui4PiDt5I",,,,,
@VellyCasts AYO PFIZER GANG😩,,,,,
"🧪 Vaccines used globally

Pfizer/BioNTech:
🇦🇱 AL 🇦🇩 AD 🇦🇪 AE 🇦🇺 AU 🇦🇹 AT 🇧🇪 BE 🇧🇬 BG 🇧🇭 BH 🇧🇲 BM 🇨🇦 CA 🇨🇭 CH 🇨🇱 CL 🇨🇴 CO 🇨🇷 CR 🇰🇾 KY 🇨🇾 CY 🇨🇿 CZ 🇩🇪 DE 🇩🇰 DK 🇪🇨 EC 🇪🇸 ES 🇪🇪 EE 🇫🇮 FI 🇫🇷 FR 🇫🇴 FO 🇬🇧 GB 🇬🇬 GG 🇬🇮 GI 🇬🇷 GR 🇬🇱 GL 🇭🇰 HK 🇭🇷 HR 🇭🇺 HU 🇮🇲 IM 🇮🇪 IE 🇮🇸 IS",,,,,
Tambahan 20 Juta Dosis Vaksin Covid-19 Buatan Pfizer Bagi Australia Tiba Kuartal Empat Tahun Ini https://t.co/BvrXiV83Z4 https://t.co/WAF4HJqHuL,,,,,
Why Russian sputnik😭😭😭..y not Pfizer n moderna https://t.co/9LrQsrqJ0W,,,,,
Pfizer Ajukan Izin Vaksin Covid untuk Anak 12-15 Tahun di AS https://t.co/ORNLAzEx8m,,,,,
ayo u a pfizer gurl??? https://t.co/FywhKix9Wn,,,,,
Tadi pagi iseng nyari appointment untuk 16+ buat mbak Arwen. Eh dapet!!!! Tapi langsung untuk hari ini juga. Ya udahlahya gak papa jauh dikit ke Bronx msh bisa dijangkau kereta. Soalnya blm bnyk yg sedia vaksin utk 16+. Vaksin 16+ baru ada Pfizer btw. Moderna dan J&amp;J utk 18+. https://t.co/qZwXnTGEje,,,,,
@astrozhafri Saya nak pfizer,,,,,
Jadi kalo anak muda di EU dijatahnya Moderna/Pfizer.,,,,,
"@MaqsoodAsi Aj kal Shaed Pfizer hi lga rahe hen.
kal news men dekha tha keh Astra Zeneca dobara shuru ho rahi he.",,,,,
yuhhhhh pfizer gang 💪🏽💉,,,,,
"🧪 Vaccines used globally

Pfizer/BioNTech:
🇦🇱 AL 🇦🇩 AD 🇦🇪 AE 🇦🇺 AU 🇦🇹 AT 🇧🇪 BE 🇧🇬 BG 🇧🇭 BH 🇧🇲 BM 🇨🇦 CA 🇨🇭 CH 🇨🇱 CL 🇨🇴 CO 🇨🇷 CR 🇰🇾 KY 🇨🇾 CY 🇨🇿 CZ 🇩🇪 DE 🇩🇰 DK 🇪🇨 EC 🇪🇸 ES 🇪🇪 EE 🇫🇮 FI 🇫🇷 FR 🇫🇴 FO 🇬🇧 GB 🇬🇬 GG 🇬🇮 GI 🇬🇷 GR 🇬🇱 GL 🇭🇰 HK 🇭🇷 HR 🇭🇺 HU 🇮🇲 IM 🇮🇪 IE 🇮🇸 IS",,,,,
"""ini amit amit ya, kalau kena covid--"" apa itu vaksin pfizer? kita mah pake vaksin amit amit",Tidak Percaya,,,,
"Kalo yang ini buat yg pengen tau cara kerja vaksin baik yang virusnya dinonaktifin(Sinovac), nebeng ama virus lain yg lebih lemah aka flu biasa(Astrazeneca), sama mRNA yg isinya instruksi buat tubuh lo (pfizer-moderna) https://t.co/n2Wa51pAwF",,,,,
"saya dah derma darah lebih 50 kali kot dari kecik sampai sekarang asyik derma darah dekat nyamuk, boleh kot dapat Pfizer punya😁 https://t.co/OJACT28n6u",,,,,
"""Pak ... beli pak.""
""Beli apa?""
""Beli vaksin.""
""Yang core apa booster?""
""Booster.""
""Az, Pfizer, Moderna, Sino, Sputnik?""
""Pfizer Pak, dua ya.""
""Bawa pulang apa suntik sini?""
""Sini aja, Pak.""

Nanti gitu kali ya di warung terdekat.",,,,,
"Baru tahu kalau BMI tak balance, ada sejarah ambil ubat seperti darah tinggi, kencing manis, kolesterol dan jantung dikecualikan dari vaccine buat sementara. Adakah ia Sinovac bukan Pfizer?",,,,,
@AnnitaMazz @Silsh @gcba @horaciorlarreta Sputnik no es ARN mensajero. Solo Pfizer y Moderna,,,,,
"@433Nan @youonev I heard they using pfizer so yeah no wonder. Aku juga dikasih tau ama temen dom jepang, citizennya minta ng-cancel olympic, tapi satu sisi komite olympic neken pemerintah jepang. Jadi yahh dilema",,,,,
#ukhozifm news. Bakwethubis Pfizer efundeka like Fayza. Akuyona i Pee Fiza..awu..,,,,,
"@nmonarizqa Beberapa hari yang lalu, ada kawan masuk dari US dan sudah divaksin Pfizer dua kali di NYC. Sertifikat vaksinasi sudah ditunjukkan ke petugas bandara, namun dia tetap diarahkan untuk karantina di hotel tertentu selama 5 hari.",,,,,
"""Vaksinnya itu harus certificate WHO jadi sudah disertifikasi WHO, sementara Sinovac belum,"" kata Gus Yaqut. #kumparanNews https://t.co/QFFjnWIZfm",,,,,
@Na_Nina08 gak uni.. insya Allah nnti klo udh divaksin.. nunggu yg dr Pfizer.. skrg msh sinovac. 😁😁,,,,,
"🧪 Vaccines used globally

Pfizer/BioNTech:
🇦🇱 AL 🇦🇩 AD 🇦🇪 AE 🇦🇺 AU 🇦🇹 AT 🇧🇪 BE 🇧🇬 BG 🇧🇭 BH 🇧🇲 BM 🇨🇦 CA 🇨🇭 CH 🇨🇱 CL 🇨🇴 CO 🇨🇷 CR 🇰🇾 KY 🇨🇾 CY 🇨🇿 CZ 🇩🇪 DE 🇩🇰 DK 🇪🇨 EC 🇪🇸 ES 🇪🇪 EE 🇫🇮 FI 🇫🇷 FR 🇫🇴 FO 🇬🇧 GB 🇬🇬 GG 🇬🇮 GI 🇬🇷 GR 🇬🇱 GL 🇭🇰 HK 🇭🇷 HR 🇭🇺 HU 🇮🇲 IM 🇮🇪 IE 🇮🇸 IS",,,,,
"Ciri-ciri vaksin Pfizer dan Sinovac

#PKPB
#KitaTeguhKitaMenang
#KomunikasiKita
#PsaCOVID19RTM https://t.co/doMJJJ1Vot",,,,,
@f4kr0ls00d Dua orang anak saya  frontliners sudah lengkap vaksin 2 dos (Pfizer). Alhamdulillah they're fine.,Percaya,,,,
"kalau fasa 2 semua nak bagi pfizer for those yg ada comorbid, so sinovac tu boleh terus agih ke fasa 3 la kan incase fasa 1 dah setel.

bila ada statement camni, netizen memang cepat hentam sebab dorang nak 1st come 1st serve based on mysejahtera regist.. https://t.co/hlm2XsvhWR",,,,,
"Ubufaransa bwatangaje nta muntu uri munsi y’imyaka 55 uzongera kubona #AstraZeneca vaccine. Abafashe dose ya mbere bazahitamo hagati ya Pfizer na Moderna. 

Ese kuvanga inkingo zitanahuje technology bizatanga iki? 

https://t.co/9ALGTZTged",,,,,
@pokokapril akma pnye pfizer,,,,,
@AanchalPsd @AmitShah @BJYM Woh kyu social distancing maintain Karenge pfizer vaccine jo Liya h,,,,,
"Apa bedanya p*rnhub sama pfizer ?

P*rnhub bikin fvck scene, kalo pfizer bikin vaccine",,,,,
"Khasiat umumnya konsisten di seluruh usia, jenis kelamin, ras, dan demografi etnis, dan di seluruh peserta dengan berbagai kondisi yang mendasari. Efek samping konsisten dengan hasil yang dilaporkan sebelumnya.

Sumber: 
https://t.co/o42JxSlCx0",,,,,
"[ INSHARE ]

Hasil Analisis Terbaru Vaksin COVID-19 Pfizer Efektif 100%

Pfizer, BioNTech Menegaskan Khasiat Tinggi, Tidak Ada Masalah Keamanan Serius dalam Analisis Topline Terbaru Vaksin COVID-19. https://t.co/cirNakYpnW",Percaya,,,,
"@FKadrun Mending dibebasin aja orang bisa milih vaksin berbayar tp merk lain yg sudah di akui WHO. Kayak moderna,pfizer,astrazeneca,sputnik,johnson,dll. Orang takut vaksin kebanyakan krn takut vaksin cina,takut jd kelinci percobaan",Tidak Percaya,,,,
"Mana yg dpt pfizer kebanyakann ada rasa x sihat, sinovac steady",,,,,
"🧪 Vaccines used globally

Pfizer/BioNTech:
🇦🇱 AL 🇦🇩 AD 🇦🇪 AE 🇦🇺 AU 🇦🇹 AT 🇧🇪 BE 🇧🇬 BG 🇧🇭 BH 🇧🇲 BM 🇨🇦 CA 🇨🇭 CH 🇨🇱 CL 🇨🇴 CO 🇨🇷 CR 🇰🇾 KY 🇨🇾 CY 🇨🇿 CZ 🇩🇪 DE 🇩🇰 DK 🇪🇨 EC 🇪🇸 ES 🇪🇪 EE 🇫🇮 FI 🇫🇷 FR 🇫🇴 FO 🇬🇧 GB 🇬🇬 GG 🇬🇮 GI 🇬🇷 GR 🇬🇱 GL 🇭🇰 HK 🇭🇷 HR 🇭🇺 HU 🇮🇲 IM 🇮🇪 IE 🇮🇸 IS",,,,,
Selepas cucuk sinovac ni rasa ok je..berbanding yg pfizer ada yg pening nak demam,,,,,
@aajtak modi ki Pfizer wali lagi hai ...ghodo,,,,,
"Kita disarankan mengambil 4.7 g makanan mengandungi potassium setiap hari. Dalam badan kita ada sekitar 1.7g potassium per kg berat badan. Orang dengan berat 60 kg ada sekitar 105 g potassium. Potassium dalam vaksin Pfizer? 39 mg, bersamaan dengan 0.039 g.",,,,,
"@RwandaHealth ivuga ko nubwo turi mu cyumweru cyo kwibuka Jenoside yakorewe Abatutsi, ibikorwa byo gufata urukingo rwa #COVID19  doze ya 2 ku bikingije urukingo rwa pfizer ku bagomba kurufata bitahagaze. 

Kurikira amakuru live https://t.co/ZXQfMECbwj",,,,,
"@NrBhyh A ah.. Aritu akak tanya Dr pantai, diorang ada attach jugak dekat dewan lah.. Dia kata senarai nama kkm yg decide.. Vaccine pon percuma jugak..   Yup, sini pon bagi pfizer jugak.. Sinovac untuk fasa 2 diorang bagi dekat sokongan klinikal mcm medivest semua tu.",,,,,
@cikfarah90 wauuu ye ke..baru tahu ni.glad! tp fasa 2 yg comorbid sini bg pfizer.. sinovac byk sgt contraindication kan 😐,,,,,
"Satu faktor aku perasan dkt Malaysia, cara depa nak elak kena detect &amp; suspend by Fb, antivaks sini spin/sengaja misspelled words.
Covid = Kobid
Vaksin = Bekcin
Pfizer = Faizurr. 
So sebenarnya ada tujuan depa buat² misspell word ni. Kita yang baca pun tambah extra sakit mata 😠 https://t.co/O7AFV41NY4",,,,,
"@daydaydonat udah, tadi lagi chat sama temenku orang sana.. dia bilang belom bisa pake pfizer gara2 yang musti dingin banget tempat simpennya hahahaha",,,,,
"@pakne_salman Astra Zanecca sudah disertifikasi WHO, terbukti banyak dihentikan di beberapa negara dan banyak masalah, demikian jg Pfizer. Mank artinya dpt sertifikat WHO sdh dijamin? 😂.
Yg perlu diperhatikan tidak ada satupun vaksin covid yg diapprove FDA.",,,,,
"Ubah Kebijakan Besar-besaran, Australia Putuskan Beli 20 Juta Vaksin Pfizer Tambahan https://t.co/6byZwxOD2Y https://t.co/Mat4pWdYXD",,,,,
Ragam Hoaks yang Catut Nama Pfizer: Vaksin Covid-19 Berbentuk Vape Hingga Dijual Online https://t.co/nkaq1p0X4v,,,,,
"🧪 Vaccines used globally

Pfizer/BioNTech:
🇦🇱 AL 🇦🇩 AD 🇦🇪 AE 🇦🇺 AU 🇦🇹 AT 🇧🇪 BE 🇧🇬 BG 🇧🇭 BH 🇧🇲 BM 🇨🇦 CA 🇨🇭 CH 🇨🇱 CL 🇨🇴 CO 🇨🇷 CR 🇰🇾 KY 🇨🇾 CY 🇨🇿 CZ 🇩🇪 DE 🇩🇰 DK 🇪🇨 EC 🇪🇸 ES 🇪🇪 EE 🇫🇮 FI 🇫🇷 FR 🇫🇴 FO 🇬🇧 GB 🇬🇬 GG 🇬🇮 GI 🇬🇷 GR 🇬🇱 GL 🇭🇰 HK 🇭🇷 HR 🇭🇺 HU 🇮🇲 IM 🇮🇪 IE 🇮🇸 IS",,,,,
"Tidak mengejutkan, tapi tetap bikin kecewa: ambisi besar Jokowi soal vaksinasi terancam nyata tidak tercapai.

Ini karena suplai vaksin di dunia masih langka, akibat proteksionisme. Dan untuk vaksin Pfizer, ternyata memang masih belum ada deal.
https://t.co/7kZaGNDipB",,,,,
@Fadli_Pae On terus. Tunggu Pfizer je ni.,,,,,
@PutraErlangga_ Udah Bener emank nunggu Pfizer/Moderna az...,,,,,
@doctorrichabjp Sirf pata bahi lakka yakin hai. Vaccine distribution ke time pe hi pata chal gaya tha yeh hone wala hai. Looser Pfizer ne mota khilaya hai.,,,,,
"Barusan melintas di TL ada yg nanya kalo udah divaksin sinovac trus bisa gak divaksin lg sm yg pfizer or else, krn ada berita soal efikasi sinovac yg rendah. 

Eh malih, maruk amat. Masih byk yg belom kevaksin kali, nikmatin aja dulu udah itu vaksin sinovac di badan lau.",,,,,
"Hanya vaksin Pfizer, AstraZeneca, J&amp;J yg sdh disertifikasi WHO. Yang sudah mendapat vaksin Sinovac saja sudah termasuk beruntung. Semoga para calon jamaah pada sabar &amp; tawakal. https://t.co/32gC3JHzDj",,,,,
"Konobaru, Pfizer, makijato https://t.co/BZp7GRjnwB",,,,,
"Aku harap Malaysia tak teruskan lah dengan pengambilan bawak.masuk vaksin Astrazeneca tu. Banyak negara tangguh n tak nak bawak masuk buat masa ni sbb ada bnyk kes. Kalau Malaysia ambik jugak aku syak something tak kena 🤔🤔 Dahlah yg menteri, vvip dpt yg Pfizer n Sinovac yg-",,,,,
"Selain kontrak AstraZeneca dan Pfizer, Australia memesan 51 juta dosis vaksin yang sedang diujicobakan oleh raksasa farmasi AS Novavax Inc https://t.co/Y6wsaLzalC",,,,,
"Pfizer. Sebut bunyi ""fai-ze"" je. Jangan sebut ""pe-fai-ze"".",,,,,
Fokai Pfizer Vs Mumu Moderna.,,,,,
@RahulGandhi @pfizer se kitna mil rha bey tmko commission khoro?,,,,,
"Banyak nau sumbang smpi 50k,yelaa vaccine dri cina,tu yg murah lolllll Better beli vaccine Pfizer pakai duit sendiri cucuk,dri pakai vaccine import dri cina https://t.co/zZergj6qxG",,,,,
"🧪 Vaccines used globally

Pfizer/BioNTech:
🇦🇱 AL 🇦🇩 AD 🇦🇪 AE 🇦🇺 AU 🇦🇹 AT 🇧🇪 BE 🇧🇬 BG 🇧🇭 BH 🇧🇲 BM 🇨🇦 CA 🇨🇭 CH 🇨🇱 CL 🇨🇴 CO 🇨🇷 CR 🇰🇾 KY 🇨🇾 CY 🇨🇿 CZ 🇩🇪 DE 🇩🇰 DK 🇪🇨 EC 🇪🇸 ES 🇪🇪 EE 🇫🇮 FI 🇫🇷 FR 🇫🇴 FO 🇬🇧 GB 🇬🇬 GG 🇬🇮 GI 🇬🇷 GR 🇬🇱 GL 🇭🇰 HK 🇭🇷 HR 🇭🇺 HU 🇮🇲 IM 🇮🇪 IE 🇮🇸 IS",,,,,
@xysist LMAO..Sisi tuko na AZ. Huyo mama ni wa Pfizer. Wakae nayo we don keya..Hawa humans hufikiria aje lakini..,,,,,
"Kenapa ya Indonesia gak dapet-2 mau beli pfizer ?

Apa emang gak mau beli ? https://t.co/7EQbVWGow1",,,,,
@Stylepaandiii @GuruLeaks @kather133 Nan poten da yesterday pfizer adan keten. Thukame varala da lyt ah pain iruku. Thungave ila da but konjam kuda headache oh tired oh ila 🙄 🙄,,,,,
@juezulkifli Vaksin jenis apa yang YB kena suntik? Pfizer atau sinovac??,,,,,
"@MemehRahmawati Infonya, Arab Saudi cuman mengakui vaksin Pfizer &amp; Moderna... 😷",,,,,
PM Australia Morrison: Telah Mendapatkan Tambahan 20 Juta Vaksin COVID Pfizer https://t.co/y20GMDlHlQ #Australia #VirusCorona #EkonomiMakro #AUDUSD,,,,,
"Support karya anak bangsa. Tp sendirinya minta divaksin yg cem pfizer, sinovac, astrazeneca, dll. 

-tanpa mendiskreditkan vaksin lain maksudnya https://t.co/OV2tUAzD6f",,,,,
Astra zenica tu UK punya vaccine  kot. Oxford yg buat. Lagi hampa kata cap ayam. Pfizer plak US yg buat. Sejak bila yakin ngn vaccine yahudi ni,,,,,
"@BhavikaKapoor5 HAHAHAHAHAH DEKHO UK KA PASSPORT LEKE KHALISTANI AUR NAXALI SUPPIRTER ASTRAZENICA YA PFIZER KI VACCINE LAGA KE, YE FIRANGAN HUME GYAN DE RAHI HAI",,,,,
Ohh golongan kayangan pakai pfizer? Tang rakyat marhaen sinovac pulak? Tah papeeeeee,,,,,
"🧪 Vaccines used globally

Pfizer/BioNTech:
🇦🇱 AL 🇦🇩 AD 🇦🇪 AE 🇦🇺 AU 🇦🇹 AT 🇧🇪 BE 🇧🇬 BG 🇧🇭 BH 🇧🇲 BM 🇨🇦 CA 🇨🇭 CH 🇨🇱 CL 🇨🇴 CO 🇨🇷 CR 🇰🇾 KY 🇨🇾 CY 🇨🇿 CZ 🇩🇪 DE 🇩🇰 DK 🇪🇨 EC 🇪🇸 ES 🇪🇪 EE 🇫🇮 FI 🇫🇷 FR 🇫🇴 FO 🇬🇧 GB 🇬🇬 GG 🇬🇮 GI 🇬🇷 GR 🇬🇱 GL 🇭🇰 HK 🇭🇷 HR 🇭🇺 HU 🇮🇲 IM 🇮🇪 IE 🇮🇸 IS",,,,,
"@SilumanRi Vaksin buatan cina? Semua vaksin covid19 punya kadungan zat yg berbahaya apalagi Pfizer,Moderna yang otak atik DNA atau Astra Zeneca yg telah di larang di belasan negara",Tidak Percaya,,,,
@Trey_La_Suede You Pfizer papi yet or nah,,,,,
"Informasi penjualan vaksin Covid-19 Pfizer di Malaysia beredar lewat aplikasi percakapan WhatsAapp
https://t.co/yG89m6xfi3",,,,,
@aimannurbtrsy puan kata kita pfizer hehe,,,,,
hbd2me!!! #pfizer https://t.co/CbZe1PYG4K,,,,,
@EladSharonMD @KizzyPhD @NIH @moderna_tx @BioNTech_Group @pfizer Wow.. Russian disinformation.,,,,,
"Kalau bener Sinovac hanya cegah gejala, sementara yang lain (Pfizer, Moderna) terbukti bisa cegah transmisi, berarti harusnya kalau stok terbatas maka untuk Lansia prioritaskan Sinovac, yang muda prioritaskan Pfizer dll. Bener gak? cc om @ngabdul @ainunnajib",,,,,
"Bahagiak!😂😂😂 sudah 11 jam paska suntik (saya pake Pfizer-2 dosis) reaksinya hanya pegal sedikit seputar area suntik aja. Mari kita lihat perkembangannya dlm 24 jam. Sejauh ini gak ada sumeng, gak drowsy, gak laperan dan hausan. https://t.co/YCuJhfE5W8",,,,,
"Sila baca dan hadam

https://t.co/UETNOwyEqA",,,,,
"@jaclostermann mouaih ... 

https://t.co/V4kgGwFlcr",,,,,
@issamystery420 Aye pfizer gang haha,,,,,
"🧪 Vaccines used globally

Pfizer/BioNTech:
🇦🇱 AL 🇦🇩 AD 🇦🇪 AE 🇦🇺 AU 🇦🇹 AT 🇧🇪 BE 🇧🇬 BG 🇧🇭 BH 🇧🇲 BM 🇨🇦 CA 🇨🇭 CH 🇨🇱 CL 🇨🇴 CO 🇨🇷 CR 🇰🇾 KY 🇨🇾 CY 🇨🇿 CZ 🇩🇪 DE 🇩🇰 DK 🇪🇨 EC 🇪🇸 ES 🇪🇪 EE 🇫🇮 FI 🇫🇷 FR 🇫🇴 FO 🇬🇧 GB 🇬🇬 GG 🇬🇮 GI 🇬🇷 GR 🇬🇱 GL 🇭🇰 HK 🇭🇷 HR 🇭🇺 HU 🇮🇲 IM 🇮🇪 IE 🇮🇸 IS",,,,,
#Pfizer data https://t.co/gGzcqkxvBT,,,,,
Mu dai zamu jira Pfizer 😃 https://t.co/SLCED3l55j,,,,,
Y con la Pfizer Pah 😎,,,,,
@adrienne_haddad https://t.co/ys1ONnrxHr info drop,,,,,
