Tweet,Nilai
"Mereka adlaah MAFIA korupsi pengadaan VAKSIN MAUT (yg disamarkan sebagai 'vaksin nusantara', padahal buatan Amerika dan bagian dari mafia vaksin Internasional yg wajib diburu Interpol juga), namun MEREKA FITNAH BPOM sebagai mafianya!",Tidak Percaya
"@hmpetrus INDONESIA MASIH BERSAHABAT DENGAN PENJAHAT / MAFIA VAKSIN.
@jokowi @mohmahfudmd WASPADA DAN BERTINDAKLAH.
JANGAN BERSAHABAT DENGAN ULAR https://t.co/i4l07Sx6K0",Tidak Percaya
"@tendobakso Jadi manusia tuh bisa jadi setengah vampir, trus organisasi si 'vampir titan' nih (anggap aja kek mafia gt, bisa mempengaruhi pemerintah jg soalnya) ngembangin obat/vaksin biar manusia ga terinfeksi dan jadi vampir jg kalau diberikan secara rutin

-con",
"@CNNIndonesia itu kan yg ketauan.

jatah buat pramuka phuket selatan aja dijualin borongan ke company2 swasta buat vaksin staf2-nya kok.

malah disuruh datang langsung suntik ke rumkit pramuka.. 🤭🤭

di phuket selatan apa sih yg gak di mafia in... gotham-nya Thailand gitu loh.

hehe.. 😅 https://t.co/UZY5SHQbvL https://t.co/VWWkKWLUt3",
"Mungkin kalau cuman pecat terlalu ringan… cabut SIP aja sekalian..

Biar ga pada jadi mafia pandemi yang mengakibatkan kepercayaan masyarakat menurun

Mencoreng nakes
@blogdokter @ProfesorZubairi @afrkml 

https://t.co/xW7VnJFm3B https://t.co/5rkQgFJ4c0",
"Anggaran Covid-19 Rp130 Triliun, Kader PDIP Sebut Ada Mafia Vaksin di Lingkar Kekuasaan https://t.co/hIB0TlFOQ3 #beritajogja #jogja #jogjaistimewa https://t.co/Jt6d7vtgeb",Tidak Percaya
Kader PDIP: Eks Menkes Terawan Disingkirkan Mafia Vaksin Covid-19 https://t.co/HauzcgwtbO #beritajogja #jogja #jogjaistimewa https://t.co/i7zHjin4bB,Tidak Percaya
Seratus persen mafia pengadaan vaksin maut secara paksa: https://t.co/b8hx32bl22,Tidak Percaya
Polri wajib bekerjasama dengan interpol dan bertukar informasi dengan mereka seputar mafia vaksin maut Terawan ini.,Tidak Percaya
"Kenapa?

Karena buatan Amerika, palsu, dan berbahaya, serta dilakuak  secara terorganisir!

Jelas2 termasuk mafia vaksin internasional, sehingga wajib ikut diburu Interpol juga!",Tidak Percaya
"Vaksin maut Terawan (yg diendorse mafia korupsi yakni DPR-Oligarki, Aburizal Bakrie, Gatot, dll) adalah bagian dari mafia vaksin Internasional yg diburu Interpol:

https://t.co/sIheHkYdSB",Tidak Percaya
"Anggaran Covid-19 Rp130 Triliun, Kader PDIP: Ada Mafia Vaksin di Lingkar Kekuasaan https://t.co/nhbufRnPqY",Tidak Percaya
"Politikus PDIP Effendi Simbolon membeberkan, bahwa  pencalonan eks Menteri Kesehatan Terawan Agus Putranto sebagai Duta Besar (Dubes) Indonesia untuk Spanyol didorong oleh sindikat mafia vaksin dan alat-alat kesehatan Covid-19.
https://t.co/LRYpPVh7Qb https://t.co/PsDNx7rXUU",Tidak Percaya
"Anggaran Covid-19 Tembus Rp130,03 Triliun, Politisi PDIP: Ada Mafia Vaksin di Lingkar Kekuasaan https://t.co/qRP0wjb6OU",Tidak Percaya
Kacau stlh mafia daur ulang swab antigen skrg Sumut kembali nongol mafia Vaksin. #MafiaInTheMorning https://t.co/rklfA4Z72E,
"Jadi jelas sejauh ini  MAFIA VAKSIN MAUT (yg TERAWAN MENJADI FIGUREHEADNYA) ini memiliki modus operandi:
- DEMI UANG
- MEMFITNAH BPOM (fitnah seakan BPOM halangi vaksinasi dan ada mafia, padahal MEREKALAH MAFIANYA!)",Tidak Percaya
"Mereka BAYAR IMANUEL CAHYADI DAN DPP GMNI UNTUK FITNAH BPOM, SEAKAN ADA MAFIA DI BPOM HAMBAT VAKSINASI, PADAHAL VAKSIN MAUT ITULAH MAFIANYA!

INI BUKTI BAYAR IMANUEL CAHYADI UNTUK FITNAH BPOM:

https://t.co/46DPdbhlDO",Tidak Percaya
Kader PDIP Sebut Eks Menkes Terawan Disingkirkan Mafia Vaksin Covid-19 https://t.co/OR9flxXgV6,Tidak Percaya
"Tuding Mafia Vaksin, Effendi Simbolon Bongkar di Balik Terawan Mundur dari Calon Dubes Spanyol https://t.co/JLEKZCwZgO",
"@republikaonline Wabah Covid-19 benar² membawa berkah dan nikmat bagi mafia kesehatan, gotong royong memakmurkan mafia bisnis vaksin....",Tidak Percaya
"@VIVAcoid @safirasafifra Jgn masuk berita,, ntar mafia vaksin marah""",Tidak Percaya
