Tweet,Nilai
"@Trikus2012 @BangPitung_AJW @fancyaskingmet1 @darakasiwi @Wedhus999 @manuskele Astaga, masih aja permasalahkan soal istilah safety/devensif, yg intinya sama2 butuh WAKTU. 

Kau tak mau jawab Butuh berapa lama DEVENSIVE RIDING vs FUCKSIN COVID?",
"@Trikus2012 @fancyaskingmet1 @darakasiwi @Wedhus999 @manuskele @BangPitung_AJW Iya, butuh waktu berapa tahun? Bandingkan dengan PEMAKSAAN Fucksin kau itu.",Tidak Percaya
"@Trikus2012 @saveindonesia20 @fancyaskingmet1 @Wedhus999 @manuskele @BangPitung_AJW Udah dikasitau oleh Epidemolog, ilmuwan juga, namun tetap ngeyel kan pengasong Fucksin bajingan? https://t.co/kp6JfQoolp",Tidak Percaya
"@Trikus2012 @fancyaskingmet1 @darakasiwi @Wedhus999 @manuskele @BangPitung_AJW Ini nih medis yg pandai twisting dan ngeles.. makanya gak pernah ada sejarahnya Medis/farmasi Minta Maaf atas kesalahan vaksin. Obat maag itu gabungan dari beberapa unsur, bukan hanya Al doang. 

Back to laptop, Yg lagi difokuskan itu adl bajingan Fucksin Covid yg kau lindungi.",Tidak Percaya
"@drpriono1 @aniesbaswedan @ArizaPatria @dinkesJKT Ya!. Perlu Aksi! 👍
Protokol Kewarasan 5M kita adlh:
1. Membakar masker.
2. Menolak fucksin.
3. Mematikan TV (berita² dari media² arus utama).
4. Menjabat tangan dan/atau memeluk dg kasih sayang orang² yg kita kenal.
5. Menyuarakan obyektifitas Covid bhw Covid itu jancuk!.",Tidak Percaya
salah jadwal fucksin. zzzz smh,Tidak Percaya
Aku abis fucksin,Tidak Percaya
"@darakasiwi @Trikus2012 @fancyaskingmet1 @Wedhus999 @manuskele @BangPitung_AJW Apa betul begitu wahai Trikus? 
Saya pun orang science dan teknik, namun utk banyak hal saya kira harus kritis jika ada kejanggalan. Salah satunya Fucksin Covid ini",Tidak Percaya
@Trikus2012 @dhemitKali @BangPitung_AJW @fancyaskingmet1 @Wedhus999 @manuskele Kalo Vaksin Polio dianggap benar klaim dari kalian bahwa itu bisa membuat hati 'bebas polio'. Lalu kenapa Fucksin Covid tidak bisa membuat jaminan yg sama ('bebas covid')? Malah banyak disclaimernya sebagai tameng.,Tidak Percaya
@haji_biden @Andiarief__ Fucksin mandiri ini dipaksa ga ya,Tidak Percaya
"@fancyaskingmet1 @Trikus2012 @darakasiwi @Wedhus999 @manuskele @BangPitung_AJW Itulah blunder dan membingungkannya para Sales Vaksin.. Disatu sisi bilang 'harus' fucksin, disisi lain bilang bahwa fucksin itu gak bikin kebal.

Lalu manfaatnya apa bambang?? Bikin bandar fucksin kaya raya?",Tidak Percaya
"@Trikus2012 @fancyaskingmet1 @dhemitKali @BangPitung_AJW @Wedhus999 @manuskele Tanpa ada kritisi darimu?
Apakah Faktor penentu 'kegemilangan' itu hanya dari Fucksin? Bukan dari faktor tubuh si pasien dalam mengatasi virusnya? 
Apakah anak2 yg meninggal/lumpuh/dll itu gak dihitung sebagai 'keberhasilan' fucksin juga?",Tidak Percaya
"@Trikus2012 @BangPitung_AJW @dhemitKali @fancyaskingmet1 @Wedhus999 @manuskele Nah ini contoh bagus lagi,

Para pengasong Fucksin ini sll mbanggakan sukses mengatasi penyakit (katanya) karena Fucksin. Namun, ketika anak2 yg divaksin Polio, DPT, tsb mengalami kefatalan/kelumpuhan dsb, apakah pernah mengakui itu efek dari Fucksin tersebut? Tidak. Denial.",Tidak Percaya
"@fancyaskingmet1 @Trikus2012 @dhemitKali @Wedhus999 @manuskele @BangPitung_AJW Kalo Efek Samping dari MEDIS dia langsung YAKIN dan PERCAYA aja sis, yg penting 'janji surga' dari Fucksin bisa diperoleh (akan kebal virus, bla bla bla).. dibandingkan EFEK SAMPING dari Non-Medis, mereka Auto Reject.. 😅😅",Tidak Percaya
@darakasiwi @Trikus2012 @fancyaskingmet1 @Wedhus999 @manuskele @BangPitung_AJW Bandar Fucksin sedang menikmati PANEN CUAN nya.. sementara Salesnya disini masih berjuang jualan melalui promo lewat pemerintah (yg telah lalai itu)..,Tidak Percaya
"@Trikus2012 @fancyaskingmet1 @dhemitKali @Wedhus999 @manuskele @BangPitung_AJW Ini contoh bagus, 
butuh waktu sekian lama utk membuat obat sakit kepala yg minim efek samping..

Bandingkan dengan Fucksin yg cuma dikebut hanya beberapa bulan saja..",Tidak Percaya
"@Trikus2012 @fancyaskingmet1 @dhemitKali @Wedhus999 @manuskele @BangPitung_AJW Ah masa? Buktinya percaya aja tuh Fucksin Covid dibuat dalam beberapa bulan doang. Mengabaikan pakem riset ilmiah yg butuh pembuktian dan waktu panjang. Contohnya, Fucksin Meningitis, butuh berapa tahun?

Dipercepat, untuk tujuan apa? PANEN duid?",Tidak Percaya
Tipu tipu broker fucksin buat gaduh guna ambil untung banyak banyak bahhhhh,Tidak Percaya
"Efek fucksin yang aing rasain pegel setengah badan yg belah Kiri
Apalagi bagian lengan",Tidak Percaya
@detikcom kan doi duta kopet n duta fucksin. Bebassss!,Tidak Percaya
"@zarazettirazr fucksin gotong royong emg hsl minta2 ke perusahaan, spy bayarin fucksinnya. Samalah kyk bpjs. Mau dibikin smua yg masuk prusahaan syaratnya dienjus fucksin. no wonderlah ekonomi meroket 7%. Karna jualan fucksinnya laku, bukan karna rakyatnya sehat😅",Tidak Percaya
"Sumpaa aku tackut fucksin 😭
Alasan apa yg worth it .. please help 😭
Apa aku harus hamil juga biar ga di fucksin? 🥺 https://t.co/sCPoXcDMZ0",Tidak Percaya
Antri mau di fucksin 😅,Tidak Percaya
@_Banyoe Masih ngeles katanya jutaan yg di fucksin baik2 aja,Tidak Percaya
Bu guru sudah fucksin https://t.co/3HwvnnUMK8,
"@SKYs_isGood @Rainbow6Game nanti,aku abis fucksin lemes jdnya",Tidak Percaya
"@HitsIndonesia_ @rudeski83 @anakpapua_ @FriskaDavina @Yuyunmaria3 @azis_prt @NesyaZhafira @IkonPapua Emang kamu paham apa tentang ilmu vaksin ??
 
Dibayar berapa sih jadi DOMBA penyembah FUCKSIN?",Tidak Percaya
"Kapan ada ""junta"" Indonesia yg kerahkan warganya untuk ""menolak"" fucksin?. 🤬 https://t.co/PPY3LmbusG",
"kopit survival 99%
”Itu 1% juga nyawa“
meninggal krn fucksin 1%
”Ya 1% dibanding 99% juga dikit kok yg meninggal“

Emang dasar niatnya mau jualan obat kok. Masih percaya kopit seberbahaya itu?",Tidak Percaya
@EroSennin3435 Pasti mau di Fucksin,
"@saveindonesia20 Vaksinasi Covid memang di-design untuk ""memperpanjang scamdemic"" mjd banyak gelombang!.
Gelombang si penerima fucksin akan optimum nanti pada 2-3 thn mendatang.
Selamat .... babak belur!.",Tidak Percaya
"@fancyaskingmet1 @Trikus2012 @manuskele @Wedhus999 @BangPitung_AJW Debat Ini pula yg terjadi pada saya dan sodara saya yg dokter.. mirip2 argumentasinya dengan Buzzerp medis diatas. 😅.

Maklumlah sekolah puluhan tahun di kedokteran, 'cuci otak' dari medisnya udah berhasil. 

Tapi kemakan sendiri omongannya ttg riset Fucksin Covid yg prematur.",Tidak Percaya
apa lg yg lebih cringe dari org yg ngeplesetin vaksin jd fucksin,
"Kemungkinan media akan diramaikan dengan update covid kembali. Entah apa maksudnya. Yg jelas percaya kepada Tuhan obat yg paling ampuh. Bukan fucksin impor, tapi gunakan vaksin Nusantara yg jelas"" Lokal.",
"Sekedar mengingatkan, perjalanan menuju kubur tak pernah libur.

Jangan mudah tertipu dengan Fucksin karena syarat mati tak mengenal usia muda ataupun menunggu tua. https://t.co/3iFuRnD5We",Tidak Percaya
"@fancyaskingmet1 Seandainya Fucksin menyebabkan kematian, Mereka masih pakai, Gila kan😂

Sementara orang² tnp Fucksin bisa hidup normal.",Tidak Percaya
@nic04722 @rahmargha @dr_koko28 Kalau ga di fucksin komorbidnya enjoy aja dong berarti.,Tidak Percaya
Serem nih lebih menular dan kenal fucksin mesti pake masker rangkap 10 biar gk tembus 😂🥱 https://t.co/bfjpcEkqdc,Tidak Percaya
"@__H5h_Aina___ Nahh..klo gitu jenengan saya pollow, satu pikiran soal fucksin sama eike soalnya.",
"@__H5h_Aina___ Alhamdulillah sampai sekarang jika ada yg nanya..  Kok gak fucksin,  jawabnya gak mau,  mending suntik Vitamin C dosis tinggi drpd fucksin.. 😂",Tidak Percaya
"@dimasnino @arifbsantoso lanjutkan saja pake AZ, tp berdoa saja semoga itu bukan fucksin untuk terakhir kalinya dalam hidupmu 😁",Tidak Percaya
@Alva47831808 @fancyaskingmet1 lu perhatikan bener2 gak jokowi disuntik fucksin??,Tidak Percaya
"@TimpalBali Ibi"" pamer fucksin jani paling be ade berita kene wkwk",
"@intanipk2 @dr_koko28 Dosanya dipikul bareng ya..

Klo mati alesannya udh tuir, 
Bkn sebab fucksin https://t.co/WFJw56Qwqi",Tidak Percaya
@luthfi_jm jgn lupa undang influENCER agar fucksin tsbt ampuh menangkal kopit,Tidak Percaya
"oiya selain demo buat no masker no lockdown dan no fucksin, negara2 maju diluar sana juga demo buat palestine, berikut sumbernya https://t.co/cYr28ERDDM https://t.co/PnuDIrA6fN",
@diitipuu makanya banyak bgt tuh sales2 fucksin biar org2 pada mau di suntik aahh,Tidak Percaya
"@luthfi_jm di no 62 fucksin udh dipesan dgn ngeluarin cuan ga sdikit, jdilah kopit di no 62 ini dijdikan bisnis agar fukcsin yg udh dipesan tsbt bs terjual spya modal balik.. alih2 dpt untung gede sampe2 alat tes bekas msih dipake ulang. no 62 ini gajelas emang",Tidak Percaya
"Dampak FuckSin Covid pada angka kematian.

Kesimpulan:
FuckSin memang ""memperpanjang scamdemi Covid""!.

👇
https://t.co/NFXtGPY3K4",Tidak Percaya
"kalian tau ga kalo negara2 maju diluar sana udah pada demo buat no masker, no lockdown dan no fucksin? nanya aja nih, kalo tau jawab kalo gatau ya diem2 aja",Tidak Percaya
"@e100ss Kamu ikut tanggung jawAb mind, tiap hari ngomongin copid.. warga akhirnya tertarik FUCKSIN....",
"Penggunaan Injeksi makin kesini makin menemui banyak masalah

Kelumpuhan dan kematian. 
#AstraZenaca Fucksin  https://t.co/DoGwOGrQhT",Tidak Percaya
"@rokandt Semua anak sekolah mau di inject fucksin sebelum sekolah, memang sudah gilaaa!!!",Tidak Percaya
@ganafmargi @nic04722 @NeiRaham Dukun BG prediksi lagi bakal Ada Pandemi lanjutan Dan fucksin terus menerus sampe sini gk mudeng juga?wasalam deh 😂😂 https://t.co/at9DTBKbqy,
@ganafmargi @nic04722 @NeiRaham Ini Salah satunya Penjual fucksin https://t.co/NTcfg4nRuN,Tidak Percaya
"Silakan fucksin
Silakan taat prokontol
Silakan percayai alat PiCiaR, SW4b, RePIDTES, ANTIngen, genoseDA dll

Semoga aing dan kaum yg serupa selama ini keliru

Kayanya ini bakal jd last post soal TRUTH n HUMANITY dr aing.
Soalnya ga laku😆 Lies dan bahan hujatan lebih memikat sih https://t.co/Xt2c7zTpCJ",Tidak Percaya
"@NinjaCir3ng @P3nj3l4j4h_id @RiuRizkiUtomo_ @kutang_bolong @ini_d00m @03__nakula Cobak liat si ibuk dokter fucksin palsu.

Masih juga ajak² orang utk percaya sama ACT nya si UBN?! jelas2 itu lembaga yg  pernah ngentit donasi atasnamakan rakyat suriah, eh larinya ke pemberontak terafiliasi dg ISIS!!

Akankah modus sama dipake utk palestina??

Asu tenan 😡 https://t.co/kIQpZuQkNb",Tidak Percaya
"👮: ""penuh begitu kok tetep berwisata? Emang nggak takut koronce?""
💃🕺 : ""Kan udah di fucksin"" https://t.co/GxcZ3VCTFA",
...sebenarnya ini fucksin untuk diperjual-belikan atau termasuk yang gratis diberikan ke masyarakat?...🤔🤔 https://t.co/20ZaTkn9XJ,Tidak Percaya
wkwk masa kalau udah positif dan sembuh harus di fucksin lagi sihh males bangett,Tidak Percaya
Ini fucksin bang. https://t.co/2wa6VqahqN,Tidak Percaya
