Tweet,Nilai
emang banyak yg lagi nunggu vaksin nusantara ya?,Tidak Percaya
"@churchbackyard itu kayaknya vaksin nusantara, mas. vaksin merah putih merujuk ke sekelompok vaksin yg dikembangin brin menggandeng sejumlah lembaga riset dan universitas.",
"Karya Anak Bangsa, Ketua DPD RI Dukung Vaksin Nusantara https://t.co/o18Y4ZkeTW #DPDRI #VaksinNusantara #berita #nusabali #COVID19",Percaya
"Usai Ical &amp; Gatot, Ada Dahlan Iskan Ikut Uji Vaksin Nusantara News - CNBC Indonesia https://t.co/IavajqISlj",
"Ketua DPD RI, AA LaNyalla Mahmud Mattalitti, mendukung vaksin Nusantara yang diinisiasi oleh Mantan Menteri Kesehatan, Terawan Agus Putranto.

https://t.co/iVEp0HmDTx",Percaya
"Beri Dukungan ke Terawan, Ketua DPD RI Lakukan Suntik Vaksin Nusantara https://t.co/B8ktrYXfzc",Percaya
@rajapeanutbuter Vaksin nusantara apakabar? 😆😆😆,
@Dahnilanzar @KemhanRI saya dukung vaksin nusantara,Percaya
"@Zieits_me Vaksin Nusantara aja deh. 
😊",Percaya
@LaNyallaMM1 Kita juga mendukung anda jadi orang  pertama yang di vaksin Nusantara.,
"Ada yang ngomong dukung vaksin nusantara,ada yang ngomong klw maksa mudik pake dokumen palsu akan dipidanakan,,,tapi bagai mana dengan yang ini?,ngomong apapun percuma,klw perlakuan gk sama

2.090 Orang Positif Corona Masuk RI Bawa Dokumen Negatif COVID-19 https://t.co/Rgg3pjF15Z",
"@LaNyallaMM1 Mau vaksin nusantara,mau vaksin nosontoro,percuma pak Bro klw aseng china masuk terus datang ke indonesia,,penerbangan wuhan-indonesia kok dibuka,katanya mau steril dari corona..lieur cuy..",Tidak Percaya
"Dukung Karya Anak Bangsa, Ketua DPD RI Ikut Suntik Vaksin Nusantara https://t.co/s5seMY6fYH",Percaya
Ketua DPD RI Lakukan Suntik Vaksin Nusantara https://t.co/g3cyPbnCQ6,Percaya
"Lanyalla Ketua @DPDRI mendukung Vaksin Nusantara Karya Anak Bangsa 

@fahiraidris
@Lisaamartatara4
@MrSmile80986555
@armuchsin
@Mr_cosanostr
@TogarNero1
@Dayat42097065

https://t.co/uyfmFO6TF4",Percaya
"Ketua DPD RI Lakukan Suntik Vaksin Nusantara di Jakarta: News Satu, Jakarta, Rabu 5 Mei 2021- Ketua DPD RI, AA LaNyalla Mahmud Mattalitti, mendukung vaksin Nusantara yang diinisiasi oleh Mantan Menteri The post Ketua DPD RI Lakukan Suntik Vaksin… https://t.co/OAafLepjnG https://t.co/RZB8jjA3jp",Percaya
"Ketua DPD RI Lakukan Suntik Vaksin Nusantara di Jakarta: News Satu, Jakarta, Rabu 5 Mei 2021- Ketua DPD RI, AA LaNyalla Mahmud Mattalitti, mendukung vaksin Nusantara yang diinisiasi oleh Mantan Menteri The post Ketua DPD RI Lakukan Suntik Vaksin… https://t.co/TktmLarPyk https://t.co/ypn1sWlOJ0",Percaya
"Ketua DPD RI Lakukan Suntik Vaksin Nusantara di Jakarta: News Satu, Jakarta, Rabu 5 Mei 2021- Ketua DPD RI, AA LaNyalla Mahmud Mattalitti, mendukung vaksin Nusantara yang diinisiasi oleh Mantan Menteri The post Ketua DPD RI Lakukan Suntik Vaksin… https://t.co/ypvcg4gQyi https://t.co/ezZPcETbho",Percaya
"Ketua DPD RI Lakukan Suntik Vaksin Nusantara di Jakarta: News Satu, Jakarta, Rabu 5 Mei 2021- Ketua DPD RI, AA LaNyalla Mahmud Mattalitti, mendukung vaksin Nusantara yang diinisiasi oleh Mantan Menteri The post Ketua DPD RI Lakukan Suntik Vaksin… https://t.co/Dj0dKbQe8W https://t.co/OyNO21GwML",Percaya
Ketua DPD RI Disuntik Vaksin Nusantara https://t.co/2fkURwIFre,Percaya
"Diskusi ini bertujuan untuk membahas lebih lanjut masalah utama di balik polemik vaksin buatan bangsa, Vaksin Nusantara, dengan harapan dapat meluruskan persepsi yang masih salah mengenai vaksin kontroversial ini.",
"Pada tanggal 26 April 2021, BEM IKM FKUI 2021 berkolaborasi dengan BEM UI 2021 telah mengadakan Diskusi Publik dengan tema “Menguak Problematika Vaksin Nusantara”. https://t.co/SVKX9JCyxD",
RILIS PERS DISKUSI PUBLIK: MENGUAK PROBLEMATIKA VAKSIN NUSANTARA https://t.co/pW8GtPk1Wf,
Ketua DPD RI Disuntik Vaksin Nusantara https://t.co/mr3sAvqhML,Percaya
"Diskusi ini bertujuan untuk membahas lebih lanjut masalah utama di balik polemik vaksin buatan bangsa, Vaksin Nusantara, dengan harapan dapat meluruskan persepsi yang masih salah mengenai vaksin kontroversial ini. Diskusi publik ini diadakan melalui media Zoom dan disiarkan— https://t.co/NukTZE5eLX",
"[RILIS PERS DISKUSI PUBLIK: MENGUAK PROBLEMATIKA VAKSIN NUSANTARA]⁣
⁣
Halo, FKM!⁣
⁣
Pada tanggal 26 April 2021, BEM IKM FKUI 2021 berkolaborasi dengan BEM UI 2021 telah mengadakan Diskusi Publik dengan tema “Menguak Problematika Vaksin Nusantara”.⁣ https://t.co/YjatB8KxKz",
Ketua DPD RI Lakukan Suntik Vaksin Nusantara https://t.co/cQzZ8vyO1P,Percaya
Ketua DPD RI Lakukan Suntik Vaksin Nusantara   https://t.co/f0ui0hg77Z,Percaya
"LaNyalla membuktikan dukungannya dengan melakukan suntik Vaksin Nusantara di Gedung Cellcure Centre, RSPAD Gatot Soebroto 

@LaNyallaMM1
@DPDRI
#LaNyalla #LaNyallaAcademia 

https://t.co/OKp7NnNJYd",Percaya
"LaNyalla membuktikan dukungannya dengan melakukan suntik Vaksin Nusantara di Gedung Cellcure Centre, RSPAD Gatot Soebroto 

@LaNyallaMM1
@DPDRI
#LaNyalla #LaNyallaAcademia 

https://t.co/o8bNeD1Bjj https://t.co/3MHJV5ttjP",Percaya
"LaNyalla membuktikan dukungannya dengan melakukan suntik Vaksin Nusantara di Gedung Cellcure Centre, RSPAD Gatot Soebroto 

@LaNyallaMM1
@DPDRI
#LaNyalla #LaNyallaAcademia 

https://t.co/YIiKDAnYHz https://t.co/KSUFkGkZBo",Percaya
"LaNyalla membuktikan dukungannya dengan melakukan suntik Vaksin Nusantara di Gedung Cellcure Centre, RSPAD Gatot Soebroto 

@LaNyallaMM1
@DPDRI
#LaNyalla #LaNyallaAcademia 

https://t.co/zCOKjtHPuH https://t.co/6plOYpB0gl",Percaya
"LaNyalla membuktikan dukungannya dengan melakukan suntik Vaksin Nusantara di Gedung Cellcure Centre, RSPAD Gatot Soebroto 

@LaNyallaMM1
@DPDRI
#LaNyalla #LaNyallaAcademia 

https://t.co/3LGoMQjqik https://t.co/rA0q6IJ4B8",Percaya
"Ketua DPD RI memberi dukungan untuk Vaksin Nusantara

Kabar Senator
https://t.co/5MgTQwquPC

#Lanyalla #ketuadpdri #dpdri #surabaya #jawatimur #vaksinnusantara #lanyallaforpresiden2024 #daridaerahuntukindonesia #lanyalladanbudaya #LaNyallaAcademia #NyallakanIndonesia https://t.co/VHsyQPndCM",Percaya
"@LaNyallaMM1 VAKSIN BUATAN NUSANTRA
KAYAK ISLAM NUSANTARA..
HARAM JADI HALAL....
WAJIB JADI SUNAH...
KORUPSI ITU REJEKI LAIN
.",Tidak Percaya
Ketua DPD Dorong Vaksin Nusantara Tak Hanya Digunakan di Nasional Tapi Selamatkan Dunia https://t.co/mcmJ565gXV,Percaya
"@null Disuntik Vaksin Nusantara, Ketua DPD RI: Hasil Karya Anak Bangsa Harus Didukung   https://t.co/VBMdt5p85l",Percaya
"Ketua DPD RI Lakukan Suntik Vaksin Nusantara - #INDONESIA

https://t.co/DrGRJaOhyK",Percaya
Ketua DPD Disuntik Vaksin Nusantara: Vaksin Nusantara dikerjakan bersama tim peneliti di laboratorium RSUP Kariadi Semarang dan Universitas Diponegoro (Undip) serta Aivita Biomedical Corporation dari Amerika Serikat. https://t.co/aNAZnwMTRX,
"Ketua DPD RI Lakukan Suntik Vaksin Nusantara // @DPDRI @LaNyallaMM1 @SylvianaMurni3 @KemenkesRI @catatanterawan @LaNyallanews @lanyalla_update @Info_DPDRI
https://t.co/DxUVB3GCT0",Percaya
"Masih berlanjut Vaksin Nusantara, luar biasa pak dr. Terawan meski terus dihambat https://t.co/uZ1SvENTRa",
Ketua DPD RI AA LaNyalla Mahmud Mattalitti mendukung Vaksin Nusantara yang diinisiasi mantan Menkes Terawan Agus Putranto. LaNyalla juga menjalani penyuntikan Vaksin Nusantara tersebut. #VaksinNusantara https://t.co/BU39zu0n87,Percaya
Dukung Karya Anak Bangsa LaNyalla Suntik Vaksin Nusantara https://t.co/aRocTm1p3g,Percaya
"Ketua DPD RI Lakukan Suntik Vaksin Nusantara

Selengkapnya https://t.co/2KK6psbJjR

https://t.co/0WbQzQw6kz

https://t.co/Gy1ywBLAho

#dpdri #kabarsenator https://t.co/Z7AZxSIFAd",Percaya
Ketua DPD RI LaNyalla Lakukan Suntik Vaksin Nusantara Sebagai Tanda Dukungan https://t.co/Sutss6Vmzo,Percaya
"Nyoh, ada kasus langka yg menyebabkan kematian dengan vaksin dari UK-AstraZeneca.
Semoga vaksin Nusantara bisa menjadi salah satu vaksin yang bisa membantu menekan penularan covid-19 tanpa menyebabkan efek gejala2 fatal https://t.co/s270P20R0q",Percaya
"Selain saya, ada beberapa anggota DPD, anggota DPR dan banyak elemen masyarakat lainnya juga divaksin Nusantara. Harapannya semua masyarakat mendukung sehingga nanti vaksin ini ikut serta membantu menyelamatkan nyawa manusia yang terkena Covid-19,"" https://t.co/oRKaQOKGox",Percaya
"""Hasil karya anak bangsa harus didukung secara penuh. Kita apresiasi sekali upaya produksi Vaksin Nusantara ini sebagai langkah dalam ikut serta mengatasi pandemi agar segera berakhir,"" https://t.co/FmTjAR1TBX",Percaya
"Sebagai bentuk nyata dukungan, Rabu (5/5/2021),sy melakukan suntik Vaksin Nusantara di Gedung Cellcure Centre, RSPAD Gatot Soebroto. https://t.co/bveH4ymine",Percaya
"Saya mendukung vaksin Nusantara yang diinisiasi oleh Mantan Menteri Kesehatan, Terawan Agus Putranto.Saya berharap vaksin ini bisa membantu pemerintah dalam memutus penyebaran pandemi Covid-19.",Percaya
"Vaksin Nusantara dikerjakan bersama tim peneliti di laboratorium RSUP Kariadi Semarang dan Universitas Diponegoro (Undip) serta Aivita Biomedical Corporation dari Amerika Serikat.(*)

#LaNyalla #LaNyallaAcademia",
"Diketahui proses pertama tahapan vaksinasi dengan vaksin Nusantara yaitu pengambilan sampel darah. Setelah sel dendritik dalam darah diolah selama tujuh hari, barulah disuntikkan ke dalam tubuh. 

#LaNyalla #LaNyallaAcademia",
Penyuntikan dilakukan langsung oleh Terawan Agus Putranto yang merupakan pelopor Vaksin Nusantara.#LaNyalla #LaNyallaAcademia,
Senator asal Jawa Timur itu berharap masyarakat turut mendorong agar vaksin Nusantara mendunia.#LaNyalla #LaNyallaAcademia,
"Kita apresiasi sekali upaya produksi Vaksin Nusantara ini sebagai langkah dalam ikut serta mengatasi pandemi agar segera berakhir,"" jelasnya. 

#LaNyalla #LaNyallaAcademia",
"LaNyalla melakukan suntik Vaksin Nusantara di Gedung Cellcure Centre, RSPAD Gatot Soebroto. ""Hasil karya anak bangsa harus didukung secara penuh. #LaNyalla #LaNyallaAcademia",Percaya
"Ketua DPD RI, AA LaNyalla Mahmud Mattalitti, mendukung vaksin Nusantara yang diinisiasi oleh Mantan Menteri Kesehatan, Terawan Agus Putranto. #LaNyalla #LaNyallaAcademia",Percaya
"Polemik Vaksin Nusantara membuktikan Pancasila Dasar Negara Sila Ke-Tiga PERSATUAN INDONESIA belum mendarah daging pada bangsa Indonesia, alangkah baiknya kalau vaksin nusantara atau vaksin merah putih ini didukung, bukan dipersulit, kalau menurut kalian bagaimana?",
"💙 ""MEREKA harus bolak-balik Surabaya-Jakarta.
Tiap minggu.
Kemarin, mereka ke Jakarta lagi –untuk kali yang ketiga.

Begitulah konsekuensi menjadi relawan Vaksin Nusantara dari luar Jakarta.
Atas biaya sendiri.""
(Dahlan Iskan)
💙
💙
Rombongan Nusantara https://t.co/6Gnx2KWSsu",
"Gawe bakul obat..
Mana mau support Vak Nus yg kagak ada duitnya..

Jangan diam utk Indonesia yg lebih baik..
Vaksin Nusantara dijegal, tp akan diteruskan dengan nama lain..

Kita berdoa saja semoga dr. Terawan sukses..
Bangsa kita ga perlu refill vaksin asing tiap 6 bulan..
👍👍 https://t.co/ONhkRUcOjD",
@dayatia @_haye_ Jadi ingat vaksin nusantara. Hahaha,
"https://t.co/7g6ll94DZO

Allahumma sholli'alaa sayyidina Muhammad , bismilah vaksin nusantara atas izin allah dipermudah produksi serta izinnya , dan semoga dunia kembali normal dengan hadirnya vaksin nusantara made in indonesia 🇮🇩. @jokowi @KemenkesRI @BPOM_RI @tni_ad",
"@CttnDmkrs Tolong vaksin Nusantara diizinkan, di produksi masal!",
"Masyarakat berharap  Vaksin NUSANTARA dan MERAH PUTIH segera berhasil untuk melawan wabah Corona di Indonesia, ayo kita dukung Vaksin produk anak bangsa, maju terus pantang mundur .dr Terawan.",
"@na_dirs Kasian muslim nusantara nga kyai nya nga umat nya, begitu takut nya sm virus melebihi takut nya pada Allah,begitu yakin nya sm vaksin melebihi keyakinanya kepada Allah. BERAGAMA tapi nga BERTUHAN..?!",
Binggung kenapa vaksin nusantara di tolak? Apakah karena vaksin nusantara tidak ada fee'nya buat elit politik?,
Sejumlah tokoh besar Indonesia hingga anggota DPR mulai berramai-ramai menjadi relawan vaksin nusantara. https://t.co/wjDpDW2qej #teknologi #gadget #tech,Percaya
"Nah Vaksin Merah Putih masih berlanjut penelitiannya. Kita doakan lancar dan sukses sehingga Indonesia bisa lebih berhemat.

Ada yg mau tau bedanya dg vaksin Nusantara, tolong baca dikit berita ini ya 
https://t.co/VoQqYYogIU",
"Kasad Jenderal TNI Andika Perkasa bertanya mengenai kelanjutan vaksinasi Covid-19 bagi purnawirawan TNI AD. Menteri Kesehatan RI pun menjelaskan ketersediaan akan memprioritaskan pemberian vaksin bagi purnawirawan jika telah tersedia kembali.⁣⁣

https://t.co/Gjg7uek9bT",
"https://t.co/fGmcRkAEbD

Telat tau saya, jadi sekrang vaksin nusantara hanya ""kepentingan penelitian dn pelayanan"", artinya yg datang mau ikut penelitian akan dilayani dn dberi apapun yg diteliti olh pihak vaksin nusantara. Penelitian vaksin yg utk masyarakat umum ttp blum boleh.",
"Tindakan Dr. Terawan/RSPAD dgn Membuat Vaksin Nusantara dan Tidak Suntikkan Vaksin yg di Luar Negeri Terbukti sebabkan KEMATIAN
adalah BENAR SEKALI!!😎
Alhamdulillah!!Allahu Akbar!!
🤲🤲🤲

#GreatAwakening
#KomunisLokal_Global
#Globalis
#Cabal
#TheMatrix
 https://t.co/4AmaJnWGXp",
"@ZachtaAlam @jokowi Vaksin Nusantara baru mnyelesaikan uji klinis tahap 1 dan msih banyak tahapan yg harus dilalui. Mmbuat vaksin ga sgampang buat mie, bnyk tahapan dan kaidah2 yg hrs trpenuhi. Smoga vaksin ini bisa sgera lulus uji dan diproduksi shingga kita tdk trgantung lagi dg vaksin luar negeri https://t.co/3zp89YYNYu",
Beda Vaksin Nusantara Vs Vaksin Merah Putih https://t.co/nOvNK5znTF,
"@deriraa capek bgt masyarakat terus yg dibenturin trus pemerintahnya sendiri bikin kebijakannya begitu, vaksin yg digadang² jadi harapan malah dosisnya ga cukup, belom lagi masalah vaksin nusantara",
@seagatesoft Nunggu vaksin nusantara dijual umum mas 😂,
"@iic_a Bu dokter, hasil diskusi vaksin nusantara apa isinya, krn sy tidak bisa ikuti webinarnya kemarin itu..",
10 Orang Relawan Vaksin Nusantara dari SDI Kembali Berangkat ke Jakarta https://t.co/zHD3GKnjf5,
"yang sudah suntik vaksin belum tentu kebal covid. Lah terus ngapain vaksin ya? sampe diancem akan kena denda jika menolak vaksin.

ada apa sih ini ?",Tidak Percaya
Terus kalo vaksin nusantara itu pasti ketat banget 😁 https://t.co/elm7yruY1Y,
"Kisah Titiek Soeharto yang dinsuntik vaksin Nusantara oleh Terawan
https://t.co/tB8onhoHvP",
"Warga lansia di lima kabupaten di Papua sama sekali belum mendapatkan vaksin Covid-19 hingga kini. Padahal dari sisi kerentanannya, lansia seharusnya mendapat prioritas. #Nusantara #AdadiKompas @justsayabi

https://t.co/Yqr4uPXawl",
"vaksin Nusantara, sehingga vaksin hasil karya anak bangsa ini dapat terus didukung agar menjadi suatu terobosan baru dalam pengembangan metode vaksin di dunia yang lebih efisien, optimal, dan mampu dalam menekan kasus serta angka kematian akibat penyakit COVID-19",Percaya
"Vaksin Nusantara banyak menuai kritik baik dari tenaga kesehatan, peneliti, bahkan pemerintah lantaran adanya ketidaksesuaian dalam pemenuhan kaidah Good Clinical Practice (GCP), Good Manufacturing Practice (GMP), Proof of Concept dan Good Laboratory Practice (GLP)",
Belakangan ini banyak terjadi pro dan kontra terkait vaksin Nusantara yang masih diperdebatkan hingga saat ini. Vaksin Nusantara adalah vaksin yang berasal dari sel dendritik yang dari sel darah putih manusia. Sel dendritik ini dikenalkan pada rekombinan antigen berupa - https://t.co/vR5q3xDLSD,
"[KASTRAD NEWS]

Usaha dalam mengembangkan vaksin untuk virus SARS-CoV-2 menjadi suatu hal yang menjanjikan dan memberikan kesuksesan yang besar dalam mengatasi penyakit COVID-19. Indonesia sedang mengembangkan vaksin karya anak bangsa salah satunya vaksin Nusantara. - https://t.co/MnYxCvQcKr",
#Nasionalisme di Antara Bukit Algoritma dan Vaksin Nusantara - https://t.co/sD3xamdAgA - https://t.co/sD3xamdAgA #KBBI https://t.co/SuglDNM6Jq,
Berguna jg clubhouse jadi tau vaksin nusantara untuk jawaban ujian awkwkwkwkkwkw,
@instakilogram__ @rolagox @kucingmenangid @tubirfess Kan vaksin nusantara berbeda dari vaksin yg lain.. mungkin ibu siti dan pak terawan tau cara nya mengalahkan dominasi vaksin Luar yang udah dibeli dan tersebar..,
Indonesia Terima Donasi Setengah Juta Dosis Vaksin dari Persatuan Emirat Arab https://t.co/hrsUG2Dltp,
@jokowi vaksin harus import padahal qta bz bikin vaksin Nusantara berarti pak Jokowi suka dengan globalis apa kurang percaya produk Indonesia,
"Setengah juta dosis vaksin yang baru tiba ini akan membantu mempercepat program vaksinasi yang telah dimulai sejak Januari 2021 di Indonesia.

#VaksinasiCovid19

https://t.co/5JI5qWU80i",
@saputrasemarang ada vaksin  nusantara jg y,
"@sandyis5 Kalo baca sih katanya bisa utk varian virus yg baru..entahlah, saya pasrah disuntik vaksin mana aja siap..vaksin Nusantara ok, vaksin gotong royong juga siap..",Percaya
"Kabupaten Buleleng, Bali menerima pasokan vaksin covid-19 AstraZeneca sebanyak 50.000 dosis untuk suntikan pertama.   https://t.co/Pixn8eP96a",Percaya
[FULL] Pernyataan Terawan Agus Putranto Soal Vaksin Nusantara https://t.co/tCuMMmox1y via @YouTube,
"@virtrustissue Slardar abis kena vaksin nusantara ..... 

Gak ketebak , ckuakkzz",
"@rolagox @kucingmenangid @tubirfess Akun anti covid dan vaksin yg awalnya memuja2 terawan dan bu siti. Gak percaya sm vaksin &amp; adanya cvd19

Namun pura2 tidak dengar kabar saat terawan dan bu siti ada di barisan yg sama (vaksin nusantara) yg secara gk lgsg mengartikan klo mereka berdua percaya adanya covid &amp; vaksin",
@BPOM_RI Ini gmna urusannya! Kok diem seribu bahasa!! Urusan vaksin nusantara lu pada bacot &amp; galak bangett!! https://t.co/YKyPM6tYcC,Tidak Percaya
"@BPOM_RI mana suaranya nih!! Kok waktu vaksin nusantara vocal &amp; galak banget suaranya!!! Giliran ini diam!!??? Apa kerja kalian benar di fungsi dan kontrol..!! 
Kok ciut suaranya urusan rapid test palsu kimia farma https://t.co/kGg0s7NXEw",
"Sama kayak politisi tiba-tiba klaim vaksin nusantara aman, misalnya. Bisa bilang aman itu dasarnya apa? Mereka pakar ilmu kesehatan aja bukan. Itu ya lompat pagar namanya.

Sama kyk situ yg bukan kapasitasnya nentuin artikel itu apakah bagus atau ndak buat muslim.",Tidak Percaya
"8/ OLEH SEBAB ITU MARI KITA DUKUNG AGAR VAKSIN NUSANTARA SECEPATNYA DI PRODUKSI, MAKA HARAPAN KITA MENANG DAN KELUAR DARI ANCAMAN VIRUS COVID-19 SEMAKIN TERBUKA LEBAR. AMIN",
"7/ SELAIN ITU BAPAK JOKOWI JUGA TERBUKTI HEBAT. DISAAT NEGARA LAIN BELUM MENDAPATKAN VAKSIN, BELUM MEMPUNYAI DUIT UNTUK MEMBELI VAKSIN. INDONESIA TERUS MEMBELI VAKSIN, MENGADAKAN VAKSINASI SETIAP HARI DAN HEBATNYA LAGI INDONESIA MENCIPTAKAN VAKSIN, NAMANYA VAKSIN NUSANTARA.",
@PartaiSocmed Bukannya tinggal batalin vaksin nusantara tum obatnya?,
"Cerita Titiek Soeharto Disuntik Vaksin Nusantara: Titiek Soeharto jadi relawan Vaksin Nusantara, disuntik langsung oleh Terawan Agus Putranto. https://t.co/8sKRCFn544",
"Lawan Covid dengan
Vaksin Nusantara dan Gnose
Indonesia Menang
https://t.co/Y2XmKUcEOq",
@Cahkopl40415191 Gw sih memilih pake vaksin Nusantara semoga di 2022 segera terlaksana aamiin #cintailahprodukindonesia #stopasing,Percaya
