Tweet,Nilai,,,
"@Daniel_Marzuqi @CNNIndonesia Kalem
Kita dalam pengembangan vaksin merah putih
Kan gk mau make yg dr China
Ato pake vaksin punya Eropa kaya astrazeneca
Pemerintah sediain kok klo emang gk mau yg sinovac
Yg penting mau d vaksin ya kan 😁 https://t.co/5Ck7QPsrb9",,,,
"@yaya__nh Iyaaaa. Gue tadi liat random thread dan banyak yang: saya mau ikut uji klinis demi negara, jangan dihalang2i dong karya bangsa - pasti lebih baik dari Sinovac. Naonnnn.",Percaya,,,
"@TirtoID @_haye_ Kalau vaksin sinovac, dilaporkan ada yg efek kedepannya hilang ?
Bijimana tuh ?",,,,
"@katzen_jammer Anehnya...terhadap Vaksin Sinovac, Pfizer, AztraZeneca, Moderna bahkan Johnson &amp; Johnson tidak ada yg ""berani"" ajukan rentetan pertanyaan2 yg sama?!? 🧐🤔🙄",,,,
"@zarazettirazr @KompasTV BPOM menjamin.
Plus Sinovac dan Astra sudah ada jurnal medis yang bisa diakses ...",Percaya,,,
"Menyikapi vaksin nusantara yang prokontra, 

Aku bingung, sebenere indo tu memutuskan pake vaksin yang mana sih, aku pernah denger ada sinovac, johnson&amp;johnson, oxford, sinoparm, moderna, lah yang dipake tu jadinya yang mana 
Apa semua vaksin dipake ya? Apa masih di uji lab ?",,,,
"@agussari @B713Prince @drpriono1 @BPOM_RI Tanya BPOM, tapi saat BPOM menyetujui untuk uji klinis fase 1, mestinya sdh memeriksa hasil praklinis sblmnya .... Seperti saat BPOM membolehkan UNPAD untuk uji klinis fase 3 vaksin sinovac, sudah dicek juga (kertasnya) hasil uji praklinis, uji klinis fase 1 dan 2 ....",,,,
"Baru baca kenyataan @Khairykj berkenaan vaksin sinovac hari ini. Ramai kenalan saya dari orang awam yang ada penyakit kritikal tertanya-tanya bilakah mereka akan dipanggil untuk diberi vaksin. Daftar 26 Feb. Hari ini dah 15 April.

@DGHisham @DrAdhamBaba #KitaJagaKita @HajiAmzad",,,,
"Terlepas dari desas desus efektifitas vaksin sinovac yang katanya begitu begini, ya akhirnya memang harus ikut divaksinasi.
💉 https://t.co/Vmzxapbp2c",,,,
"Selamat Siang...

#Healthies, setiap jenis vaksin COVID-19 memiliki rentang waktu penyuntikan yang berbeda-beda lho, dalam membentuk antibodi maksimal dalam tubuh.

Berikut adalah jeda waktu terbaik antara penyuntikan dosis pertama dan kedua untuk vaksin Sinovac dan AstraZeneca https://t.co/AukXccVlPQ",,,,
"@ProfesorZubairi Vaksin mana aja yg sudah mengikuti kaidah ilmiah prof? Sinovac info efikasi 50% (rendah), AZ sudah dihentikan penggunaan nya di berbagai negara, Moderna ga jelas, Jhonson&amp;Jhonson udh ga produksi vaksin lagi..

Antara yg tertulis dan realita tidak jarang banyak perbedaan 😊",,,,
"Setidaknya ada 3 produsen vaksin covid di cina: sinopharm, sinovac, dan CanSinoBio. Dan adakah yg mempublikasi data hasil uji klinis mereka di peer reviewed jurnal???
Sama saja bos!
Saya tidak setuju dg vanus dan terawan, tapi cobalah berlaku berimbang. https://t.co/MIbvQw8DkM",,,,
"Jika 1 Vaksin agent nya bs cuan bersih 20rb aja, maka 1 juta Vaksin sdh untung 20 M... 

jika penduduk Indonesia adalah 270,2 juta jiwa, maka cuan sang Agent 5.4 T... GILAKKKK

#COVID19Vaccine 
#Sinovac",Tidak Percaya,,,
"Polemik Vaksin ternyata diduga terkait ""Politik Dagang"" Vaksin... 

Berebutlah kue"" tuk nyupply Vaksin tsb.

#VaksinUntukKita 
#CovidVaccine 
#Sinovac",Tidak Percaya,,,
"Jika Vaksin Sinovac blm di approved by WHO, apakah bertanda kita sedang di jadikan Kelinci Percobaan nya Vaksin?

#COVID19Vaccine 
#Sinovac",Tidak Percaya,,,
"Ada yang tahu ngga kalau Vaksin Sinovac itu belum di approved oleh WHO?

@BudiGSadikin 
@KemenkesRI 
@jokowi 
@FiersaBesari 
@satgascovid19id https://t.co/4kUU1h4KvX",Tidak Percaya,,,
"China Akui Efektivitas Vaksin Covid-19 Buatan Negaranya Rendah, Sinovac Hanya 50,4% | https://t.co/FrKbqhd8rU https://t.co/bg8GdSSEFv",,,,
"Bodo amat lah. Vaksin nusantara kek, vaksin Sinovac lah, rakyat cuma bisa nerima doang. Mau itu hsil poltik atau hasil uji ilmiah. Gausah gaduh. Yang bela pak Terawan dapet apa? Yang ngritik dapet apa?",,,,
"Kamis, 15 April 2021 Bripka Lukman S. selaku Bhabinkamtibmas Ds. Gatak Melaksanakan pengamanan dan monitoring di Gd. Graha Karya Utama Ds. Gatak dilaksanakan penyuntikan Vaksin Covid 19  Sinovac Tahap II kepada para Lansia Ds. Gatak yang berjumlah 100 orang. https://t.co/rOYpF1BLqL",,,,
@BBCIndonesia Artinya Sinovac masih lebih aman ya dibandingkan AstraZeneca dan Johnson &amp; Johnson 😁😄,,,,
"@MrsRachelIn Kalau bapak yang satu ini pasti politik dan bisnis lah.... 😉
Wong beliau sudah di vaksin dengan sinovac... 
Waktu datang ke RSPAD, beliau hanya diambil sample darah, bukan di vaksin...",Tidak Percaya,,,
"Sinis banget sama dr Terawan. 
Ya udah mending Import vaksin Pfizer, moderna, sputnik, Johnson &amp; Johnson,  Sinovac, Sinopharm, AstraZeneca dari luar ajalah lebih nyaman 🤣

BPOM: Komponen Utama Vaksin Nusantara dr Terawan dari AS Semua https://t.co/InSqPW0z9R",,,,
"Ini kabar buruk lagi warga bagi jamaah Indonesia yang gagal melaksanakan umrah dan haji meski sudah disuntik vaksin. 
Sebab mereka disuntik vaksin Sinovac. Betapa buruk nasib bangsa ini.",,,,
"@na_dirs Ya udah mending Import vaksin dari Pfizer , moderna, sputnik , Johnson &amp; Johnson,  Sinovac, Sinopharm, AstraZeneca dari luar  ajalah ... lebih nyaman .. 
🤣😄😁",,,,
Kepala Dinas Kesehatan Provinsi Gorontalo Yana Yanti Suleman mengungkapkan ada perubahan kebijakan terkait rentang waktu penyuntikan vaksin Covid-19 j https://t.co/zWgMNVcYvD,,,,
"Khairy Jamaluddin berkata, sehingga kini jumlah vaksin Sinovac yang diperoleh kerajaan hanya merangkumi kira-kira 20% populasi rakyat negara ini. #FMTNews #Sinovac #Vaksin #KhairyJamaluddin  https://t.co/z9MDBwYidY",,,,
Menteri Agama Yaqut Cholil Qaumas menyebut Pemerintah Saudi belum setuju vaksin Sinovac sebagai syarat masuk ke negaranya karena tak bersertikat WHO. Ini kabar buruk lagi warga bagi jamaah Indonesia yang gagal melaksanakan umrah dan haji meski sudah disuntik vaksin.,,,,
"@Gerindra @Don_dasco Min ,itu anggota dpr bukannya sudah divaksin sinovac?",,,,
@DaArasyadz @yunartowijaya orang sinovac china aja press conference klaim tingkat efektivitasnya rendah...,,,,
"Dukung Kompetisi Sepak Bola Copa America 2021, Sinovac Sepakat Kirim 50.000 Dosis Vaksin Corona https://t.co/VD0r0r0Yp3 #Terbaru #berita #live #trending",,,,
"@Syarman59 @KompasTV https://t.co/KCnJIqXb4N mendingan langsung akui sinovac sbagai vaksin nusantara wkwk
Lha ini infonya di AS uji klnis atau apanya di tolak gitu, pindah kesini",Tidak Percaya,,,
Kata warga emas dpt sinovac je? Apsal warga emas yg satu ni dpt pfizer? https://t.co/cc75XxVdpF,,,,
Vaksin yg coronavac katanya ga sebagus sinovac ya?,,,,
"@djaycoholyc Sabar...
Siapa tahu pas gilirannya di vaksin dapatnya yg pfizer atau moderna🤣

Soalnya yg sinovac kelihatannya hasilnya kurang menggembirakan",,,,
Terima kasih sudah memilih saya menjadi sukarelawan uji klinis vaksin Sinovac. Terima kasih para tenaga ahli dan dokter² yg baiiik dan ramah bgt 😊😊 semoga semuanya sehat² &amp; semoga pandemi ini segera selesai 🙏 https://t.co/Ky3KStctzu,Percaya,,,
"@B713Prince @drpriono1 @agussari @BPOM_RI Untuk sinovac dan AZ, BPOM cukup meriksa dari kertas2 yang diajukan oleh produsen... Ok. Comply, silahkan sinovac uji klinis fase 3.... Dan utk AZ silahkan langsung diedarkan 🙈🤦.... Untuk vaksin dalam negeri, BPOM hrs periksa detail tetek bengek dan ujung2nya tolak 🤦",,,,
"@Aaibadz @yunartowijaya Bukannya waras, takut sinovac ke ganggu, mereka kan yg paling nasionalisme se Indonesia,tapi kalo urusan duit nasionalisme minggir dulu...",,,,
Vaksin pertama done. Selamat bergabung ditubuhq sinovac 😌,Percaya,,,
"@KompasTV @pendekar58 Siapa juga yg bisa menjamin vaksin Sinovac, pfizer, astrazaneka, dll tidak menimbulkan masalah...",Tidak Percaya,,,
@James_MW Akhirnya jadi sinovac juga yg dipilih ya wkwk,,,,
"Tentu program vaksinasi corona sinovac merupakan salah satu ikhtiar manusia untuk mencegah penularan Covid-19. Namun tetap ini hanya upaya manusia sedangkan yang menentukan segalanya adalah Allah SWT
#BuletinTasamuh
#Covid19
#VaksinasiCovid https://t.co/Pv8qGJwfw2",Percaya,,,
"@TheArieAir Karena efikasi vaksin sinovac cuma 65,3% pun seperti vaksin covid lainya belum bs sampai 100% https://t.co/7e34LNcWxA",,,,
"@___Mr_J03n4____ @ZAINALA59664337 Semua vaksin mempunyai efek hampir sama. Malah Astrazeneca byk menggigil panas dingin, pusing, mual2, muntah tp hanya bersifat sementara, sy memakai sinovac hanya otot pegal2 sebentar, agak pusing dan demam... Tp semua hya reaksi sementara, juga tergantung kondisi fisik masing2",,,,
"Mulai dah...kalau pakai vaksin Sinovac yg impor 100 persen, kenapa kita gak ribut? https://t.co/qZIFucti6e",,,,
"@TirtoID Hmmm bos gue lagi nungguin vaksin nusantara besutan pak mantan menkes ini. Biar aja gue jg mau lihat reaksinya nnti dibadan dia bgmn, seefektif dgn sinovac dkknya  kah atau tidak",,,,
"@tegalfess Wktu bapak aku vaksin kmrn masih sinovac. Tapi skrg katanya udah bukan sinovac, tp yg dari oxf0rd nder.",,,,
"@Syarman59 @na_dirs @BPOM_RI Gak ada juga sih yg bilang vaksin sinovac dari dalam negeri 😅
Bahkan biofarma yg bikin aja gak bilang kalau itu vaksin punya dia karena bahan bakunya dari cina semua 😅",,,,
"Dukung Kompetisi Sepak Bola Copa America 2021, Sinovac Sepakat Kirim 50.000 Dosis Vaksin Covid-19 https://t.co/htLVGgXb86",,,,
"@dokterapin Bingung..apakh gak ada efek samping divaksin dgn jenis merk vaksin yg berbeda?,setahu saya anggota DPR kan sdh pada pernah divaksin menggunakan sinovac",,,,
"@septian Beli vaksin yang dimonopoli Negara maju secara etis bermasalah, teknis juga bermasalah AZ disuspend di berbagai Negara - clot problems, Sinovac efficacy 50% (rendah) dan akan dibuat ketergantungan terhadap produsen karena harus divaksinasi per tahun. Kenapa tidak DIY vaksinnya?",,,,
"Pasca di perintah @erickthohir u/ikut vaksin(sinovac), didudidam si #ManusiaMerdeka_Abal2 ini, sedikit pun ga berani koment ttg vaksin² apapaun! 
😆😁😂 

Dulu blg vaksin sinovac sampah, akhir nya sinovac mengalir dlm darah nya! 
😆😁😂 

""Cintai lah..Ploduk-Ploduk PKC""! 
😆😁😂 https://t.co/s19GyqMpXX",,,,
"@msaid_didu Pasca di perintah @erickthohir u/ikut vaksin(sinovac), didudidam si #ManusiaMerdeka_Abal2 ini, sedikit pun ga berani koment ttg vaksin² apapaun! 
😆😁😂 

Dulu blg vaksin sinovac sampah, akhir nya sinovac mengalir dlm darah nya! 
😆😁😂 

""Cintai lah..Ploduk-Ploduk PKC""! 
😆😁😂",,,,
"@indria_vitri Sy divaksin pake sinovac gejala nya ngantuk berat mbak, lengan juga rasanya kyk agak bengkak gitu, gejalanya cuma 1 hari aja sih, besoknya udah hilang. Tmn2 yg lain juga sama efeknya 😂 ini msh nunggu jadwal vaksin keduanya.",Percaya,,,
"@indria_vitri Iya kl kata yg udh divaksin sih abis divaksin paling pegel bentaran doang. Nah kalau milih ini gatau juga sih kak bisa apa engganya soalnya pas vaksinasi kemarin tuh yg dipake sinovac semua (krn emang vaksin lain blm datang), kalau ntar belum tau nih gimana :(",Percaya,,,
"@geloraco Vaksin Sinovac diakui WHO ga sih, kalau ga diakui, sebut saja dengan vaksin Palu Arit PKC !

Biar terang benderang...",Tidak Percaya,,,
"@rizkynirwandhi 3. .... Padahal dpr sendiri sudah di vaksin sinovac sebelumnya. Jadi mau nguji apa?
4. Secara bahan material ini impor semua dan peneliti juga mayoritas dari amerika jadi kurang tepat menyematkan label lokal. Ini cuma vaksin luar yg dikembangkan di indonesia",,,,
"@schokocatcher Mgkn kalau pilihannya dua itu kayaknya yg resikonya lbh minim itu sinovac ya. Keluargaku pake itu jg kmrn dan alhamdulillah baik2 aja, cm pegel dibagian disuntik doang.
Bisa milih gak kalau di Indonesia misalkan lbh prefer sinovac gitu?",Percaya,,,
"@indria_vitri Di Indonesia setauku  yg baru masuk itu kan sinovac ama astrazeneca. Sinovac iya sih efek sampingnya cenderung lebih ringan katanya. Cuma kmrn liat di berita kemungkinan yg astrazeneca hrs segera dipake krn bulan depan mau kadaluarsa, tp di negara lain ga dipake lg jd agak ragu",,,,
"@tirta_hudhi Dok mau tanya, ini beneran apa hoax? Vaksin sinovac bikin impoten? Bener gak dok ini? Sorry kudet saya.",,,,
"@na_dirs Eh tp bener gak ya gus vaksin sinovac bikin impoten? Saya kemaren baca baca di ig, ada yg mendadak impoten sehabis vaksin",,,,
"Sinovac sampai sekarang belum dapat persetujuan FDA Amerika, gak heboh tuuuh.

Dikutip dari Reuters lhoo - https://t.co/fazzcHtU2r https://t.co/9BEbGyt7Jl",,,,
"9.Saudi Arabia lebih dekat dan bersahabat dengan Amerika ketimbang Cina. Sedangkan Indonesia sedang akrab dan bermain-main dengan Cina. Vaksin pun dari Cina, Sinovac yang dianggap masih rentan bagi penularan Covid-19. Kualitas Sinovac yang diragukan dan bermutu rendah.",,,,
@panca66 Kenceng hajar Vaksin Terawan kayak punya stock vaksin sinovac + astra,,,,
@beabaceocod_ @Syarman59 @KompasTV Kocak tuh boomer @Syarman59 larinya malah ke sinovac wkwkwk,,,,
"TEGAL, https://t.co/4vRIv28sG4 - Proses vaksinasi Covid-19 jenis Sinovac di Kota Tegal tetap dilaksanakan siang hari selama Bulan Ramadan. Hal itu dilakukan, mengingat tidak adanya larangan dari Majelis Ulama Indonesia (MUI). https://t.co/aXFbkDjBKg",,,,
"1)Detil sekali kalian saat kritik Vaknus, tapi diam seribu bahasa saat Sinovac, Pfizer, AztraZeneca, masuk dan beredar di Indonesia. Pada saat Sinovac mulai disuntikan dan timbulkan korban meninggal dunia,...(2) 🙊🙈🙉

#RevolusiDamaiSebentarLagi
#Awakening
#cabal
#thematrix https://t.co/qbzuV0DJiQ",,,,
"Cari alasan tu yang ilmiah dikitlah @BPOM_RI 
Memangnya Vaksin Sinovac itu bahannya dari dalam negeri semua? 
https://t.co/hJnbCfTkmc",Tidak Percaya,,,
"@Syarman59 @KompasTV Tapi sinovac ga ada embel2 vaksin anak bangsa, bang jago",,,,
"Malaysia dapat tambahan kuota haji 10.000 tahun ini, semoga Indonesia bisa memberangkatkan haji, mengingat vaksin Sinovac msh ditolak Arab Saudi https://t.co/lB2xRSoUxi",,,,
"Ada yang baru tau vaksin sinovac belum tersetifikasi Who? 🙄
#onproseskatanya",Tidak Percaya,,,
"@kompascom Sumber lain mengatakan, kalo vaksin yg Nusantara bs bertahan lama , tidak hanya 1-2 tahun. Jd lebih bagus dr Sinovac dll.",,,,
"8.Kelima, dalam konteks global Saudi Arabia lebih dekat dan bersahabat dengan Amerika ketimbang Cina. Sedangkan Indonesia sedang akrab dan bermain-main dengan Cina.
Vaksin pun dari Cina, Sinovac yang dianggap masih rentan bagi penularan Covid-19.",,,,
"So far so good ini Sinovac, paling kemeng doang tangan.

Yuk mari menanti tahap 2 vaksin dengan ttp menjaga kesehatan as always.",Percaya,,,
"1.250 lansia sudah mendapatkan suntikan vaksin Sinovac. Pelaksanaan vaksinasi Covid-19 sudah masuk pada tahap kedua untuk vaksinasi bagi lansia dan petugas pelayanan publik.

#papuanlivesmatter 
https://t.co/gJyiuD8mv4",Percaya,,,
"@CNNIndonesia yg divaksin pakai sinovac dll juga ada yg  nyeri/demam.

malah yg tetap kena covid &amp; meninggal juga ada 🙈

jadi ya sama saja semua vaksin, ga ada yg sempurna",,,,
@na_dirs Memangnya Vaksin Sinovac itu bahannya dari dalam negri semua @BPOM_RI ?,Tidak Percaya,,,
Sinovac udah ditubir gila-gilaan kok yang ini belum yah? 🤭🤭🤭,,,,
@501Awani Untunglerrr dok Singpor ..... duduk Msia ... dapat Sinovac tak de pilihan ... tu pun tak tau dapat te idakk ...,,,,
"2) Ketika memberikan kesempatan untuk Sinovac (asing) untuk uji klinis di indonesia, mengapa vaksin nusantara justru ditentang. Apakah penentangan ini karena latar belakang Dr Terawan yang bermasalah dengan IDI di masa lalu

Tanggapan saya dibawah ini",,,,
@allhlr @CNNIndonesia Ya kalo emang terbukti ampuh kenapa tidak. Daripada Sinovac yg gak jelas. Di Arab Saudi gak diakui. Terakhir dari China nya sendiri yg ngaku Sinovac kurang efektif. Udah banyak yg beli baru ngaku. 😂,,,,
"Vaksin Sinovac DITOLAK Lembaga Kesehatan Dunia WHO Dan Negara Arab Saudi, Bagaimana Nasib Jamaah Haji Indonesia ? https://t.co/we92cjikzi https://t.co/spJHCsmzwn",Tidak Percaya,,,
@KompasTV Memangnya Sinovac dibuat di Indonesia?,,,,
"vaksin nusantara itu basically esemka. avanza/xenia/agya/ayla bisa achieve tkdn 94% meskipun badge merek jepang, esemka yang ""nasional"" cuma 60%.

same goes with ""chinese"" sinovac yang part of the process udah di biofarma bandung vs ""nusantara"" but imported from us",Tidak Percaya,,,
"Anggota Koramil 21/Palakka Kopds Samaila  melakukan pengamanan kegiatan Suntik Vaksin Sinovac untuk purnawirawan TNI AD di Aula UPT Puskesmas USA, Kecamatan Palakka, Kabupaten Bone. https://t.co/wGIyrMpW0w",,,,
@JKJAVMY Yang kami takut ialah kematian kerana Covid. Adakah kes kematian dalam kes simtomaik dan kes memerlukan bantuan? Takkan tiada kes lansung. Maka 50.7% ialah angka yang harus diguna pakai. Analisa telah confirm Sinovac memang tidak berkesan dan membuang masa.,,,,
"Amankan Pelaksanaan Vaksin, Babinsa Koramil 21/Palakka Dampingi Pensiunan TNI AD Suntik Vaksin Sinovac https://t.co/FLT4Av3PMD",Percaya,,,
@nrainiamrl94 Dia bagi pfizer ke sinovac ?,,,,
"(4/5) Kl dibilang kita tdk peduli pd keamanan, buktinya unt sinovac kt minta pem jamin keamanan. Tp mengapa unt vaknus faktor keamanan jd tdk penting? Knp reaksi kita beda pd vaknus pdhal BPOM konsisten jlnkan tugasnya? 🤔",,,,
"(1/5) Uji sinovac unt fase 1 &amp; 2 sdh dilak di Tiongkok. Kita laks uji fase 3 dg 1600 rlwn pd Agt 2020. Hslnya, tk efikasi sktr 65%, di atas standard WHO 50%. BPOM sdh klrkan ijin. Tp kita ttp ragu, smp minta Pres divaksin duluan 😅 https://t.co/2gZ3oEi92w",,,,
