Tweet,Nilai
"Mohon pemerintah jangan denial trus, belum diteliti lebih lanjut udah kasih asumsi kemana-mana. Ini yg bikin rakyat ragu dan enggan, apalagi udah ada buktinya di negara lain.

https://t.co/1UYalzEubH",Tidak Percaya
Satgas: Pembekuan Darah Tidak Berkaitan Vaksin Covid-19 https://t.co/BCvWKZTwOb,
Penjelasan Juru bicara Satgas Wiku Adisasmito Soal Pembekuan Darah Pasca-vaksinasi Covid-19 https://t.co/ue3YE2hVp5,
#Rabu #LintasBantenPagi Wajib Jujur Saat Screening Vaksin Corona! Risiko Pembekuan Darah Bisa Dicegah https://t.co/cSJV2Mzrnm,
"#AstraZeneca santer akan dugaan efek samping pembekuan darah. #KIPI jg mencatat per 16 Mei ada 16 laporan serius &amp; 889 Non-serius program #vaksinasi @AstraZeneca di #Indonesia. zik

@jokowi @KemenkesRI

#BersamaUntukIndonesia #holopiscom 
 https://t.co/dbIk4jSC13 via @holopiscom",Tidak Percaya
"@Ikashafarey_ Ada yang risau DNA diubah, ada yang sebab risau pembekuan darah, ada yang risau sebab komplikasi dengan penyakit lain yang ada, ada yang risau tentang kandungan vaksin.",Tidak Percaya
Menjawab jujur ketika ditanya seputar riwayat penyakit sebelum divaksin COVID-19 adalah langkah krusial. Termasuk soal ada tidaknya riwayat penyakit komorbid. https://t.co/l1Eg11xZqV,
"Pembekuan Darah Dialami Sejumlah Penerima Vaksin AstraZeneca, Ini Penjelasan Satgas - https://t.co/ZOGg0WOW2b Nasional https://t.co/ZOGg0WOW2b https://t.co/6IA4H2UeVE",Tidak Percaya
"Satgas Covid-19 Sebut Pembekuan Darah Tak Terkait dengan Vaksin: Wiku menyebut, trombo emboli atau pembekuan darah bisa terjadi bersamaan dengan proses vaksinasi Covid-19. Namun, trombo emboli sama sekali tidak terjadi karena kandungan vaksin Covid-19. https://t.co/Xuy9X7r0jX",
Satuan Tugas Penanganan Covid-19 menerima sejumlah laporan mengenai pembekuan darah langka setelah vaksinasi menggunakan vaksin AstraZeneca. https://t.co/cg0yYIBDzF,
"@HausofHilton dr nak tanya, bagi golongan pesakit hemodialysis, adakah disarankan untuk ambil vaksin AstraZeneca ini, memandangkan berkemungkinan pembekuan darah akan terjadi? Adakah ianya selamat?",
"@KemenkesRI Manfaat vaksin dalam penanganan COVID-19 lebih besar daripada risiko efek sampingnya (yang dapat mengakibatkan masalah pembekuan darah atau reaksi KIPI lainnya), tidak ada permasalahan terkait kualitas vaksin COVID-19 AstraZeneca. 
via @KemenkesRI 
https://t.co/aLANKa4eRW",
Menjawab jujur ketika ditanya seputar riwayat penyakit sebelum divaksin COVID-19 adalah langkah krusial. Termasuk soal ada tidaknya riwayat penyakit komorbid. https://t.co/rC4Unwotfg,
Pada vaksin AstraZeneca ditemukan terjadi beberapa gangguan pembekuan darah. Pembekuan darah sendiri memiliki sebutan tromboemboli vena. Apakah itu? https://t.co/evI9oPbGBU,Tidak Percaya
takut ada pembekuan darah hm https://t.co/w46Ehf5cL4,Tidak Percaya
" Iya, aku baca banyak kasus meninggal karena pembekuan darah di Inggris setelah pake AZ.",Tidak Percaya
"@BBCIndonesia Okay, I'm worried. Bertahun-tahun lalu sudah pernah mau mati (syok anafilaktik) saat disuntik obat oleh perawat. Trus kita mau tahu gmn kalo ada efek samping per penyakit, misal masalah pembekuan darah. Lah yg gak cek darah manatau kan?",
"@dayatia Kok ga ada yg bahas Sputnik V, 

Sepertinya aman, tidak terdengar masalah pembekuan darah.",
"Atas kondisi itu, Satgas COVID-19 menegaskan pentingnya proeses skrining sebelum menerima vaksin. Petugas skrining juga diminta melakukan proses skrining secara teliti. #kumparanNEWS #jagajarak https://t.co/5SE2KJmebZ",
"Manfaat vaksin dalam penanganan COVID-19 lebih besar daripada risiko efek sampingnya (yang dapat mengakibatkan masalah pembekuan darah atau reaksi KIPI lainnya), tidak ada permasalahan terkait kualitas vaksin COVID-19 AstraZeneca. https://t.co/aLANKa4eRW",
Model Inggris meninggal dalam 'insiden pembekuan darah' setelah melakukan injeksi #AstraZeneca https://t.co/Z58amxMJuB,Tidak Percaya
"Manfaat vaksin dalam penanganan COVID-19 lebih besar daripada risiko efek sampingnya (yang dapat mengakibatkan masalah pembekuan darah atau reaksi KIPI lainnya), tidak ada permasalahan terkait kualitas vaksin COVID-19 AstraZeneca. https://t.co/Ds55LYUEl2",
Agensi Obat-Obaan Eropa menerbitkan saran tambahan untuk AstraZeneca. Hal ini terkait kasus pembekuan darah atau trombosit rendah. https://t.co/Sbsa0Erf6P,Tidak Percaya
@vynfiee @ateeqmedina @HausofHilton Hanya beberapa penerima vaksin AZ yg ade masalah pembekuan darah tu. Boleh terjadi jika dye ade masalah dgn platelet darah.,
"@AbiellaThania @mirazh_me Astrazeneca paling banyak efek negatifnya, beberapa negara dihentikan penggunaan karena terjadi pembekuan darah terutama yg berusia dibawah 40 tahun sangat rawan...",Tidak Percaya
"Apabila suntikan ini diberikan, ia akan menggalakkan penghentian darah jika berlaku insiden pendarahan dalam otak. Disebabkan organ dalam tubuh bayi belum matang., mereka mempunyai keupayaan yang rendah dalam pembekuan darah.",
Mantan Direktur WHO: Long COVID-19 dan Pembekuan Darah Bisa Dihindari dengan Vaksinasi https://t.co/QUo1506dQu,
Pembekuan darah emg ngeri,Tidak Percaya
"Lah kalau gua sial terus dapat bagian yang kecil itu kena pembekuan pembuluh darah gimana? Takut ah.. | gini ya, Fren, semua kimia yang lo masukin ke tubuh lo, pasti ada faktor resikonya.. Cilok saos buatan juga ada faktor resikonya tp kita santai aja makannya.",
"Tapi kan di Inggris ada laporan pembekuan darah? Betul, ada resiko pembekuan darah untuk Astrazaneca tapi laporannya terlalu kecil sedangkan bukti manfaatnya besar sekali.",
"ㅤ
ㅤ
Ale menjeda ucapannya sebelum kembali melanjutkan. ""Semoga saja pasien tidak mengalami masalah pada pembekuan darah.""Ringisnya. 

Masalah pembekuan darah cukup beresiko, ia cukup khawatir sebab ia tak yakin dapat menanganinya. +
ㅤ
ㅤ",
"Worry kali akibat divaksin pake astrazeneca 🙃
Mana baru baca berita vaksin astrazeneca tidak dianjurkan utk orang2 dibawah 30thn krn bisa buat pembekuan darah
Dan aku dari pagi udh pusing tanpa sebab krn biasanya aku pusing palingan krn kurang tdr aja
Worry kali woooy. Woilah 🙃",Tidak Percaya
"@detikcom Beberap kasus MMG vaksin ini bisa menimbulkan pembekuan darah jadi kalo di screening vaksin jawab dgn jujur apa sakit kita yg pernah dialami atau sdng dialami atau punya penyakit komorbid, harus jujur jgn sok2 sehat bila ndk sehat,",
"Terbukti Ampuh Mengobati Batu Ginjal Tanpa Efek Samping !!! Manfaat Mengonsumsi Buah Kiwi, Salah Satunya Mencegah Resiko Pembekuan Darah - https://t.co/kMcNjcdfU3 - Pikiran Rakyat #obatbatuginjal #batuginjalakut #batuginjalparah #batuginjalherbal #bat… https://t.co/TnGT8ITp6k",
Konsumsi aspirin secara rutin direkomendasikan pada ibu hamil untuk bantu cegah preeklampsia (tekanan darah tinggi selama kehamilan) dan sindrom antifosfolipid (kelainan autoimun yang menyebabkan pembekuan darah). #TempoCantika https://t.co/ThFcho4Aqa,
@audeehebring @afrkml @mimiiraka @newsplatter btw gatau skrining yang dimaksud gimana (apakah sampe tes lab?) tapi mayoritas penerima vaksin i can safely say ya skriningnya skrining basa basi di tempat. udah gitu doang. ga akan ketauan juga apakah akanbpunya potensi mengalami pembekuan darah atau enggak.,
"@tynderfess Jangan2 pembekuan darah, trus lama2 mati batang tytydnya",
"@huftbosan @mimiiraka @newsplatter kamu kan qrt efek samping pembekuan darah yang terjadi setelah vaksin pertama yang diketahui setelah periksa. Lalu yang diparnoin apa? Makanya kutanya sudah periksa? kalau belum, apa yang mau diparnoin?
Vaksin dulu aja. efektif kok
https://t.co/VCEvDRm5RE",
"@mimiiraka @newsplatter ""pada orang yang mengalami masalah pembekuan darah dengan trombosit (keping darah) rendah setelah suntikan pertama.""

Apakah sudah mengalami efek ini? sudah periksa? sudah terlaporkan?",
"Banyak pertanyaan terkait keamanan vaksin AstraZeneca, karena dapat menyebabkan pembekuan darah. . Apa penyebabnya? Bagaimana gejala yang harus diwaspadai? Ini penjelasan Guru Besar Farmakologi dan Farmasi Klinik UGM Prof Zullies Ikawati.
https://t.co/8vBKu4J4gx via @KATADATAcoid",
"@afrkml @newsplatter Pembekuan darah, misalnya bengkak. Kakak saya setelah vaksin kedua, efek sampingnya wajah beliau bengkak.",Tidak Percaya
"Tidak adanya laporan pembekuan darah krn vaksin di Indonesia, bukan berarti tidak adanya kasus. Ini sangat ditentukan kualitas pelaporan KIPI kita. Mirip no test no case. Penting kita mengatur algoritma pemberian vaksin dg melihat pengalaman negara lain.
https://t.co/EYxghU1Ikq",
"@irhamzin1 @RjSyzwn @najihahshahrel @capuyaaa Dlm cengkih ada eugenol , lmbtkan pembekuan darah ?

Hospital pun guna ubat pencair darah kan utk rawat pesakit covid ?

https://t.co/zdEScnKUD5",
"@nzkhmk @najihahshahrel @capuyaaa dah kena ..dah sembuh guna herba2 ..kalau ckp mesti org x percaya ..tapi Tuhan bagi clue kat bentuk spikes terpacak luar virus 

Herba tu ada fungsi cair darah , sdgkan covid sbbkan pembekuan darah ...herba india , China guna ribu2 tahun ....tkkan diorg pun kaki dvd ? antivak ?",
"@bateri_kong @hanizhaiqal @suhailili_lyy @________hafiz @MiraFaiza @SuhaimiWembley @fareezropi @Being_Me_Sara @syahredzan Masa awal pengenalan AZ, banyak dikaitkan dengan insiden pembekuan darah yang jarang berlaku di beberapa negara. Bila program vaksinasi, individu tak boleh pilih nak vaksin apa. Sbb tu kerajaan keluarkan AZ, dan offer secara sukarela. Tapi tak banyak AZ ni, sbb tu selective tmpt",
"Sampai-sampai banyak orang yang berfikir 2X lalu menunda demi dapetin merek yang berbeda.

Alesannya karena ada kasus pembekuan darah dan bisa membahayakan tubuh hingga fatal akibatnya.

Wallahualam…",
@kompascom Gimana ceritanya manfaat lebih besar tp risiko pembekuan darah???,Tidak Percaya
@syazwanismd Dr. apa penyebab pembekuan darah dr vaksin ni ya ?,Tidak Percaya
▶️ 3. Terdapat hubungkait kesan pembekuan darah dengan vaksin Astra-Zeneca di kalangan penerima vaksin yang muda tetapi kadarnya juga amat jarang berbanding dengan jumlah vaksin yang diberikan . Astra-Zeneca dianjurkan lebih selamat untuk mereka yang berusia 60 tahun ke atas.,
@dianita_dyan Pembekuan darah bkn pembelian darah ya. sorry typo. Okz..,
Ada bbrp faktor yg menjadi penentu knp UK memberlakukan kebijakan ini: 1) risiko penularan di populasi yg rendah dgn trend menurun; 2) risiko pembekuan darah di populasi muda yg lbh tinggi; 3) ketersediaan vaksin jenis lain. Tujuannya supaya proses vaksinasi ttp berjalan lancar.,
"""...Saya jawab, tidak boleh. Kenapa? Karena beberapa kejadian di Inggris mengaitkannya dengan pembekuan darah. Ada 79 kasus dari 20 juta dosis vaksin, 19 di antaranya meninggal,"" tulis Prof. Zubairi. | #Sains 
https://t.co/rykwN9rbVc",Tidak Percaya
"Banyak pertanyaan terkait keamanan vaksin AstraZeneca, karena dapat menyebabkan pembekuan darah. . Apa penyebabnya? Bagaimana gejala yang harus diwaspadai? Ini penjelasan Guru Besar Farmakologi dan Farmasi Klinik UGM Prof Zullies Ikawati.
https://t.co/BII7fcVTdq",Tidak Percaya
"@AdamPrabata Kerabat kawan saya, meninggal dgn gejala sttoke setelah vaksin AZ, bisa jadi akibat pembekuan darah di otak. 

Menurut gw, sebaiknya seluruh vaksin AZ di hentikan dulu, bukan hanya 1 batch vqksin AZ yg dihentikan sementara. 🙏",Tidak Percaya
@minrdn @HausofHilton AstraZaneca direkomendasikan untuk diatas 40 tahun. Takut pembekuan darah.,
"@Achand1905 @AdamPrabata @shicebreT Intinya skg adalah, siapa yg mau ngecek apakah ada pembekuan darah setelah divaksin AZ? Kita ga di cek ini~
apa harus ngecek mandiri, buat yg udh nerima vaksin AZ?",
"Saya baru saja menonton wawancara CNN dengan dokter Dirga. Di acara itu, @dirgarambe mengatakan bahwa resiko pembekuan darah akibat mendapatkan vaksin AstraZeneca terjadi di usia muda, yaitu usia 20 - 30 tahun. Sedangkan di usia tua, terutama di atas 50 tahun, resiko ini ...",
@pittssuda tak. masalah pembekuan darah,
"Cek Fakta  AstraZeneca, Prof Zubairi Djoerban:Tidak Untuk di Bawah Umur 30 Tahun, Ada Risiko  Pembekuan Darah  https://t.co/Bt9h35QJhR",
@Sabdaxbox @Blue_oceanan @ariel_heryanto @TaufiqMarhaban Yg baru divaksin dikasih tau nggak tanda tanda yg bisa dirasakan jika terjadi pembekuan darah ?,
@AdamPrabata Apa tanda tanda terjadinya pembekuan darah sehingga yg baru divaksin perlu lapor ?,
@trissella Hmm soalnya beberapa kasus ada efek pembekuan darah dan itu kebanyakan terjadi di yg usia muda.. makanya nggak disaranin dibawah 30 tahun.. mungkin 2-3 hari sebelum vaksin istirahat sama makan cukuup ✊🏼😁,
"@AdamPrabata Dok, saya mau tanya. Setelah saya vaksin pertama (AZ) bulan lalu,gejala pasca vaksin yang muncul di saya adalah muncul memar ungu kehitaman di daerah yg disuntik (tidak ada gejala lainnya). Apakah itu termasuk dalam gejala pembekuan darah ya Dok?
Mohon infonya dok, terimakasih.🙆‍♀️",
BPOM menegaskan kasus pembekuan darah setelah pemberian vaksin AstraZeneca termasuk sangat jarang. Namun kasus KIPI yang terjadi di Indonesia akan terus diinvestigasi. #kumparanNEWS https://t.co/xKLTB46wSf,
"@AdamPrabata @falla_adinda Trs klo misal ada org yg sudah vaksin 1x pake AZ dan ada masalah pembekuan darah, selanjutnya ikut vaksin yg mana ya? Dan apakah sistemnya dianggap jd vaksin yg pertama lg atau dianggap sudah vaksin ke-2x? Serius nanya.",
"Banyak pertanyaan terkait keamanan vaksin AstraZeneca, karena dapat menyebabkan pembekuan darah. . Apa penyebabnya? Bagaimana gejala yang harus diwaspadai? Ini penjelasan Guru Besar Farmakologi dan Farmasi Klinik UGM Prof Zullies Ikawati.
https://t.co/BII7fcVTdq",Tidak Percaya
Vaksin COVID-19 AstraZeneca Sebabkan Pembekuan darah? Memicu Kematian https://t.co/mX4IkCUUbe,Tidak Percaya
"@guffaww2 @dinamirzaaa @cikharneyy tgok betul2 spikes tu mcm bentuk apa byk2 terpacak luar virus ?  cloves ?  

Cloves ada eugenol lambatkan pembekuan darah .....tapi utk lawan covid 1 bhn x cukup .....

https://t.co/PHPyX5og5a",
"Kalau diterapkan di Indonesia, PR selanjutnya adalah gimana memastikan kalau semua yang mengalami masalah pembekuan darah setelah vaksin AZ itu dilaporkan dan dicatat dengan baik.

Jangan sampe ada yang kelolosan gak tercatat, eh terus dapat suntikan kedua 😩😩",
"Update Vaksin AstraZeneca!!

Regulator Eropa TIDAK MEREKOMENDASIKAN suntikan vaksin AZ kedua pada orang yang mengalami masalah pembekuan darah dengan trombosit (keping darah) rendah setelah suntikan pertama.

Di Indonesia bagaimana ya? Apa sudah diterapkan seperti ini juga? 🧐 https://t.co/Ip7G5SxidO",
"Dapet kabar nenek gw gajadi di operasi hari ini karena hasil lab pembekuan darah nya belum keluar, jadinya hari senin. Jadi sampe hari selasa/rabu, gw gantian sama adek gw bakal temenin kakek gw dirumah. Semoga lancar operasinya, mohon doa nya ya guys😊🙏",
"@rashifakilla Mempercepat proses pembekuan darah, karena tersumbat jalur keluarnya(?)",
"Kalau memang bukan karena vaksin, kenapa merasa bertanggung jawab memberikan santunan? Alasannya?
Semntara di negara lain, lgsg stop pemakaian vaksin tsb, sembari mnunggu hasil investigasi. Setelah keluar hasilnya, vaksin itu sebabkan pembekuan darah &amp; memicu kematian, lgsg stop.",Tidak Percaya
baru baca pagi vaksin yg gua ditarik karena dosisnya ngawur dan efeknya parah ternyata sampe ada pembekuan darah trs meninggoy.,Tidak Percaya
"Jepang secara resmi menyetujui penggunaan vaksin Covid-19 Moderna dan AstraZeneca. 
Akan tetapi pemerintah Jepang belum akan menyuntikkan vaksin AstraZeneca karena khawatir efek samping pembekuan darah.
Keputusan itu diambil dua bulan sebelum Olimpiade Tokyo digelar",
"@ProfesorZubairi Dok, untuk AZ ini sebenarnya rekomendasinya utk di atas 30th atau 50 th? Apakah faktor resiko pembekuan darah hanya dilihat dari umur saja kah? Terima kasih atas pencerahannya 🙏🏼",
"@rade_efp D dimer itu salah satu metode cek kekentalan darah. Biasa ada di kertas cek Lab darah. Batas ambang 700. Lbh dr itu biasa minum pengencer darah 1/2 tablet. Kl hyper kayak saya hrs suntik pagi n malam kl pas tinggi aja.
Virus ini memang efek nya memang kekentalan/ pembekuan darah.",
@yonnsk Yaudah jgn dulu... Ap lg aku sering pembekuan darah jg (alias biru2 sendiri g jls),Tidak Percaya
"@amairulalif_ @nonetherealll covid yg lama sbbkan pembekuan darah yg abnormal / byk ...sbb tu nak lawan kena guna herba yg ada fungsi cairkan darah 

hospital sendir guna ubat pencair darah utk pesakit covid ..tapi kuantiti sikit, sbb tu kena post covid effect 

sy guna herba byk , post covid effct x berlaku",
"@amairulalif_ @nonetherealll saya menang lawan covid tahun lepas pakai ramuan herba ....tapi tu varian asal ....

sy guna ni teh biasa + habbatusauda + cengkih + kayu manis + madu + peppermint tea ....

herba ni semua ada fungsi cairkan darah , covid sbbkan pembekuan darah teruk ....",
"Ketua Dewan Pertimbangan IDI: AstraZeneca Tak Boleh untuk Usia di Bawah 30 Tahun

Menurut Zubairi, penggunaan vaksin AstraZeneca pada usia di bawah 30 tahun dicurigai berkaitan dengan pembekuan darah yang bisa menyebabkan kematian.

https://t.co/WfezPZcIRt",
"Kejadian pembekuan darah setelah pemberian vaksin COVID-19 AstraZeneca termasuk kategori very rare/ sangat jarang (&lt; 1/10.000 kasus) karena dilaporkan terjadi 222 kasus pada pemberian 34 juta dosis vaksin (0,00065%).",
@ProfesorZubairi prof kalau sudah terlanjur dpt 1 shot bagaimana? dilanjutkan saja atau menggunakan vaksin lain? istri saya d bawah umur 30 tahun dpt jatah dari kantor. memang saat shot pertama efeknya lumayan berat. tp alhamdulillah ga sampai pembekuan darah.,
@aik_arif ada 2 orang yg saya kenal sudah negatif covid dan sudah pulang ke rumah tetapi kemudian meninggal beberapa hari setelahnya karna terjadi pembekuan darah,Tidak Percaya
"@yourplatonics @lovebyvanilla Btw mau info aja, yg ditarik cuma 1 batch karena sedang diuji klinis ulang. Sisanya sudah didistribusikan. Salah satunya di Jakarta. Keunggulan AZ kalo di beberapa negara Eropa gak perlu karantina lagi. Kualitas di atas Sinovac harusnya.

Soal 2 kasus pembekuan darah masih dicek.",
"Tp hari ke 3 dah agak mendingan krna minum obat. 
Btw dokternya infoin jg kalo salah satu efek samping dari vaksin ini akan terasa pada org yg punya pembekuan/penggumpalan darah.",
"@olie134 @AdDien90 ni juga antara punca .....pembekuan darah....

sbb tu kena elak tempat sejuk , buat air herba / teh panas selalu....letak la habuatusauda ka tongkat ali ka ginseng ka...

Apa2 teh + halia + bwg putih + serai ......

Buat wap pun bagus ....lepas tu minum air rebusan tu",
"@ProfesorZubairi Di Australia juga terjadi beberapa kasus pembekuan darah bagi orang di atas umur 30, bahkan ada kasus pada pasien umur 80 tahun, prof.",
"""Kenapa? Karena beberapa kejadian di Inggris mengaitkannya dengan pembekuan darah. Ada 79 kasus dari 20 juta dosis vaksin, 19 di antaranya meninggal."" #kumparanNews #jagajarak https://t.co/I1IjAd2i8F",Tidak Percaya
"Ada pertanyaan lagi kepada saya tentang AstraZeneca. Apakah boleh untuk orang di bawah 30 tahun? Saya jawab, tidak boleh. Kenapa? Karena beberapa kejadian di Inggris mengaitkannya dengan pembekuan darah. Ada 79 kasus dari 20 juta dosis vaksin, 19 di antaranya meninggal.

.....",
"Virus SARS CoV-2 tak dipungkiri bisa menyebabkan gangren pada pasien Covid-19. Virus korona dapat menyebabkan gangguan pembekuan/pengentalan darah (koagulopati) dan gangguan aliran pembekuan darah. Hal tersebut mempengaruhi suplai oksigen ke organ tubuh.

https://t.co/x3z90YoVeC https://t.co/aBYItq6V5f",Tidak Percaya
"Masyarakat diharapkan tak boleh berhenti mendapatkan vaksin AstraZeneca meski disebut berisiko menimbulkan pembekuan darah. #AstraZeneca #vaksin 

https://t.co/wFWsLZ7sKy",
