Tweet,Nilai,,Percaya,,Tidak Percaya
"@TirtoID Klo hanya karena sterilisasi aja masak mau dihentikan uji klinisnya, itusih bisa dibenahi, klo hasil uji ada yg mati atau jadi miring, lah itu baru masalah, klo effeknya hanya panas, demam, gatal itu sudah biasa pada vaksin dan bukan masuk efek yg membahayakan...",,,,,
"@Kemdikbud_RI Min boleh minta no telp klinik pratama kemdikbud, saya mau nanya soal vaksin kedua. Terima kasih",Tidak Percaya,,,,
@theSharifah You dah dapat full vaksin ke?,,,,,
@iorme teh botol sing sekedar teh dibotoli we tahapan uji ne ping sewidakrolas kok..lha iki vaksin lo...gowo2 jeneng nusantara meneh...🤡🤡🤡🤡🤡,,,,,
"Sekalipun vaksin dibilang haram, vaksin aman diberikan jika dalam kondisi darurat. Seperti masa pandemi Corona ini. Di mana semua keadaan menjadi drastis tidak baik.",Percaya,,,,
KJ jawap Pemuda Pejuang persoal penerima vaksin COVID-19 - Wacana https://t.co/aE0ekfQo6t,Tidak Percaya,,,,
"@topelnow Perpul itu apa ya? Jenis vaksin baru kah?
Cak kita tanya @JeckPanjaitan",,,,,
"@KompasTV @pendekar58 Siapa juga yg bisa menjamin vaksin Sinovac, pfizer, astrazaneka, dll tidak menimbulkan masalah...",Tidak Percaya,,,,
Persiapkan diri untuk menyediakan waktu istirahat sebelum dan setelah vaksinasi. Sebisa mungkin jangan menumpuk pekerjaan saat vaksin berlangsung karena bagaimanapun tubuh yang sedang divaksin butuh istirahat.,,,,,
"@iaridlo Iya dulu pas mulai vaksin, link pendaftaran yg tersedia itu ibu kota provinsi (Surabaya). Nyari2 info pendaftaran Gresik gak nemu. Alhamdulillah didaftar kelurahan dkt sekolah (vaksin di Puskesmas dkt sekolah).Tp kata ibuku gak semua guru di sekolahnya masuk data jd blm full juga",,,,,
@VICE_ID Owh ini yg punya pabrik vaksin terbesar,,,,,
LANJUTKAN PEMBERANTASAN PANDEMI: Pemerintah ttap melgsungkan pemberian vaksin kpd masy Jember. Khususnya yg brkecimpung di bid. pelay publik. Hal tsb sesuai dengan rekomendasi Kementerian Kesehatan sesuai dengan fatwa MUI terbaru terkait dengan vaksinasi https://t.co/GFmVsUtNlA,Percaya,,,,
"""Lagi puasa emang boleh ya vaksin?""

Selama ini orang-orang yang pergi umrah pas bulan Ramadhan/lebaran pasti kudu vaksin meningitis dulu pas lagi puasa tapi belum pernah denger ada yang protes atau mempertanyakan.",Percaya,,,,
"Kalau Anda memang butuh narasi nasionalisme, silakan dukung Vaksin Merah Putih yang didukung K/L termasuk BPOM.

Baca: https://t.co/NGynyndVK7

Tonton: https://t.co/txhYp0NWgs",,,,,
"@tawdaahh @NarasiNewsroom Yang satu liat prospek bisnis yang satu kemanusiaan

Lagi lagi duit yang jadi penentu, yang rame kayanya bekingan vaksin nsntara rata2 pengusaha bukan akademisi deh, cmiiw",,,,,
"oya lagi satu perawat vaksin bilang, dok nanti jadi spA aja ya saya di nicu tugas nnt saya asistenin kalo dokter mau tindakan apapun (dalam konteks si mbok ini gatau payim pediatri) 
omo😭😭😭😭😭😭 skip kalo ped mbok skipppppp😭",,,,,
"2 hari menjelang vaksin, atur pola makan dengan memperbanyak sayur dan buah. Jus atau smoothies bisa menjadi pilihan jika males ngunyah dan menginginkan rasa yang lebih segar.

Jus yang dianjurkan untuk memperkuat tubuh adalah; timun, apel, nanas, wortel. https://t.co/MKPfcE7MP2",,,,,
"Punya Penyakit Jantung, Politius PDIP Adian Napitupulu Berharap pada Vaksin Nusantara https://t.co/mzPBcvfasd",Percaya,,,,
Komnas Penilai Khusus Vaksin COVID-19: Antigen Virus Vaksin Nusantara Bukan dari Indonesia https://t.co/wbgz6QPqjk,,,,,
"Detik-detik Vesak tahun ini jatuh di 18:13:30 WIB.

Secara terbatas, karena sudah banyak yg merasa lebih aman pasca vaksin, atau di rumah saja. https://t.co/nRZQgF6WRt",,,,,
Bhabhinkamtibmas Aipda Daniel Sinaga Melks sambang ke rumah ibu Rismawati purba pd kesempatan tsb bhabin menyampaikan pesan agar bersedia menerima vaksin copid 19 dan mau di vaksinasi untuk mencegah penularan virus copid 19 https://t.co/BpzO1IWB1R,,,,,
"Kanada Tidak akan Batasi Penggunaan Vaksin AstraZeneca
 #kanada #vaksinAstra...
https://t.co/RTazJtzo43",,,,,
"Negara2 Uni Eropa akan menerima 50 juta vaksin Covid-19 yg diproduksi oleh Pfizer &amp; BioNTech lagi pada akhir Juni.Kepala Komisi UE mengatakan pengiriman sebelumnya, yg akan dimulai bulan ini, akan membawa total pasokan ke UE dari Pfizer mjd 250 juta dosis pada kuartal ke2 thn ini",,,,,
KENAPA CIKGU CIKGU TAKNAK BAGI VAKSIN DULU DKT DIORG??? SEKOLAH ADIK AKU MENGAJAR KAT JB RAMAI CIKGU POSITIF COVID SKRG NI. CIKGU JUMPA BUDAK BUDAK SUPPOSEDLY DIORG KENA DIUTAMAKAN DULU DARIPADA MENTERI ORG ORG POLITIK TU SEMUA 😤 https://t.co/LH9LdwDTQx,,,,,
"@TirtoID Memang Terawan bagus kok,kalau ada politikus yg bersedia di uji coba vaksin nusantara bagus dong,itu bukti nya Terawan memang dokter yg pintar buktinya ada politikus yg yakin akan ke puawaian Terawan",Percaya,,,,
"@dkksemarang min, kebijakan prioritas penerima vaksin apakah masih usia 60?",,,,,
"jadwal vaksin ke-2 nya tanggal 13 mei, lawak banget kan lebaran",,,,,
"Individu yang perlu membawa tanggungan terutama ibu bapa bagi temu janji vaksinasi #COVID19 dibenarkan merentas negeri.
#sinarharian 
#vaksin 

https://t.co/VGrZNTTlBJ",,,,,
@SerbukGreenteh batal kd lah ka vaksin tuu?,,,,,
"Vaksin Nusantara Ternyata Bukan Karya Anak Bangsa, Ini Kata Pakar https://t.co/06Y4DqJOax",Tidak Percaya,,,,
"Ical Hingga Gatot, Deretan Tokoh yang Disuntik Vaksin Terawan https://t.co/rz6tU8BYTG 

Mereka aja mau di Vaksin..kok IDI sama BPOM masih ngeyel ya?? aneh juga..Hmmmmm",Percaya,,,,
"IOW Hebahan PKPB, Proklamasi Darurat &amp; Pendaftaran Vaksin Covid Daerah Kuala Muda. Jabatan Penerangan Malaysia. 15 April 2021

Lokasi :
Pasar Tani Pekan Sg. Petani 

#JabatanPenerangan
#penkualamuda
#japenkdh https://t.co/LBBS7HZUV2",,,,,
70 Persen Subyek Uji Klinis I Vaksin Nusantara Alami KTD https://t.co/rVahMo2EMh via @harianbatampos,Tidak Percaya,,,,
"Eh, tapi kan ada banyak vaksin hari tu boleh derma kat Bosnia??? https://t.co/3rlfldRSaq",,,,,
"Gatot Nurmantyo, ARB Hingga Anggota DPR Enjoy Disuntik Vaksin Nusantara, Begini Kata Mereka   https://t.co/dNSnxvKt8S",Percaya,,,,
"@PakLoerah @mika_indo @Dennysiregar7 Siapa cukong yg mau bayar drun?
O iya udah suntik vaksin gratis n antri BLT?
😁😁😁",,,,,
"Gatot Nurmantyo, ARB Hingga Anggota DPR Enjoy Disuntik Vaksin Nusantara, Begini Kata Mereka     https://t.co/dNSnxvKt8S via @Indopolitika",Percaya,,,,
"Kader Banteng DPR RI Tak Ikut Uji Klinis Vaksin Nusantara

https://t.co/rTd6LqlQQL #pdiperjuangan",Tidak Percaya,,,,
"Vaksin buat entar malam 
6303",,,,,
"@kusuma_loka Iya, formulasi vaksin dr gurunya Terawan di US",,,,,
"@TheArieAir Karena efikasi vaksin sinovac cuma 65,3% pun seperti vaksin covid lainya belum bs sampai 100% https://t.co/7e34LNcWxA",Tidak Percaya,,,,
Kebenaran itu hanya tertakluk kepada seorang ahli keluarga sahaja. #AWANInews #AWANI745 #HapusCOVID19 https://t.co/07NHTOk1Z3,,,,,
"Aya sms nitah daftar wae vaksin ka Eldorado, hoream jauh",,,,,
Model tersebut menjadi yang kesekian yang terlibat 'skandal vaksin Covid-19' Argentina. https://t.co/FhZnwv3eAw,Tidak Percaya,,,,
@Viena_Wu Jangan takut di vaksin,Percaya,,,,
@TirtoID Lebih baik BPOM membantu utk vakisn nusantara...utk standarisasi nya ..agar Indonesia bangga utk vaksin nusantara,,,,,
"@pengarang_sajak Ini namanya bisnis bung, biarkan mereka saja idi dan vaksin Terawan itu yg berkicau, kedua2x nya punya kepentingan masing2x...",Tidak Percaya,,,,
@PakAhmadUtomo Vaksin nUSAntara,,,,,
Vaksinasi tidak membatalkan puasa malah justru fungsinya akan memperkuat imun karena puasa termasuk proses detoksifikasi. Umat Islam yg berpartisipasi dlm program vaksin aman ini sama aja membantu mewujudkan kekebalan kelompok (here immunity) tercegah dari Covid-19.,Percaya,,,,
Kelompok Milenial Dukung Penuh DPR dan Pemerintah Sukseskan Vaksin Nusantara https://t.co/iW9aRX1C7M,Percaya,,,,
Kelompok Milenial Dukung Penuh DPR dan Pemerintah Sukseskan Vaksin Nusantara https://t.co/NOFwzuFppo,Percaya,,,,
"@TirtoID Untuk Vak Nus saya percaya Dr Terawan, karena vaksinnya tidak menggunakan virus yg diperlemah, injeksi vaksin dlm darah di luar tubuh jadi bisa pra analisis dan Terawan selalu  out of the box",Percaya,,,,
"#InfoMakmurJohor

Jumlah pendaftaran vaksin terkini di Johor melalui MySejahtera bagi negeri Johor sehingga 14 April 2021.

Sumber : Majlis Keselamatan Negara Negeri Johor https://t.co/FcePB6J8Wa",,,,,
Heboh Anggota DPR Disuntik Vaksin Nusantara Tanpa Izin BPOM https://t.co/AU9WDDBLVJ,,,,,
"Bos Res Tawang di Batu Ceper meninggal kn corvid ktnya..pdhl uda vaksin ke 2 jg..tertular dr pembantunya..dia msk RS 2 minggu aja .. jln selamanya.
Tetap hrs hati2 n jaga biar sdh vaksin pun...tdk jamin. https://t.co/t34TNthHhl",Tidak Percaya,,,,
"Nah kan. Pasti ada yg gak beres
https://t.co/GzJWRFai2D",Tidak Percaya,,,,
"Setelah mendapatkan jadwal vaksin, segera atur asupan makan, pola tidur dan kegiatan lain menjelang vaksin dan setelah vaksin. https://t.co/TAFwiV02y7",,,,,
"@detikcom Gpp jadi kelinci percobaan, tuh vaksin belum lolos rangkaian uji klinis, kita lihat aja gimana hasilnya 😁",Tidak Percaya,,,,
Pelaksanaan vaksin di lingkungan BWS Sumatera V padang https://t.co/veazGHVJM3,,,,,
"Trus ada yg bilang di grup itu, krn kita udah menjalani pola hidup sehat jd vaksin itu cepat tanggap tanpa menimbulkan gejala2 penyesuaian seperti yg disebutkan td. Penasaran w tar kalo divaksin bakalan pusing atau kek mana gt.",,,,,
Dah nak dekat 2 bulan start vaksin tapi kita baru vaksin around 3% (or less) camtu je kan? 🤔,,,,,
"Untuk itulah Dinas kesehatan DKI Jakarta tetap melakukan vaksin, karena Vaksin Aman. https://t.co/uZETaLGh7S",Percaya,,,,
@CNNIndonesia Kita lihat saja vaksin yg belum uji klinis apakah aman atau tidak,Tidak Percaya,,,,
Hehe cukup mendalami vaksin ayam ae lah ini aja udah mumet wkwkw😅,,,,,
"Menkes RI mengatakan, menjadi tugas bersama untuk mempersiapkan infrastruktur pabrik, infrastruktur obat, infrastruktur peneliti dan mekanisme untuk peneliti bila Indonesia dilanda pandemi virus-virus lain di masa mendatang.
@KemenkesRI https://t.co/HQqEHg27AO",,,,,
"@politikana Izin Uji Klinis itu udah jalan disaat Terawan masih Menkes. Ga usah sok lugu kita tau kok ini proxy war Industri Vaksin, org berhak nentuin mrk mo pake Vaksin apa demi nyawa mereka Adian contohnya.",,,,,
"Khofifah Indar Parawansa Gubernur Jawa Timur menghimbau, walaupun sudah ada yang di vaksin, warga Jatim harus tetap disiplin protokol kesehatan selama menggelar ibadah di bulan Ramadhan.

#PuasaJagaProkes
Ramadhan Tetap 5M https://t.co/hNocH3h7xV",Percaya,,,,
"@___Mr_J03n4____ @ZAINALA59664337 Semua vaksin mempunyai efek hampir sama. Malah Astrazeneca byk menggigil panas dingin, pusing, mual2, muntah tp hanya bersifat sementara, sy memakai sinovac hanya otot pegal2 sebentar, agak pusing dan demam... Tp semua hya reaksi sementara, juga tergantung kondisi fisik masing2",,,,,
"@RaiTeguhParjaya @kompascom Iya, ada apa? Kok pihak vaksin Nusantara diam saja? Kalau BPOM bohong silakan bantah.",Tidak Percaya,,,,
"Khofifah Indar Parawansa Gubernur Jawa Timur menghimbau, walaupun sudah ada yang di vaksin, warga Jatim harus tetap disiplin protokol kesehatan selama menggelar ibadah di bulan Ramadhan. #PuasaJagaProkes
Ramadhan Tetap 5M https://t.co/uAAokzFXWT",Percaya,,,,
@NarasiNewsroom Perlu uji klinis dulu baru vaksin itu layak disuntikkan,Tidak Percaya,,,,
"""Kita harapkan dukungan BPOM agar kita punya industri pengembangan vaksin di luar Bio Farma. Ketergantungan terhadap Bio Farma akan menimbulkan masalah kalau kita perlu produksi dalam jumlah besar"" kata Menristek Bambang Brodjonegoro 

#VaksinMerahPutih

https://t.co/snwiAc8MBC",,,,,
"Ada politisi nyobain vaksin anak bangsa, kalo ada apa-apa bisa dapet prioritas dan bisa dirawat segera. 
Rakyat mah ntar-ntar aja, cuma angka-angka saja untuk mengisi kantong penguasa.

Jadi inget vaksin di film gundala dari @jokoanwar. https://t.co/oMOjjL6ur7",,,,,
"Mulai dah...kalau pakai vaksin Sinovac yg impor 100 persen, kenapa kita gak ribut? https://t.co/qZIFucti6e",,,,,
"@Harian_Jogja Ikuti prokes dan segera ikuti vaksin yaa, biar pesebaran berkurang #VaksinUntukIndonesia https://t.co/gl3840xWO9",Percaya,,,,
"@yanadrn @raditph Aduh 🤦🏻‍♀️ Mungkin bbrp orang udh menganggap ""aman"" karena udh ada vaksin kali ya. Pdhl mah vaksin ga 100% mencegah dari Covid",Tidak Percaya,,,,
"@yonasboyke @JOETASLlM @RodriChen apa urgensinya juga cepet-cepet nyiptain vaksin dalam negeri, toh, pemerintah udah dapat komitmen vaksin yang cukup. pengembangan dalam negeri bisa dipakai buat tambahan, bukan yang utama.",,,,,
Sekarang rame isu vaksin nusantara ya. Penasaran dimana bisa dapet argumen 'pro'-nya. Ada yang bisa kasih koordinat?,Tidak Percaya,,,,
"@CNNIndonesia Kalau beras import, vaksin Import, Daging Import, minyak Import, belum bisa buat kendaraan sendiri, belum swasembada pangan kalau ingin melesat mudah sejahterakan Warga Negara Sendiri.",,,,,
@na_dirs Vaksin nUSAntara 😂,,,,,
Maju terus Vaksin Nusantara..! Biarkan anjing menggonggong sementara khafilah tetap berlalu..! https://t.co/LzhzUF95fD,Percaya,,,,
"Apa benar kalo vaksin covid itu adalah bentuk dr solidaritas dan aksi kemanusiaan? Kalo yg ga mau divaksin disebut apa? W cm baca aja di grup ibu2. Setelah divaksin dia ga merasa efek kayak temen2nya ada yg pusing, lemes, dll. Dia biasa aja kayak sebelum divaksin.",,,,,
"@TirtoID Hmmm bos gue lagi nungguin vaksin nusantara besutan pak mantan menkes ini. Biar aja gue jg mau lihat reaksinya nnti dibadan dia bgmn, seefektif dgn sinovac dkknya  kah atau tidak",Tidak Percaya,,,,
"#BuletinBernama: Singapura benar penerima memilih vaksin COVID-19
https://t.co/YuTLISwIC6",,,,,
"@PakAhmadUtomo Jualan vaksin pake nama manipulatif, semua produk USA ditutupi jadi produk Indonesia, wes angel mantan itu jadi tambah aneh aja",,,,,
"varian virus Corona P1 Brazil dikhawatirkan lebih berbahaya dan kebal terhadap vaksin
https://t.co/IGDK2U8s8G",,,,,
"@biofarmaID mo tanya , gmn caranya mengajukan vaksin mandiri perusahaan??",,,,,
"Khofifah Indar Parawansa Gubernur Jawa Timur menghimbau, walaupun sudah ada yang di vaksin, warga Jatim harus tetap disiplin protokol kesehatan selama menggelar ibadah di bulan Ramadhan.
#PuasaJagaProkes
Ramadhan Tetap 5M https://t.co/S7Bcz8RHAp",Percaya,,,,
"Ngebet disuntik vaksin buatan Terawan, Siti Fadilah: Saya ahli, jadi tahu risikonya https://t.co/rHKYJ8ZsQg",,,,,
Vaksin aman selama berpuasa dinyatakan oleh fatwa MUI nomor 13 tahun 2021. https://t.co/0k1ZzjayfQ,Percaya,,,,
KSAD @tni_ad belum berkomentar? @Puspen_TNI  https://t.co/EhmQ43L9SU,,,,,
"VAKSIN NUSANTARA.
ELIT POLITIK MULAI MELAWAN PEMERINTAH
Rocky Gerung Official
👇😳👇
https://t.co/etLW4FCubT",Tidak Percaya,,,,
@korantempo Maju terus Vaksin Nusantara...!,Percaya,,,,
"Vaksin gotong royong pun masih harus sabar menunggu. Pemerintah masih terus mengusahakan yaaa... tunggu Juklak dan Juknis. Tetap optimis jalanin hidup, stay happy biar imun ga drop. 🤗 https://t.co/MT5eHypUrb",,,,,
"Jadi... gimana biar vaksin aman selama puasa dan kita tetap bisa beribadah dengan maksimal?

Reaksi vaksin setiap orang berbeda. Namun, kita bisa berikhtiar dengan menyiapkan tubuh, baik sebelum vaksin dan setelah vaksin.",,,,,
"Khofifah Indar Parawansa Gubernur Jawa Timur menghimbau, walaupun sudah ada yang di vaksin, warga Jatim harus tetap disiplin protokol kesehatan selama menggelar ibadah di bulan Ramadhan. #PuasaJagaProkes
Ramadhan Tetap 5M https://t.co/hQZY8mocJb",Percaya,,,,
"@drpriono1 @BPOM_RI dukung dong vaksin nusantara,seperti kalian mendukung mobil esemka.",Percaya,,,,
"#BuletinBernama: Denmark hentikan penggunaan vaksin AstraZeneca
https://t.co/ppO2VWozur",Tidak Percaya,,,,
"Ini yg paling jahat kek gini nuduh"" orang buzzer Vaksin Nusantara kek gak punya cermin klo twitnya ngebuzzer juga, norak main lu. #vaksinnusantara https://t.co/whfvydnIJB",,,,,
"Ini kata MUI bahwa vaksin nggak bikin batal puasa ya. Jadi, Vaksin Aman kok. 😊 https://t.co/3WPUAhF7Ml",Percaya,,,,
Serbia telah memulai kampanye vaksinasi covid-19 menggunakan vaksin Sputnik V pada awal Januari lalu.  https://t.co/OFfQxhNkG7,,,,,
"#Rap Datuk A Aida menjadi artis tempatan pertama di negara ini menerima suntikan vaksin Pfizer-BioNTech.

https://t.co/31Eghm11JL",Percaya,,,,
"Hal yang membatalkan puasa adalah makan dan minum dengan sengaja. Sementara, vaksin Covid-19 diinjeksi melalui intramuskular, tidak dianggap sebagai makanan dan minuman.

Vaksin aman untuk orang yang sedang berpuasa dan bisa melanjutkan ibadah puasa tan0a harus meng-qadha nya.",Percaya,,,,
"Min, klo di baleendah fasilitas vaksin terdekat dimana yaa? @PRFMnews",,,,,
"@PakAhmadUtomo Kalo emang jelas merek dagangnya vaksin nusantara udah seharusnya dipakai untuk memenuhi beberapa kuota vaksin dalam negeri, masalahnya kan sekarang informasinya masih liar dan ngga jelas bung, gimana mau menyimpulkan kalo informasinya sepotong2x bung...",Tidak Percaya,,,,
BPOM Belum Keluarkan Izin Uji Klinik Tahap II untuk Vaksin Nusantara https://t.co/BckJHocIPn,Tidak Percaya,,,,
"Kenapa aware bgt sm vaksin buatan Amerika ? Pernah ada case, org disuntik2 vaksin jd autis. Ya mungkin org Indo susah percaya / gak percaya sama sekali. Apalagi vaksin impor ini gak disetujui BPOM. Sangat berbahaya. Jgn asal suntik2 aja https://t.co/z4n2bN59PH",Tidak Percaya,,,,
"@PRFMnews min mohon info,Untuk perusahaan swasta yg bergerak di bidang pelayanan publik bisa daftar vaksin untuk karyawan nya??",,,,,
Warga Jabung juga bantu edukasi soal vaksin kepada lansia https://t.co/II5Pje5fae,,,,,
BPOM Ungkap Relawan Vaksin Nusantara Alami Nyeri hingga Demam https://t.co/2790tgvYEE,,,,,
@RodriChen tidak ada yang nusantara dari vaksin nusantara #simpanthread @BotKumpulan,,,,,
"Ayo vaksin, lawan Covid-19 dengan Vaksinasi 

@divisihumaspolri #polripresisi #poldasulsel https://t.co/jXaFJ3ltZc",Percaya,,,,
Vaksin dulu biar..sehat.. https://t.co/rVanJNllKM,Percaya,,,,
"Biar je la kita org mampus, kejap cukup kejap tak cukup vaksin https://t.co/OlF1bYLweL",,,,,
"Vaksin buat lansia masih belum tuntas semua nih, baru masuk tahap kedua terutama untuk wilayah kebayoran baru jaksel. 

Jadiiii... yang merasa belum lansia dan belum kebagian vaksin, harap bersabar yah! 🤗 https://t.co/VQUVt8RuXG",,,,,
"Meski sedikit terlambat, Indonesia sangat membutuhkan vaksin produksi sendiri.

Menkes mencontohkan kasus impor vaksin Covid-19 Astrazeneca yang terhambat karena India memutuskan menyetop ekspor vaksin dan fokus pada penanganan negaranya.

@KemenkesRI
https://t.co/0tHwRjPCDX",,,,,
@risw_okob vaksin nusantara absurd dan maksa #simpanthread @BotKumpulan,Tidak Percaya,,,,
"Emang boleh vaksin saat puasa? Boleh, MUI sudah menekan fatwa nomor 14 tahun 2021 bahwa vaksinasi Covid-19 tidak membatalkan puasa.

Jadi kita yang muslim enggak perlu khawatir. Tinggal mempersiapkan tubuh agar vaksin aman setelah diinjeksi ke dalam tubuh. https://t.co/JgrWxbNJe5",Percaya,,,,
Melalui Jubir vaksinsi @KemenkesRI menjelaskan program vaksinasi Presiden @jokowi akan tetap dijalankan di bulan Ramadhan dngan dasar Fatwa yang di keluarkan MUI bahwa vaksin tidak membatalkan puasa. https://t.co/s6uw3iS7nR,Percaya,,,,
"Parents aku warga emas berisiko, tinggal kat Selangor and dah register sejak hari pertama tu pun masih takde update apa2 lagi kat MySejahtera so tang mana dah panggil vaksin utk warga emas fasa 2?",,,,,
Benarkah ilmuwan AS lebih mendominasi riset vaksin 'anak bangsa' ini? https://t.co/7hWLSOOOLf,Tidak Percaya,,,,
"Dikira bikin obat kayak bikin soto kali ya, kalo kurang asin tambahin garem, kalo kurang kenyang tambahin nasi. Ini orang udah dulu pengobatan cuci otaknya yg ilegal itu lolos, terus seenaknya bikin vaksin pake atas nama nusantara biar antek2 price die dukung mati2an https://t.co/vue7AmkR5S",,,,,
@daydaydonat Kamu ga vaksin nusantara by terawan aja?,,,,,
@matetampan @ivanlanin Proses vaksin (memasukkan vaksin ke dalam tubuh via injeksi atau oral) itu namanya vaksinasi. Imunisasi adalah proses di dalam tubuh membentuk antibodi. CMIIW dok @dirgarambe.,,,,,
"Meski Sejumlah Tokoh Jadi Relawan Vaksin Nusantara, IDI Minta Tim Peneliti Ikuti Arahan BPOM https://t.co/9qH8EQeeP8",,,,,
"Seramai 653,531 individu telah menerima dos pertama. #AWANInews #AWANI745 #HapusCOVID19 https://t.co/cLXcwPsXlv",,,,,
"Meski Sejumlah Tokoh Jadi Relawan Vaksin Nusantara, IDI Minta Tim Peneliti Ikuti Arahan BPOM https://t.co/9qH8EQeeP8 via @Indopolitika",,,,,
"Keliyengan + meriang abis vaksin.
Diguyu mbah di rumah.. 😶",,,,,
"BULAN BAKTI ISTRI DOKTER 2021 
""IIDI Cabang Jepara dukung vaksin Covid-19""
#pd_iidi
#bbid2021
#faridaiidi
#iidi_jepara https://t.co/9WK3fcTsoR",Percaya,,,,
KSAD Andika Perkasa Diminta Turun Tangan soal Polemik Vaksin Nusantara #LengkapCepatBeritanya #BeritaTerkini #Berita #News #BeritaNasional . https://t.co/xvO0jrblxu,,,,,
Bhabhinkamtibmas Aipda zulpan Effendi melks sambang ke desa dan bertemu dengan bpk indra pd kesempatan tsb bhabin menyampaikan pesan agar bersedia menerima vaksin copid 19 dan mau di vaksinasi https://t.co/hiKLdrsNoT,,,,,
